Gene,GSM00000
SYPL2,0.004495704
TWIST2,0.004462085
KCNQ1,0.00443592
KCNJ4,0.004431399
BARX1,0.00442956
FHOD3,0.004418329
ARHGEF7,0.004382978
GRIK4,0.00436938
SPNS2,0.004358568
PAX8,0.004328967
SLC8A3,0.004324906
EVX2,0.00422306
PBK,0.004214238
OPCML,0.004199485
FAM19A4,0.004166735
ELMOD1,0.004139676
HS3ST2,0.004121341
FAM163A,0.004034326
ADCYAP1R1,0.004015414
GMDS,0.003983276
TNR,0.00396648
NEUROD1,0.003930365
CAMK2B,0.003894242
GRIN2C,0.003817098
FAF1,0.003781906
ADRA2B,0.003778485
MMEL1,0.003654158
FAM83F,0.003531213
PTPN3,0.003505837
KCNG1,0.003447945
SHROOM1,0.003435528
MVB12B,0.003399158
PSG16,0.003371198
GJD2,0.003366717
ST8SIA2,0.003333319
SPEG,0.003329491
SV2B,0.00331691
HSPA12A,0.003280893
WRAP53,0.003268601
SYT7,0.00326727
GRAP2,0.003235755
CEACAM9,0.003179097
ITGA9,0.003163884
HES2,0.00315646
PAK3,0.003153064
ASB18,0.003151368
SHISA7,0.003129427
KRT19,0.003102429
SMPD3,0.003037231
TLL2,0.002979746
TUNAR,0.002973378
GNG8,0.002954482
PPP1R1B,0.002900319
KCNA2,0.002893372
ADD2,0.002874208
KCNJ6,0.002858055
SLFN1,0.002798727
BPIFB1,0.002767236
DAGLA,0.002762255
MYH6,0.002713937
TBC1D16,0.002698222
MATN4,0.00269534
ETV5,0.002690163
KLK1,0.002633097
NECTIN1,0.002630413
CEACAM15,0.002613647
TSC22D3,0.002612191
PAX3,0.002605233
LMO1,0.002593963
YTHDC2,0.002588789
WIF1,0.002580129
KCNA5,0.002562144
CYTH4,0.002559303
WNT11,0.002546142
MPPED2,0.002429411
ANKRD34B,0.002422972
ANO1,0.002421486
TRP73,0.00235527
TMEM176B,0.002340169
PLXNC1,0.002336635
SLC25A48,0.002305756
TMEM59L,0.002300515
CEACAM14,0.002204151
SCNN1G,0.002201964
JAKMIP3,0.002196678
GAD1,0.002187384
TUBB2B,0.002157961
LRTM2,0.002143286
GPR26,0.002124699
CACNA2D3,0.002117894
FGF9,0.002114785
ZFHX3,0.002095124
ACAN,0.002091487
TOX2,0.002089712
HOXD12,0.002088251
RAB11FIP4,0.00207832
PLEKHA6,0.002066661
B3GAT1,0.00205813
CCDC184,0.002039486
UMODL1,0.002017623
NKX2-4,0.002008919
CHST1,0.001990344
KLK1B4,0.001988608
ABCG1,0.001975747
PROKR2,0.001953183
EPB41L4B,0.001949725
CAMK1G,0.001946631
ZFPM1,0.001942167
HEMGN,0.001940944
GATM,0.00192231
LRRC52,0.001920334
POU3F1,0.001889114
GNAZ,0.001888322
ACSS1,0.001882107
FGFR3,0.001879815
DOK5,0.001863717
KLK1B21,0.001842677
UBL4B,0.001822075
RAP1GAP2,0.001821918
YBX2,0.001815477
COL4A1,0.001801894
BTBD11,0.00178973
SPTBN4,0.001786671
HOXD13,0.001742189
KCNF1,0.001724112
GPR101,0.001710566
PEAR1,0.001708566
CMTM5,0.001690175
MYT1,0.001685402
EVI5L,0.001678686
KRT222,0.001655625
ELOVL2,0.001617804
EGFL7,0.00161744
TMEM74B,0.001614733
RPH3A,0.001596815
SYBU,0.001587638
DPP6,0.001552431
NGEF,0.001540851
CXCL16,0.001540834
GAL,0.001538343
GJB2,0.001537204
PTP4A3,0.001533675
SLC7A10,0.001532321
CADM1,0.001519446
CARTPT,0.001508284
TMEM54,0.001490642
FAM120B,0.001484266
VSNL1,0.001465831
PAQR9,0.001461765
MN1,0.001450218
ABCC8,0.001447943
TRIM29,0.00144522
KRT1,0.001440565
SLC6A19,0.001425457
GDNF,0.001412665
GDF10,0.001396668
CLMP,0.001392685
HOXB9,0.001385254
REEP1,0.001371805
PSG21,0.001308776
ASS1,0.00130782
SOX18,0.001299357
SAMD5,0.001285119
SLCO4A1,0.001283965
B4GALNT1,0.001282636
SFRP2,0.001264319
WNT1,0.001263495
CHRM1,0.001263207
PTH2,0.001252537
HOXD1,0.001246744
DRAXIN,0.001246431
AGXT,0.001243954
VAT1L,0.001236052
PTK2,0.001235924
COL26A1,0.001227876
OTOF,0.001220694
RSPO3,0.001217412
PTGDS,0.001216041
NKAIN4,0.001215464
DCDC2C,0.001205771
GPATCH2L,0.00118848
PTPN5,0.001183318
FAM20C,0.001178506
ALOX12B,0.001174557
APC2,0.001173948
PRTN3,0.001167837
OCA2,0.001165391
CHCHD6,0.001160207
SARDH,0.001155864
DEFA22,0.001148512
NCKAP1,0.001144733
IRS4,0.00112751
HOXA13,0.001122532
SLC24A3,0.00111322
RET,0.001103152
KRT25,0.001099933
CTNND2,0.001066815
CSMD2,0.001041356
PTCHD1,0.001038469
SAMD11,0.001038147
PHACTR1,0.001034886
NPAS4,0.001029393
LGR6,0.001025733
PRKCG,0.001013807
ITGA8,0.001001647
PTCH1,0.000995265
TMEM255A,0.000993068
NRG1,0.000983822
CCKBR,0.000975515
RANBP17,0.000972687
ACE2,0.000969482
PDZD2,0.000963759
BPIFB3,0.000959701
ISL2,0.000958557
MED12L,0.000954449
RAB3C,0.000950376
FMNL1,0.000948002
KCTD1,0.000946867
DUSP9,0.000939756
SULT4A1,0.000929232
PGM5,0.000927047
LHFPL3,0.000903632
KCNG4,0.000898382
SPTB,0.000883135
ZFP280B,0.00088099
IL22RA1,0.00087797
TMPRSS6,0.000876699
HES1,0.00087549
IKZF1,0.000873313
CACNG6,0.00086367
CCDC85A,0.000863462
KCNK16,0.00085837
KRT7,0.000856067
CXCR4,0.00085433
WNT4,0.000852837
HOXD4,0.00084173
NRCAM,0.00083897
CDH15,0.000835212
PALM2,0.000832829
CLIC6,0.000823638
ZNHIT3,0.000820904
USH1C,0.000812692
PRRT4,0.000808553
DOCK9,0.000807131
KLK10,0.000806263
RIC8B,0.000801104
SVS3B,0.000791489
KCNC3,0.000783156
SHANK3,0.000781686
MMP9,0.000773545
SLITRK2,0.000772731
MUC5AC,0.00077082
NELL1,0.000763519
CEACAM11,0.00076289
PCSK1,0.000750931
PPP1R14C,0.000749757
L1CAM,0.000745666
DIP2C,0.00073533
STK32C,0.000730987
EYA2,0.000727331
ERC2,0.000724029
HRH3,0.000720778
UNC80,0.000719634
PTPRO,0.000715375
CPZ,0.000712903
PLCE1,0.000710883
PCSK2,0.000706099
KCNK12,0.000705304
NMNAT2,0.000683625
ACKR1,0.000673817
CELSR1,0.000666817
CLDN23,0.000661624
CACNA1B,0.000659592
TMEM200C,0.000651741
ABCC3,0.000647381
HOXB4,0.000642646
MAN1C1,0.000640453
CHRNB4,0.00063562
SPOCK2,0.000635117
MYOM2,0.000616849
TSPAN33,0.000598479
SYNDIG1,0.000595216
STMN2,0.000593238
WIPF3,0.000579182
HEPACAM2,0.000577488
ADARB2,0.000564949
STARD8,0.000564944
PANK4,0.000563137
BPIFB2,0.000561329
KCNH1,0.00055709
EFS,0.000553714
NEURL1B,0.000553605
WNK2,0.000542773
PURA,0.000540957
RPS6KA2,0.000536166
EPHB1,0.000530733
KCND2,0.000529639
NECAB2,0.000520507
ENTHD1,0.000515275
DLG3,0.000508717
IQSEC1,0.000507037
KRT84,0.000506565
GRRP1,0.000501613
M1AP,0.000501045
NTSR2,0.000499502
ARFGEF3,0.000497519
STX1A,0.000494448
DEFA30,0.00049117
INS1,0.000490052
SOBP,0.000486547
LRP2,0.000483795
FAM69B,0.000474981
ACE,0.000473155
TRIM7,0.000471256
RBFOX1,0.000469756
ARHGAP19,0.000468899
TPBGL,0.000467774
SUSD4,0.000467374
ADRA1A,0.000467277
KRT28,0.000467241
PLA2G4E,0.000456362
FAM171A1,0.000454234
CD1D1,0.000449404
ATCAY,0.000447255
NEO1,0.000443872
PRR9,0.000442291
PHACTR1,0.000433821
PTPRN,0.000431613
RIMS2,0.000427873
ANKRD63,0.000426805
DRD1,0.000421189
GFRA1,0.000420965
STUM,0.000419583
ATP2C2,0.000416526
TMEM178B,0.000407952
ATP8A2,0.000406792
FAM172A,0.000405982
ACTRT2,0.000405719
ADRA2A,0.00040555
GPR20,0.000404343
SYN3,0.000400353
NWD2,0.000399192
KRT27,0.000389992
GOLGA7B,0.000388881
DNAIC1,0.000387403
GLT6D1,0.000384009
SCGN,0.000379812
ASIC1,0.000378712
ANP32B,0.000377942
SPRED3,0.000376311
ACSL1,0.000373173
SKAP2,0.000371183
EXTL1,0.000370197
NTF5,0.000362652
TMEM229B,0.000362125
FAIM2,0.000358299
HOXA5,0.000357438
KIF5C,0.000351637
PHOX2A,0.00034903
MAP1B,0.000348622
CDH4,0.000348615
CHIT1,0.000345284
TAGAP1,0.000345043
SCN3B,0.000343073
CTNNA2,0.000336758
CFDP1,0.000333282
DNER,0.000331049
MEGF9,0.000326299
GRIK5,0.000324522
DMBT1,0.000323359
HR,0.000318614
SLC18A1,0.00031656
LRRC10B,0.000314996
TGFA,0.000314282
CAPN6,0.000311433
WASF3,0.000306883
FUOM,0.000306746
HIST3H2A,0.000305895
SPATS1,0.000305145
RGS9,0.000302472
ZFYVE9,0.000302098
ITGB2L,0.00030157
GRHL3,0.000296886
RASGEF1C,0.000296371
ANKRD29,0.00029628
OPRD1,0.000295474
HES3,0.000295216
ACSL6,0.000294693
FCGR2B,0.000294614
SLC13A5,0.000293889
TMEM178B,0.000293125
ZFYVE28,0.000292753
PRKCA,0.000292106
MSI1,0.000291666
AMER2,0.000289794
PADI3,0.000288594
TESC,0.000283539
CYP2E1,0.000282689
WNT5A,0.000279155
NUAK1,0.000278956
IL1RAP,0.00027731
MAPK8IP2,0.000276619
S100A8,0.000276409
PPFIBP2,0.000275263
VWA5B2,0.000274478
SCML4,0.000272919
AARD,0.000269964
GJC3,0.000263743
DEFA29,0.000262196
AOC1,0.000259661
ELFN1,0.000257723
NTNG1,0.000257289
VDR,0.000255709
SLC13A2,0.000254983
ZP2,0.000253351
PDE8B,0.000251548
GCAT,0.000251393
DUSP4,0.000250978
CDHR1,0.000244919
CAR10,0.000244528
CRH,0.000243809
GRIK2,0.00024234
CHGB,0.000240021
REPS2,0.000236783
OVOL2,0.000234461
KCNA4,0.000231462
PIGR,0.000228597
TFCP2L1,0.000227614
MUC4,0.000227395
TNNT1,0.00022453
SCAPER,0.00022366
SLC8A2,0.000221638
ASTN1,0.000219282
DOCK3,0.000219083
ATG9B,0.000215783
HIST1H3A,0.000215261
LGR5,0.000212726
RAB3B,0.000212124
PDCD1,0.000211948
NRARP,0.000210769
GPR85,0.000210757
ADCY2,0.0002106
CRYM,0.000209696
PAK6,0.000209685
ADAMTS15,0.000209251
PPARGC1A,0.00020834
KLK1B27,0.000206748
LELP1,0.00020643
MAPT,0.000206061
ANKS1B,0.000205506
TMEM63C,0.000205149
KCNAB2,0.000203375
SHISA2,0.000200726
BAALC,0.00019955
TMEM114,0.000199007
PCDH10,0.000196946
FGF14,0.000195378
ICAM5,0.00019537
RUNDC3A,0.000195336
LIFR,0.00019437
UBE2QL1,0.000193825
CLEC2L,0.000192787
SH3GL2,0.000191653
IL2RB,0.000191216
GM13889,0.000190914
FAM189A1,0.000188408
BATF3,0.000188147
PDE4DIP,0.000186663
RORB,0.000183412
BRSK2,0.00018276
MTSS1,0.000181681
FAM131B,0.000179795
DYNC1I1,0.000177874
RTN4RL2,0.000177744
KLK13,0.000177574
MECP2,0.000177385
SPON2,0.00017521
ISM1,0.000175032
PCDHGC4,0.000174667
GREB1L,0.000173398
ARHGEF16,0.000170947
DMWD,0.00016974
CAPN9,0.000168431
FAM89A,0.000166958
CAMKV,0.000166669
ZFP507,0.000165662
CR2,0.000165241
SFXN1,0.000164834
FHDC1,0.000164823
MEIOB,0.000163652
TUB,0.000162473
TMEM136,0.000161782
LOXL4,0.00016
LONRF2,0.000159973
RIMBP2,0.000159191
TSLP,0.000158564
CLEC4F,0.000156858
PNCK,0.000156107
CYB5R2,0.000155152
PSD,0.000155112
SST,0.000154973
NDUFA10,0.000152421
SLC4A3,0.000152417
ARHGAP8,0.000151012
CHST15,0.000150788
PRR36,0.000148774
COL5A3,0.000148449
RBP4,0.000146826
NRAP,0.000145986
PRSS21,0.000144822
UNC5C,0.00014077
KANK4,0.000139683
TNFRSF8,0.000139195
TMEFF2,0.000139112
ICOSL,0.000138639
KRT24,0.000138288
MAP7D2,0.000137602
BDNF,0.000137327
ZPBP2,0.000136872
LZTFL1,0.000136029
FBLN2,0.000135623
FBLN1,0.000135589
OLFML2B,0.000135041
DDX31,0.000134252
IGSF11,0.000134022
KLK11,0.000133207
SLC5A1,0.000133202
SBSPON,0.000132911
NCF4,0.000132536
MYH14,0.000131885
TAC4,0.000130668
CNGB1,0.000129969
CLIC3,0.00012937
TRPV6,0.000128652
PPM1J,0.000125838
KCNMA1,0.000125729
NGB,0.000125525
FIGLA,0.000125507
ETL4,0.00012444
ACTL6B,0.000124357
SCG3,0.000124324
JPH2,0.000124013
STAC2,0.000122871
SLC35F3,0.000122586
GOLT1A,0.00012256
MEOX1,0.000121958
SLCO2A1,0.000121663
ETNK2,0.000119254
FARP2,0.000118415
MICALL2,0.000118213
CCDC182,0.000118042
RASAL3,0.00011801
ITIH3,0.000114893
GAP43,0.000114484
MYOG,0.000114328
MARK1,0.000114198
TRPC5,0.000113633
HEY1,0.000113157
ARF1,0.000112113
FRMD4A,0.000111999
TRPM3,0.00011121
SRC,0.000110835
PIPOX,0.000110353
WFS1,0.000109964
TSPAN7,0.000109834
KCNA3,0.000109738
SLC9A2,0.000107876
EPN2,0.000107828
FAM181B,0.000107696
CEACAM1,0.000107445
COL13A1,0.000107303
B4GALNT4,0.000106992
RNF157,0.000106429
CD207,0.000105812
NDRG4,0.000103702
NXPH4,0.000103433
KCNA6,0.000103312
PLEKHD1,0.000102887
HAUS7,0.000102459
SRCAP,0.000102219
SYNE2,0.00010197
DACT2,0.00010149
MAGI2,1.00E-04
FABP1,9.95E-05
GNG4,9.93E-05
BCAS1,9.89E-05
CSF2RB2,9.88E-05
ZCCHC18,9.84E-05
KIZ,9.84E-05
PRG2,9.83E-05
HTR7,9.80E-05
TMEM252,9.80E-05
FXYD7,9.72E-05
CYP4F39,9.72E-05
JAKMIP1,9.63E-05
PRIMA1,9.50E-05
ZFP467,9.49E-05
WNT16,9.49E-05
PRRG3,9.46E-05
HTR6,9.41E-05
SCN10A,9.40E-05
SORL1,9.36E-05
BCAS3,9.33E-05
SGPP2,9.27E-05
CLVS1,9.25E-05
SMOC1,9.24E-05
GPR143,9.21E-05
PDE11A,9.20E-05
ABCA4,9.17E-05
NPAS1,9.11E-05
GNL2,9.11E-05
ARHGEF4,9.11E-05
RIC3,9.04E-05
GNAO1,9.03E-05
RCAN2,9.00E-05
WFDC1,9.00E-05
GHSR,8.97E-05
INA,8.96E-05
CD209B,8.94E-05
PEX10,8.91E-05
CSMD3,8.77E-05
SOST,8.71E-05
ZCCHC12,8.70E-05
PPY,8.64E-05
FAM169B,8.63E-05
WFDC12,8.57E-05
SOGA3,8.55E-05
ESR1,8.53E-05
IL25,8.49E-05
ZBP1,8.45E-05
NEFH,8.45E-05
PCSK1N,8.38E-05
KIF21B,8.16E-05
SYT9,8.15E-05
SHROOM2,8.14E-05
GALNT16,8.09E-05
MYOM3,7.98E-05
PRG3,7.97E-05
RGL3,7.93E-05
CD247,7.90E-05
ANKRD24,7.89E-05
DOC2B,7.88E-05
FGF4,7.83E-05
CHGA,7.80E-05
FOXP2,7.79E-05
SNAP25,7.73E-05
RARB,7.68E-05
PRR15,7.67E-05
EPB41L3,7.63E-05
NBEA,7.62E-05
RTN1,7.57E-05
EDA,7.54E-05
CTU1,7.54E-05
PRR18,7.49E-05
HAPLN4,7.46E-05
VASH2,7.45E-05
STXBP6,7.44E-05
CORO2B,7.39E-05
SLITRK3,7.39E-05
MAPK11,7.34E-05
HTR2C,7.34E-05
SCN8A,7.29E-05
JPH4,7.29E-05
CNTN4,7.26E-05
LRFN1,7.25E-05
GDAP1,7.18E-05
LRFN5,7.13E-05
GJB4,7.10E-05
GPRIN1,7.10E-05
AATK,7.09E-05
CPNE7,7.08E-05
KCNQ5,7.07E-05
SSTR1,7.05E-05
AZGP1,7.04E-05
CABP1,7.04E-05
IGIP,6.99E-05
ABCA3,6.98E-05
FLRT2,6.94E-05
TIAM1,6.92E-05
CD7,6.91E-05
CCDC181,6.86E-05
MT3,6.78E-05
PANX2,6.77E-05
ADGRB3,6.77E-05
PMP22,6.74E-05
GJB3,6.73E-05
RHBDL3,6.73E-05
OXR1,6.72E-05
ABT1,6.71E-05
TCEAL3,6.70E-05
MPZL3,6.68E-05
KLK5,6.67E-05
ATP6V1C2,6.67E-05
AMER3,6.66E-05
GPR83,6.65E-05
PNMA3,6.62E-05
AGXT2,6.60E-05
CDX1,6.56E-05
HOXA9,6.53E-05
PEMT,6.50E-05
KCNK2,6.49E-05
LAMC1,6.48E-05
MC3R,6.47E-05
WNK4,6.44E-05
CREG2,6.37E-05
SSTR2,6.36E-05
ELAVL3,6.36E-05
OLFM2,6.34E-05
RAB36,6.30E-05
FAM81A,6.25E-05
LYPD1,6.25E-05
HSPA12B,6.25E-05
CRIP2,6.23E-05
SBSN,6.23E-05
NPR3,6.19E-05
ATRNL1,6.18E-05
PJA1,6.18E-05
NOL3,6.18E-05
ADAM23,6.17E-05
PPFIA4,6.15E-05
LPIN1,6.14E-05
CPT1A,6.14E-05
TMEM215,6.14E-05
PADI1,6.10E-05
EFR3B,6.10E-05
ARHGEF15,6.10E-05
NETO1,6.09E-05
TDRP,6.09E-05
NPY5R,6.07E-05
ACHE,6.07E-05
HTR3B,6.05E-05
BPIFA1,6.04E-05
RGS11,6.04E-05
RGS7,6.02E-05
ARHGAP6,6.01E-05
SLC2A6,5.99E-05
CD70,5.99E-05
AVPR1A,5.97E-05
RAB6B,5.95E-05
PTPRD,5.92E-05
NRIP3,5.90E-05
CD209A,5.89E-05
IMPACT,5.88E-05
SNAP91,5.88E-05
SOX5,5.88E-05
MAB21L1,5.86E-05
MAL2,5.83E-05
CD209D,5.82E-05
TMEM8B,5.80E-05
SRGAP3,5.79E-05
CASR,5.79E-05
EPX,5.78E-05
KCNC2,5.78E-05
PPARA,5.77E-05
PCP4L1,5.77E-05
APBA2,5.76E-05
GUCY1A2,5.76E-05
SLC7A14,5.76E-05
APLP1,5.75E-05
TUBA8,5.75E-05
CHN1,5.75E-05
GALR2,5.75E-05
KLK6,5.70E-05
GABRB3,5.69E-05
CLVS2,5.69E-05
AKP3,5.69E-05
CBLN4,5.68E-05
HAP1,5.67E-05
FAM57B,5.67E-05
PPP2R2B,5.66E-05
FRRS1L,5.66E-05
PRSS12,5.65E-05
PRDM1,5.64E-05
NOL4L,5.64E-05
VSTM4,5.64E-05
NRG3,5.61E-05
AKAIN1,5.61E-05
CHST2,5.59E-05
KISS1R,5.59E-05
SLC1A6,5.58E-05
COCH,5.58E-05
SEZ6L2,5.58E-05
CARD10,5.58E-05
OSBPL2,5.56E-05
TM6SF1,5.55E-05
AGBL4,5.54E-05
STK32A,5.52E-05
WNT2B,5.51E-05
USP3,5.51E-05
DENND1C,5.51E-05
SLITRK1,5.49E-05
NPDC1,5.46E-05
IGLC1,5.46E-05
NMU,5.45E-05
IL1RAPL1,5.44E-05
MBIP,5.42E-05
LHFPL4,5.41E-05
JPH1,5.40E-05
CDH6,5.40E-05
CERS1,5.39E-05
DNAIC2,5.39E-05
TMEM176A,5.37E-05
VPS37D,5.37E-05
PRAP1,5.35E-05
FBXO2,5.35E-05
TMEM151A,5.30E-05
IL1RAPL2,5.29E-05
RIMKLA,5.27E-05
CALCR,5.26E-05
SNRPB2,5.26E-05
THY1,5.25E-05
ACTA1,5.25E-05
RGS7BP,5.25E-05
LRRC3B,5.25E-05
GNG13,5.24E-05
SYT12,5.24E-05
TMEM130,5.24E-05
RIMS3,5.23E-05
COBL,5.22E-05
TRIM2,5.19E-05
RIMS1,5.19E-05
DLGAP1,5.18E-05
RPRM,5.16E-05
CGREF1,5.16E-05
AFAP1L1,5.16E-05
HID1,5.15E-05
MMAB,5.13E-05
SLC35D3,5.12E-05
KRT15,5.11E-05
TRPC6,5.08E-05
OPN4,5.07E-05
HOPX,5.05E-05
