	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6
Cellular_response_to_endogenous_stimulus	1	1	1	1	1	0.0058
Cellular_response_to_metal_ion	1	1	1	1	1	0.0061
Central_nervous_system_development	3.68e-05	1	5.91e-07	3.26e-08	1	1
Central_nervous_system_neuron_differentiation	1	1	1	4.78e-05	1	1
Chemical_synaptic_transmission	2.18e-05	1	1	1	1	4.47e-06
Chordate_embryonic_development	1	1	1	0.006	1	1
Cranial_nerve_development	1	1	1	0.0017	1	1
Developmental_process	2.63e-06	1	1	3.26e-08	1	1
Diencephalon_development	1	1	1	0.0051	1	1
Digestive_system_development	1	1	1	0.001	1	1
Digestive_tract_development	1	1	1	0.0052	1	1
Dorsal/ventral_pattern_formation	1	1	1	0.00066	1	1
Ear_morphogenesis	1	1	1	0.0049	1	1
Embryo_development	1	1	0.0076	3.42e-06	1.15e-07	1
Embryo_development_ending_in_birth_or_egg_hatching	1	1	1	0.0022	1	1
Embryonic_digit_morphogenesis	1	1	1	1	0.0016	1
Embryonic_forelimb_morphogenesis	1	1	0.00026	1	1	1
Embryonic_morphogenesis	1	1	0.00058	0.00014	1.15e-07	1
Embryonic_organ_development	1	1	1	5.36e-05	1	1
Embryonic_organ_morphogenesis	1	1	0.00061	0.002	1	1
Embryonic_skeletal_system_development	1	1	1	1	9.18e-10	1
Embryonic_skeletal_system_morphogenesis	1	1	1	1	1.68e-08	1
Endocrine_pancreas_development	1	1	1	0.0069	1	1
Endocrine_system_development	1	1	1	0.00064	1	1
Epithelial_cell_differentiation	1	1	1	0.00023	1	1
Epithelium_development	1	1	3.5e-05	2e-05	1	1
Export_from_cell	0.0011	1	1	1	1	1
Forebrain_development	1	1	0.0031	7.68e-05	1	1
Forelimb_morphogenesis	1	1	1.16e-05	1	1	1
Generation_of_neurons	7.76e-05	1	1	1	1	1
Gland_development	1	1	1	0.00075	1	1
Head_development	1	1	0.00016	5.2e-07	1	1
Heart_development	1	1	1	0.0059	1	1
Import_into_cell	1	1	1	1	1	1.96e-05
Inorganic_cation_import_across_plasma_membrane	1	1	1	1	1	1.21e-05
Inorganic_cation_transmembrane_transport	1	1	1	1	1	1.07e-10
Inorganic_ion_transmembrane_transport	1	1	1	1	1	7.53e-11
Ion_transmembrane_transport	1	1	1	1	1	1.81e-09
Kidney_development	1	1	1	0.0087	1	1
Learning	1	1	1	1	1	0.0073
Learning_or_memory	1	1	1	1	1	0.0077
Limb_morphogenesis	1	1	0.00017	1	0.00037	1
Limbic_system_development	1	1	1	0.0028	1	1
Localization	1	1	1	1	1	0.0043
Membrane_depolarization	1	1	1	1	1	0.0053
Mesenchymal_cell_differentiation	1	1	1	0.0027	1	1
Mesenchyme_development	1	1	1	0.0027	1	1
Metal_ion_transport	1	1	1	1	1	2.71e-09
Midbrain_development	1	1	1	0.0085	1	1
Modulation_of_chemical_synaptic_transmission	1.98e-05	1	1	1	1	0.0034
Morphogenesis_of_an_epithelium	1	1	0.0077	1	1	1
Multicellular_organism_development	2.2e-07	1	5.65e-08	8.97e-12	0.00013	0.00097
Multicellular_organismal_process	1.98e-05	1	6.31e-05	1.28e-08	1	7.5e-05
Multicellular_organismal_signaling	1	1	1	1	1	0.0033
Muscle_organ_development	1	1	1	0.00037	1	1
Muscle_structure_development	1	1	1	0.00066	1	1
Negative_regulation_of_RNA_metabolic_process	1	1	1	0.0087	1	1
Negative_regulation_of_apoptotic_process	1	1	1	0.0069	1	1
Negative_regulation_of_cell_differentiation	1	1	1	0.0025	1	1
Negative_regulation_of_developmental_process	1	1	1	0.0099	1	1
Nervous_system_development	1.81e-10	1	7.21e-07	2.44e-12	1	0.0025
Nervous_system_process	1	1	1	1	1	0.00012
Neurogenesis	3.22e-05	1	1	1	1	0.005
Neuron_development	0.0022	1	1	0.00032	1	1
Neuron_differentiation	0.00042	1	0.0079	4.19e-08	1	0.0039
Neuron_fate_commitment	1	1	1	0.0032	1	1
Neuron_fate_specification	1	1	1	0.003	1	1
Neuron_projection_development	1	1	1	0.0022	1	1
Neuron_projection_morphogenesis	1	1	1	0.00046	1	1
Neurotransmitter_transport	1	1	1	1	1	0.00012
Odontogenesis_of_dentin-containing_tooth	1	1	0.00027	1	1	1
Outflow_tract_morphogenesis	1	1	1	0.00041	1	1
Pancreas_development	1	1	1	0.00041	1	1
Pattern_specification_process	1	1	9.49e-05	7.32e-11	1.01e-06	1
Peripheral_nervous_system_neuron_development	1	1	1	0.0099	1	1
Positive_regulation_of_RNA_metabolic_process	1	1	1	2.72e-06	1	1
Positive_regulation_of_cellular_biosynthetic_process	1	1	1	5.3e-06	1	1
Positive_regulation_of_cellular_metabolic_process	1	1	0.00053	0.00027	1	1
Positive_regulation_of_macromolecule_biosynthetic_process	1	1	1	6.68e-06	1	1
Positive_regulation_of_macromolecule_metabolic_process	1	1	0.0031	0.0028	1	1
Positive_regulation_of_metabolic_process	1	1	1	0.0053	1	1
Positive_regulation_of_nitrogen_compound_metabolic_process	1	1	0.00062	0.00037	1	1
Positive_regulation_of_nucleobase-containing_compound_metabolic_process	1	1	1	6.07e-06	1	1
Positive_regulation_of_peptide_secretion	0.0085	1	1	1	1	1
Positive_regulation_of_transcription,_DNA-templated	1	1	7.59e-07	2.66e-06	1	1
Positive_regulation_of_transcription_by_RNA_polymerase_II	1	1	7.21e-07	1.62e-07	1	1
Potassium_ion_import_across_plasma_membrane	1	1	1	1	1	0.00023
Regionalization	1	1	1	8.49e-10	1	1
Regulation_of_DNA_binding	1	1	1	0.00049	1	1
Regulation_of_RNA_metabolic_process	1	1	1	1.08e-07	1	1
Regulation_of_binding	1	1	1	0.0078	1	1
Regulation_of_biological_process	0.0016	1	1	1	1	1
Regulation_of_biological_quality	0.00058	1	1	1	1	5.12e-08
Regulation_of_blood_circulation	1	1	1	1	1	0.0002
Regulation_of_cell_communication	6.57e-05	1	1	1	1	1
Regulation_of_cell_differentiation	1	1	1	0.00013	1	1
Regulation_of_cellular_biosynthetic_process	1	1	1	5.26e-07	1	1
Regulation_of_cellular_metabolic_process	1	1	1.69e-05	8.13e-06	1	1
Regulation_of_cellular_process	0.00018	1	0.0078	0.0014	1	1
Regulation_of_developmental_process	0.0013	1	1	0.0046	1	1
Regulation_of_gene_expression	1	1	7.73e-07	0.00015	1	1
Regulation_of_heart_contraction	1	1	1	1	1	0.00023
Regulation_of_hormone_secretion	0.0092	1	1	1	1	1
Regulation_of_ion_transmembrane_transport	0.0032	1	1	1	1	0.0002
Regulation_of_ion_transport	0.00042	1	1	1	1	0.00012
Regulation_of_localization	1	1	1	1	1	0.0062
Regulation_of_macromolecule_biosynthetic_process	1	1	1	5.26e-07	1	1
Regulation_of_macromolecule_metabolic_process	1	1	2.65e-05	0.00043	1	1
Regulation_of_membrane_potential	1	1	1	1	1	0.0008
Regulation_of_multicellular_organismal_process	1	1	1	1	1	0.00085
Regulation_of_nervous_system_process	0.004	1	1	1	1	1
Regulation_of_neuron_differentiation	1	1	1	0.0051	1	1
Regulation_of_neurotransmitter_levels	1	1	1	1	1	8.16e-05
Regulation_of_nitrogen_compound_metabolic_process	1	1	0.00011	1.08e-05	1	1
Regulation_of_nucleobase-containing_compound_metabolic_process	1	1	1	3.42e-07	1	1
Regulation_of_peptide_secretion	0.0059	1	1	1	1	1
Regulation_of_primary_metabolic_process	1	1	0.00018	7.78e-05	1	1
Regulation_of_secretion	0.0017	1	1	1	1	1
Regulation_of_secretion_by_cell	0.0015	1	1	1	1	1
Regulation_of_signaling	3.68e-05	1	1	1	1	1
Regulation_of_synapse_organization	0.0032	1	1	1	1	1
Regulation_of_synaptic_plasticity	0.00036	1	1	1	1	0.0053
Regulation_of_system_process	1	1	1	1	1	0.00068
Regulation_of_transcription,_DNA-templated	1	1	5.65e-08	3.74e-08	1	1
Regulation_of_transcription_by_RNA_polymerase_II	1	1	1.96e-08	1.25e-10	1	1
Regulation_of_transmembrane_transport	0.0066	1	1	1	1	1
Regulation_of_transport	0.002	1	1	1	1	0.0065
Response_to_amphetamine	1	1	1	1	1	0.00095
Response_to_chemical	1	1	1	1	1	0.0016
Response_to_endogenous_stimulus	1	1	1	1	1	0.0016
Response_to_hormone	1	1	1	1	1	0.009
Response_to_stimulus	1	1	1	1	1	0.0021
Secretion	1.98e-05	1	1	1	1	1
Secretion_by_cell	0.00083	1	1	1	1	1
Sensory_organ_development	1	1	0.00053	0.0023	1	1
Sensory_organ_morphogenesis	1	1	0.0004	1	1	1
Signaling	1.98e-05	1	1	1	1	6.77e-06
Skeletal_system_development	1	1	1	1	9.18e-10	1
Sodium_ion_transmembrane_transport	1	1	1	1	1	0.00044
Sodium_ion_transport	1	1	1	1	1	0.00023
Spinal_cord_development	1	1	1	7.4e-07	1	1
Spinal_cord_motor_neuron_differentiation	1	1	1	0.0028	1	1
Striated_muscle_contraction	1	1	1	1	1	0.0018
Synapse_organization	6.64e-06	1	1	1	1	1
Synaptic_signaling	7.45e-07	1	1	1	1	1
System_development	5.21e-08	1	5.65e-08	8.97e-12	1	0.0031
System_process	1	1	1	1	1	3.55e-05
Telencephalon_development	1	1	1	0.0047	1	1
Tissue_development	1	1	5.08e-06	4.14e-05	1	1
Tissue_morphogenesis	1	1	0.0035	0.002	1	1
Trans-synaptic_signaling	3.85e-06	1	1	1	1	1
Transmembrane_transport	1	1	1	1	1	3.47e-08
Transport	1	1	1	1	1	0.002
Tube_development	1	1	1	0.00013	1	1
Ureteric_bud_development	1	1	1	0.008	1	1
Urogenital_system_development	1	1	1	0.0049	1	1
Ventral_spinal_cord_development	1	1	1	0.0007	1	1
