GENE,cluster1,cluster2,cluster3
NKX2-3,1.0,0.0,0.0
EEF1A2,1.0,0.0,0.0
ACOXL,1.0,0.0,0.0
PLCH2,1.0,0.0,0.0
CCDC33,1.0,0.0,0.0
SMUG1,1.0,0.0,0.0
CBX4,1.0,0.0,0.0
DPYSL2,1.0,0.0,0.0
TBKBP1,1.0,0.0,0.0
GP1BB,1.0,0.0,0.0
WNT7B,1.0,0.0,0.0
BARX2,1.0,0.0,0.0
TENM4,1.0,0.0,0.0
CACNA2D4,1.0,0.0,0.0
KCNJ5,1.0,0.0,0.0
OVOL1,1.0,0.0,0.0
EBF1,1.0,0.0,0.0
CDK5R2,1.0,0.0,0.0
NXPH1,1.0,0.0,0.0
ABLIM2,1.0,0.0,0.0
LEF1,1.0,0.0,0.0
LRRC4B,1.0,0.0,0.0
TRIM36,1.0,0.0,0.0
LRFN2,1.0,0.0,0.0
FRMPD1,1.0,0.0,0.0
NGFR,1.0,0.0,0.0
DPYSL5,1.0,0.0,0.0
GBX1,1.0,0.0,0.0
FGF8,1.0,0.0,0.0
HOXA11,8.611412717661832e-167,1.0,0.0
KCNIP1,1.0,0.0,0.0
TCF15,1.0,0.0,0.0
CHST8,1.0,0.0,0.0
MNX1,1.0,0.0,0.0
ZBTB7C,1.0,0.0,0.0
LIN28B,1.0,0.0,0.0
MYT1L,1.0,0.0,0.0
PCDH8,1.0,0.0,0.0
ASIC2,1.0,0.0,0.0
PDGFB,1.0,0.0,0.0
LY6H,1.0,0.0,0.0
IQSEC3,1.0,0.0,0.0
TRIM67,1.0,0.0,0.0
KCND3,1.0,0.0,0.0
CDKN2C,1.0,0.0,0.0
ADGRB1,1.0,0.0,0.0
EHBP1,1.0,0.0,0.0
RTBDN,1.0,0.0,0.0
SOX3,1.0,0.0,0.0
CITED1,1.0,0.0,0.0
MFSD4A,1.0,0.0,0.0
GPRIN2,1.0,0.0,0.0
COL2A1,1.0,0.0,0.0
SPR,1.0,0.0,0.0
ALX3,1.0,0.0,0.0
ALDH1A3,1.0,0.0,0.0
RAP1GAP,1.0,0.0,0.0
SEZ6L,1.0,0.0,0.0
GIMAP5,1.0,0.0,0.0
SIM1,1.0,0.0,0.0
SLC26A10,1.0,0.0,0.0
SLC18A2,1.0,0.0,0.0
C1QC,1.0,0.0,0.0
UNC13A,1.0,0.0,0.0
TCEA2,1.0,0.0,0.0
PCK1,1.0,0.0,0.0
IRF4,1.0,0.0,0.0
PSD2,1.0,0.0,0.0
HOXA1,4.828965404834248e-161,1.0,0.0
SP8,1.0,0.0,0.0
MECOM,1.0,0.0,0.0
EGR3,1.0,0.0,0.0
HEY2,1.0,0.0,0.0
HOXB6,5.163477039194199e-179,1.0,0.0
BCAN,1.0,0.0,0.0
IQSEC2,1.0,0.0,0.0
TNNI3,1.0,0.0,0.0
MCF2L,1.0,0.0,0.0
GLP1R,1.0,0.0,0.0
MRGPRE,1.0,0.0,0.0
CBX2,1.0,0.0,0.0
COL4A2,1.0,0.0,0.0
RASGEF1A,1.0,0.0,0.0
DTX1,1.0,0.0,0.0
CYP46A1,1.0,0.0,0.0
BMI1,1.0,0.0,0.0
DPF1,1.0,0.0,0.0
ATP2B2,1.0,0.0,0.0
DLX1,1.0,0.0,0.0
PRKCZ,1.0,0.0,0.0
CACNG8,1.0,0.0,0.0
NCKAP1L,1.0,0.0,0.0
LRRN2,1.0,0.0,0.0
POM121L2,1.0,0.0,0.0
GNAL,1.0,0.0,0.0
CPLX2,1.0,0.0,0.0
AUTS2,1.0,0.0,0.0
TBC1D21,1.0,0.0,0.0
ARC,1.0,0.0,0.0
SP5,1.0,0.0,0.0
SLC30A3,1.0,0.0,0.0
WNT6,1.0,0.0,0.0
PDZD4,1.0,0.0,0.0
SCN2B,1.0,0.0,0.0
KCNK10,1.0,0.0,0.0
MTMR9,1.0,0.0,0.0
COMP,1.0,0.0,0.0
SEZ6,1.0,0.0,0.0
AQP5,1.0,0.0,0.0
EFNB3,1.0,0.0,0.0
GABRD,1.0,0.0,0.0
DNAH8,1.0,0.0,0.0
MAL,1.0,0.0,0.0
SORCS3,1.0,0.0,0.0
HOXC6,3.856063606328424e-255,0.0,1.0
ST8SIA3,1.0,0.0,0.0
FGD5,1.0,0.0,0.0
BEAN1,1.0,0.0,0.0
DGKK,1.0,0.0,0.0
NFASC,1.0,0.0,0.0
SLC6A3,1.0,0.0,0.0
FAM124A,1.0,0.0,0.0
BLK,1.0,0.0,0.0
TFAP2B,1.0,0.0,0.0
OTOP2,1.0,0.0,0.0
CYS1,1.0,0.0,0.0
MRGPRG,1.0,0.0,0.0
LGI2,1.0,0.0,0.0
CPXM1,1.0,0.0,0.0
SPON1,1.0,0.0,0.0
HPCA,1.0,0.0,0.0
TBX3,1.0,0.0,0.0
GRID1,1.0,0.0,0.0
CACNA1H,1.0,0.0,0.0
TFAP2C,1.0,0.0,0.0
CHRNA2,1.0,0.0,0.0
PRKAG2,1.0,0.0,0.0
GALNT18,1.0,0.0,0.0
NTRK3,1.0,0.0,0.0
ETS1,1.0,0.0,0.0
ALK,1.0,0.0,0.0
SYT6,1.0,0.0,0.0
OTX2,1.0,0.0,0.0
CACNA1S,1.0,0.0,0.0
DRD2,1.0,0.0,0.0
HOXB3,2.3819086561481912e-231,1.0,0.0
BPIFA3,1.0,0.0,0.0
DLGAP3,1.0,0.0,0.0
PPP1R1A,1.0,0.0,0.0
AJAP1,1.0,0.0,0.0
NPHS1,1.0,0.0,0.0
FOXE3,1.0,0.0,0.0
PROK2,1.0,0.0,0.0
