	cluster1
Ear_morphogenesis	9.05e-05
Embryo_development	4.68e-15
Embryonic_camera-type_eye_morphogenesis	0.0003
Embryonic_digestive_tract_development	0.00074
Embryonic_digestive_tract_morphogenesis	0.0013
Embryonic_digit_morphogenesis	0.0062
Embryonic_eye_morphogenesis	6.32e-05
Embryonic_heart_tube_development	0.0037
Embryonic_limb_morphogenesis	5.84e-05
Embryonic_morphogenesis	4.16e-13
Embryonic_organ_development	9.36e-15
Embryonic_organ_morphogenesis	8.06e-13
Embryonic_skeletal_system_development	1.54e-06
Embryonic_skeletal_system_morphogenesis	0.0001
Endocrine_pancreas_development	0.00013
Endocrine_system_development	1.21e-08
Enteroendocrine_cell_differentiation	0.0072
Epithelial_cell_differentiation	5.61e-11
Epithelial_tube_morphogenesis	0.0023
Epithelium_development	2.12e-13
Eye_development	6.87e-06
Eye_morphogenesis	0.0026
Forebrain_development	8.93e-06
Forebrain_regionalization	0.0037
Gland_development	3.87e-10
Glandular_epithelial_cell_differentiation	0.0012
Glial_cell_differentiation	3.35e-05
Head_development	1.56e-13
Heart_development	0.0048
Heart_looping	0.009
Heart_morphogenesis	0.00033
In_utero_embryonic_development	0.0034
Inner_ear_development	0.002
Inner_ear_morphogenesis	0.0018
Kidney_development	1.16e-05
Kidney_epithelium_development	1.8e-05
Kidney_morphogenesis	0.0051
Limb_development	0.00016
Mesenchymal_cell_differentiation	1.54e-05
Mesenchymal_cell_proliferation	0.0053
Mesenchyme_development	1.46e-07
Mesonephros_development	8.66e-05
Metanephric_nephron_development	0.0096
Metanephros_development	5.42e-06
Morphogenesis_of_a_branching_epithelium	0.0028
Morphogenesis_of_a_branching_structure	0.00067
Morphogenesis_of_an_epithelium	1.21e-05
Morphogenesis_of_embryonic_epithelium	0.0096
Multicellular_organism_development	2.3e-19
Multicellular_organismal_process	4.81e-14
Muscle_tissue_development	0.0028
Negative_regulation_of_RNA_metabolic_process	3.21e-06
Negative_regulation_of_apoptotic_process	0.0077
Negative_regulation_of_apoptotic_process_involved_in_morphogenesis	0.0025
Negative_regulation_of_cell_differentiation	2.97e-05
Negative_regulation_of_cellular_biosynthetic_process	2.61e-05
Negative_regulation_of_cellular_metabolic_process	0.0032
Negative_regulation_of_developmental_process	1.76e-05
Negative_regulation_of_macromolecule_biosynthetic_process	1.29e-05
Negative_regulation_of_macromolecule_metabolic_process	0.0059
Negative_regulation_of_mesenchymal_cell_apoptotic_process	0.007
Negative_regulation_of_neuron_differentiation	2.15e-06
Negative_regulation_of_nitrogen_compound_metabolic_process	0.0043
Negative_regulation_of_transcription,_DNA-templated	2.05e-06
Negative_regulation_of_transcription_by_RNA_polymerase_II	2.75e-06
Nephron_development	1.68e-05
Nephron_epithelium_development	0.0016
Nervous_system_development	1.19e-22
Neural_crest_cell_differentiation	0.0064
Neuroepithelial_cell_differentiation	0.00058
Neurogenesis	8.13e-16
Neuron_development	3.21e-06
Neuron_differentiation	3.46e-14
Neuron_fate_commitment	1.92e-10
Neuron_fate_specification	2.1e-06
Neuron_projection_development	0.0011
Neuron_projection_morphogenesis	0.00034
Odontogenesis	1.17e-06
Odontogenesis_of_dentin-containing_tooth	4.53e-05
Oligodendrocyte_differentiation	0.00033
Pallium_development	0.0052
Pancreas_development	2.22e-05
Pancreatic_A_cell_differentiation	0.007
Pattern_specification_process	6.51e-20
Pituitary_gland_development	0.00017
Placenta_development	0.0018
Plasma_membrane_bounded_cell_projection_organization	0.0021
Positive_regulation_of_DNA_binding	0.00068
Positive_regulation_of_RNA_metabolic_process	9.21e-16
Positive_regulation_of_biological_process	0.00046
Positive_regulation_of_biosynthetic_process	8.49e-14
Positive_regulation_of_cell_differentiation	0.00025
Positive_regulation_of_cellular_metabolic_process	1.08e-08
Positive_regulation_of_cellular_process	4.51e-05
Positive_regulation_of_developmental_process	0.00053
Positive_regulation_of_macromolecule_metabolic_process	1.02e-06
Positive_regulation_of_metabolic_process	2.58e-06
Positive_regulation_of_neuron_differentiation	0.00071
Positive_regulation_of_nitrogen_compound_metabolic_process	1.85e-07
Positive_regulation_of_transcription,_DNA-templated	2.83e-16
Positive_regulation_of_transcription_by_RNA_polymerase_II	8.23e-20
Positive_regulation_of_transcription_regulatory_region_DNA_binding	0.0042
Regionalization	1.82e-17
Regulation_of_DNA_binding	0.00056
Regulation_of_RNA_metabolic_process	2.37e-14
Regulation_of_binding	0.0085
Regulation_of_biosynthetic_process	2.39e-11
Regulation_of_cell_differentiation	6.37e-05
Regulation_of_cellular_biosynthetic_process	3.91e-11
Regulation_of_cellular_metabolic_process	3.18e-08
Regulation_of_cellular_process	1.4e-05
Regulation_of_developmental_process	6.22e-05
Regulation_of_epithelial_to_mesenchymal_transition	0.0067
Regulation_of_gene_expression	4.39e-10
Regulation_of_macromolecule_biosynthetic_process	5.28e-12
Regulation_of_macromolecule_metabolic_process	4.81e-07
Regulation_of_metabolic_process	8.64e-06
Regulation_of_multicellular_organismal_development	0.0062
Regulation_of_multicellular_organismal_process	0.0055
Regulation_of_neuron_differentiation	9.46e-07
Regulation_of_nitrogen_compound_metabolic_process	3.66e-07
Regulation_of_primary_metabolic_process	1.32e-06
Regulation_of_transcription,_DNA-templated	2.21e-14
Regulation_of_transcription_by_RNA_polymerase_II	2.17e-17
Regulation_of_transcription_regulatory_region_DNA_binding	0.0005
Reproductive_structure_development	2.96e-05
Roof_of_mouth_development	8.66e-05
Secretion	0.0096
Sensory_organ_development	8.63e-11
Sensory_organ_morphogenesis	8.78e-07
Sensory_system_development	3.06e-07
Skeletal_system_development	9.23e-08
Skeletal_system_morphogenesis	7.32e-07
Spinal_cord_development	1.57e-05
Spinal_cord_dorsal/ventral_patterning	0.0013
Spinal_cord_motor_neuron_cell_fate_specification	0.0056
Spinal_cord_motor_neuron_differentiation	0.00052
Stem_cell_differentiation	2.69e-05
System_development	1.35e-19
Telencephalon_development	0.0026
Tissue_development	1.33e-13
Tissue_morphogenesis	8.48e-08
Trigeminal_nerve_development	0.0086
Tube_development	1.94e-06
Tube_morphogenesis	0.0003
Ureteric_bud_development	0.00056
Urogenital_system_development	1.18e-05
Ventral_spinal_cord_development	1.74e-05
Ventral_spinal_cord_interneuron_fate_commitment	0.0086
