	cluster1	cluster2	cluster3
Neuron_fate_commitment	3.33e-07	1	1
Neuron_fate_determination	0.0056	1	1
Neuron_fate_specification	0.0056	1	1
Neuron_migration	5.96e-05	1	1
Neuron_projection_development	5.1e-07	1	1
Neuron_projection_morphogenesis	4.74e-07	1	1
Neurotransmitter_transport	5.96e-05	1	1
Pallium_development	0.00037	1	1
Pancreatic_A_cell_differentiation	0.0002	1	1
Pattern_specification_process	3.99e-14	1	1
Plasma_membrane_bounded_cell_projection_organization	1.51e-06	1	1
Positive_regulation_of_RNA_metabolic_process	5.53e-08	1	1
Positive_regulation_of_biological_process	0.0057	1	1
Positive_regulation_of_cell_differentiation	2.8e-05	1	1
Positive_regulation_of_cellular_metabolic_process	9.93e-05	1	1
Positive_regulation_of_cellular_process	0.0024	1	1
Positive_regulation_of_developmental_process	1.18e-05	1	1
Positive_regulation_of_macromolecule_metabolic_process	0.0018	1	1
Positive_regulation_of_metabolic_process	0.0025	1	1
Positive_regulation_of_neuron_differentiation	1.71e-08	1	1
Positive_regulation_of_nitrogen_compound_metabolic_process	0.0008	1	1
Positive_regulation_of_transcription,_DNA-templated	1.09e-07	1	1
Positive_regulation_of_transcription_by_RNA_polymerase_II	7.6e-08	0.00011	1
Potassium_ion_homeostasis	0.0079	1	1
Regionalization	1.19e-14	1	1
Regulation_of_BMP_signaling_pathway	0.00074	1	1
Regulation_of_RNA_metabolic_process	9.41e-12	1	1
Regulation_of_biological_quality	0.0017	1	1
Regulation_of_cell_development	0.0078	1	1
Regulation_of_cell_differentiation	0.00069	1	1
Regulation_of_cellular_biosynthetic_process	2.3e-09	1	1
Regulation_of_cellular_metabolic_process	9.82e-07	1	1
Regulation_of_cellular_process	1.27e-05	1	1
Regulation_of_developmental_process	0.00017	1	1
Regulation_of_gene_expression	2.22e-08	1	1
Regulation_of_glomerular_mesangial_cell_proliferation	0.0056	1	1
Regulation_of_macromolecule_biosynthetic_process	4.62e-10	1	1
Regulation_of_macromolecule_metabolic_process	7.03e-06	1	1
Regulation_of_mesenchymal_cell_apoptotic_process	0.0093	1	1
Regulation_of_metabolic_process	3.13e-05	1	1
Regulation_of_multicellular_organismal_development	0.0052	1	1
Regulation_of_multicellular_organismal_process	0.00051	1	1
Regulation_of_nervous_system_development	0.00074	1	1
Regulation_of_neurogenesis	0.0025	1	1
Regulation_of_neuron_differentiation	1.7e-07	1	1
Regulation_of_nitrogen_compound_metabolic_process	3.76e-06	1	1
Regulation_of_primary_metabolic_process	4.44e-06	1	1
Regulation_of_transcription,_DNA-templated	4.23e-12	1	1
Regulation_of_transcription_by_RNA_polymerase_II	3.99e-14	1	1
Regulation_of_transmembrane_receptor_protein_serine/threonine_kinase_signaling_pathway	0.0013	1	1
Reproductive_structure_development	0.0087	1	1
Segmentation	0.0056	1	1
Sensory_organ_development	1.2e-06	1	1
Sensory_organ_morphogenesis	8.94e-07	1	1
Skeletal_system_morphogenesis	0.0092	1	1
Spinal_cord_development	4.13e-07	1	1
Spinal_cord_motor_neuron_differentiation	0.00033	1	1
Spleen_development	0.0085	1	1
Synapse_organization	0.0099	1	1
System_development	3.37e-18	0.0008	1
System_process	0.00013	1	1
Telencephalon_cell_migration	0.0006	1	1
Telencephalon_development	2.73e-05	1	1
Tissue_development	2.35e-09	1	1
Tube_development	2.98e-05	1	1
Type_B_pancreatic_cell_differentiation	0.0025	1	1
Ureteric_bud_development	0.0025	1	1
Urogenital_system_development	0.00035	1	1
Ventral_spinal_cord_development	0.00013	1	1
Visual_perception	0.008	1	1
Visual_system_development	0.00086	1	1
