	cluster1
Heart_morphogenesis	0.00036
Import_across_plasma_membrane	0.0097
Inner_ear_morphogenesis	0.00025
Inorganic_cation_import_across_plasma_membrane	0.0069
Kidney_development	0.0055
Kidney_epithelium_development	0.0056
Learning	0.0088
Learning_or_memory	0.0031
Limb_development	0.00018
Limbic_system_development	4.18e-05
Locomotion	0.00035
Mesenchymal_cell_differentiation	1.7e-06
Mesenchyme_development	1.25e-07
Mesonephros_development	0.00079
Metanephros_development	0.0039
Modulation_of_chemical_synaptic_transmission	0.00058
Morphogenesis_of_a_branching_epithelium	0.00051
Morphogenesis_of_an_epithelium	1.13e-05
Morphogenesis_of_embryonic_epithelium	0.0017
Multicellular_organism_development	2.5e-25
Multicellular_organismal_process	1.16e-19
Muscle_tissue_development	0.0098
Negative_regulation_of_RNA_metabolic_process	0.00066
Negative_regulation_of_apoptotic_process	0.00099
Negative_regulation_of_biological_process	0.00071
Negative_regulation_of_cell_differentiation	0.00012
Negative_regulation_of_cellular_biosynthetic_process	0.0031
Negative_regulation_of_cellular_process	0.0014
Negative_regulation_of_developmental_process	0.00021
Negative_regulation_of_macromolecule_biosynthetic_process	0.0017
Negative_regulation_of_mesenchymal_cell_apoptotic_process	0.0064
Negative_regulation_of_nervous_system_development	0.0085
Negative_regulation_of_neuron_apoptotic_process	0.00035
Negative_regulation_of_neuron_differentiation	0.0022
Negative_regulation_of_striated_muscle_cell_apoptotic_process	0.0044
Negative_regulation_of_transcription,_DNA-templated	0.00051
Negative_regulation_of_transcription_by_RNA_polymerase_II	0.00012
Nervous_system_development	8.13e-29
Nervous_system_process	7.35e-07
Neural_crest_cell_differentiation	0.00012
Neural_tube_development	0.003
Neurogenesis	1.05e-19
Neuron_development	1.22e-11
Neuron_differentiation	2.71e-20
Neuron_fate_commitment	4.09e-09
Neuron_fate_specification	3.99e-05
Neuron_migration	0.0011
Neuron_projection_development	1.29e-08
Neuron_projection_morphogenesis	2.67e-08
Neurotransmitter_transport	0.00018
Odontogenesis	9.44e-05
Odontogenesis_of_dentin-containing_tooth	0.0035
Outflow_tract_morphogenesis	0.0021
Pallium_development	0.0047
Pattern_specification_process	1.52e-18
Pharyngeal_system_development	0.00051
Plasma_membrane_bounded_cell_projection_organization	6.37e-07
Positive_regulation_of_DNA_binding	0.0061
Positive_regulation_of_RNA_metabolic_process	5.57e-13
Positive_regulation_of_biological_process	1.76e-06
Positive_regulation_of_cell_differentiation	3.86e-07
Positive_regulation_of_cellular_metabolic_process	3.22e-08
Positive_regulation_of_cellular_process	3.59e-06
Positive_regulation_of_developmental_process	4.47e-08
Positive_regulation_of_macromolecule_metabolic_process	1.16e-07
Positive_regulation_of_metabolic_process	8.74e-07
Positive_regulation_of_multicellular_organismal_process	0.00056
Positive_regulation_of_neuron_differentiation	0.00074
Positive_regulation_of_nitrogen_compound_metabolic_process	4.5e-07
Positive_regulation_of_transcription,_DNA-templated	7.25e-13
Positive_regulation_of_transcription_by_RNA_polymerase_II	1.7e-15
Prostate_glandular_acinus_development	0.0064
Regionalization	1.77e-14
Regulation_of_DNA_binding	0.00059
Regulation_of_RNA_metabolic_process	1.42e-12
Regulation_of_anatomical_structure_morphogenesis	0.00052
Regulation_of_animal_organ_morphogenesis	0.004
Regulation_of_apoptotic_process	0.0021
Regulation_of_axon_extension	0.0056
Regulation_of_binding	0.0076
Regulation_of_biological_process	0.00019
Regulation_of_biological_quality	4.31e-05
Regulation_of_cell_communication	0.0011
Regulation_of_cell_development	0.0022
Regulation_of_cell_differentiation	2.26e-06
Regulation_of_cell_proliferation_involved_in_heart_morphogenesis	0.0018
Regulation_of_cellular_biosynthetic_process	1.61e-09
Regulation_of_cellular_metabolic_process	5.25e-07
Regulation_of_cellular_process	1.32e-05
Regulation_of_developmental_process	1.52e-08
Regulation_of_epithelial_cell_proliferation	0.0018
Regulation_of_gene_expression	5.35e-10
Regulation_of_macromolecule_biosynthetic_process	2.72e-10
Regulation_of_macromolecule_metabolic_process	4.11e-07
Regulation_of_metabolic_process	7.76e-06
Regulation_of_multicellular_organismal_development	4.79e-06
Regulation_of_multicellular_organismal_process	3.74e-08
Regulation_of_nervous_system_development	0.00019
Regulation_of_neurogenesis	0.00051
Regulation_of_neuron_apoptotic_process	0.00066
Regulation_of_neuron_death	0.0028
Regulation_of_neuron_differentiation	7.84e-07
Regulation_of_neuron_projection_development	0.0023
Regulation_of_nitrogen_compound_metabolic_process	1.86e-06
Regulation_of_primary_metabolic_process	2.59e-06
Regulation_of_secondary_heart_field_cardioblast_proliferation	0.0064
Regulation_of_signaling	0.0012
Regulation_of_striated_muscle_cell_apoptotic_process	0.0014
Regulation_of_system_process	0.0059
Regulation_of_transcription,_DNA-templated	1.38e-12
Regulation_of_transcription_by_RNA_polymerase_II	2.03e-15
Regulation_of_transcription_regulatory_region_DNA_binding	0.00052
Reproductive_structure_development	0.0021
Response_to_chemical	0.004
Roof_of_mouth_development	0.0054
Secretion	0.00085
Semicircular_canal_development	0.0053
Sensory_organ_development	6.58e-10
Sensory_organ_morphogenesis	7.35e-07
Sensory_perception	0.0053
Sensory_system_development	4.56e-05
Signaling	0.0012
Skeletal_system_development	2.05e-06
Skeletal_system_morphogenesis	0.0002
Spinal_cord_development	0.0011
Stem_cell_differentiation	0.0002
Synapse_organization	0.0015
System_development	3.11e-27
System_process	1.03e-06
Telencephalon_development	0.0025
Thyroid_gland_development	0.0054
Tissue_development	8.51e-13
Tissue_morphogenesis	1.76e-06
Tongue_development	0.00012
Tongue_morphogenesis	0.0064
Tube_development	1.61e-06
Tube_morphogenesis	0.00033
Ureteric_bud_development	0.0043
Urogenital_system_development	6.17e-05
Ventral_spinal_cord_development	0.0027
