	cluster1
Regulation_of_neurogenesis	0.0005
Regulation_of_neuron_differentiation	0.0081
Regulation_of_neuron_projection_development	0.0026
Regulation_of_neurotransmitter_levels	0.00081
Regulation_of_nitrogen_compound_metabolic_process	2.74e-08
Regulation_of_primary_metabolic_process	1.05e-07
Regulation_of_secondary_heart_field_cardioblast_proliferation	0.007
Regulation_of_transcription,_DNA-templated	2.09e-13
Regulation_of_transcription_by_RNA_polymerase_II	1.63e-16
Reproductive_structure_development	0.0023
Response_to_chemical	0.00031
Response_to_organic_cyclic_compound	6.63e-05
Response_to_organic_substance	0.0083
Response_to_oxygen-containing_compound	0.0054
Secretion	0.00024
Secretion_by_cell	6.63e-05
Sensory_organ_development	2.45e-08
Sensory_organ_morphogenesis	3.06e-05
Sensory_system_development	8.79e-06
Signal_release	0.0012
Sinoatrial_node_development	0.00048
Skeletal_system_development	2.46e-06
Skeletal_system_morphogenesis	3.06e-05
Spinal_cord_development	0.008
Spinal_cord_motor_neuron_cell_fate_specification	0.0057
Stem_cell_differentiation	2.75e-05
System_development	9.54e-26
System_process	0.0057
Telencephalon_development	3.05e-06
Tissue_development	2.72e-13
Tissue_morphogenesis	8.65e-08
Tube_development	4.8e-07
Tube_morphogenesis	8.83e-05
Ureteric_bud_development	0.0006
Urogenital_system_development	0.0051
