	cluster1	cluster2	cluster3
Negative_regulation_of_cell_population_proliferation	1	1	0.0087
Negative_regulation_of_cellular_biosynthetic_process	0.00029	1	1
Negative_regulation_of_cellular_metabolic_process	0.0093	1	1
Negative_regulation_of_cellular_process	0.0034	1	0.0072
Negative_regulation_of_macromolecule_biosynthetic_process	0.00017	1	1
Negative_regulation_of_neuron_differentiation	0.0075	1	1
Negative_regulation_of_transcription,_DNA-templated	4.97e-05	1	0.0095
Negative_regulation_of_transcription_by_RNA_polymerase_II	0.00028	1	0.0082
Nerve_development	1	1	0.0019
Nervous_system_development	8.12e-18	1	7.84e-07
Neural_precursor_cell_proliferation	0.00028	1	1
Neuroendocrine_cell_differentiation	0.00053	1	1
Neurogenesis	1.87e-15	1	1
Neuron_development	1.14e-07	1	1
Neuron_differentiation	1.87e-15	1	0.0026
Neuron_fate_commitment	1.55e-07	1	1
Neuron_fate_determination	0.0046	1	1
Neuron_fate_specification	1.17e-05	1	1
Neuron_migration	0.0019	1	1
Neuron_projection_development	2.31e-06	1	1
Neuron_projection_morphogenesis	1.96e-05	1	0.0087
Optic_vesicle_morphogenesis	1	1	0.0028
Pallium_development	2.43e-07	1	1
Pancreas_development	5.61e-05	1	1
Pancreatic_A_cell_differentiation	0.0046	1	1
Pattern_specification_process	1.75e-12	1	2.67e-07
Plasma_membrane_bounded_cell_projection_organization	3.06e-06	1	1
Positive_regulation_of_RNA_metabolic_process	1.88e-09	1	1
Positive_regulation_of_biological_process	8.49e-05	1	1
Positive_regulation_of_cardioblast_differentiation	1	1	0.009
Positive_regulation_of_cell_differentiation	0.00028	1	1
Positive_regulation_of_cell_population_proliferation	0.0024	1	1
Positive_regulation_of_cellular_metabolic_process	3.55e-06	1	0.0013
Positive_regulation_of_cellular_process	3.73e-05	1	1
Positive_regulation_of_developmental_growth	0.0043	1	1
Positive_regulation_of_developmental_process	0.0018	1	1
Positive_regulation_of_macromolecule_metabolic_process	4.44e-06	1	0.0048
Positive_regulation_of_metabolic_process	6.29e-06	1	1
Positive_regulation_of_nitrogen_compound_metabolic_process	1.58e-05	1	0.0015
Positive_regulation_of_transcription,_DNA-templated	4.86e-09	1	9.17e-05
Positive_regulation_of_transcription_by_RNA_polymerase_II	1.06e-09	1	3.71e-05
Proximal/distal_pattern_formation	1	0.00043	1
Regionalization	1.05e-10	1	1.59e-05
Regulation_of_RNA_metabolic_process	1.22e-07	1	1
Regulation_of_biological_process	0.0049	1	1
Regulation_of_cell_differentiation	0.00027	1	1
Regulation_of_cell_population_proliferation	0.0046	1	0.00044
Regulation_of_cellular_biosynthetic_process	2.74e-06	1	1
Regulation_of_cellular_metabolic_process	2.67e-05	1	0.0011
Regulation_of_cellular_process	0.00092	1	1
Regulation_of_developmental_process	7.65e-05	1	1
Regulation_of_gene_expression	9.52e-06	1	0.00013
Regulation_of_macromolecule_biosynthetic_process	7.77e-07	1	1
Regulation_of_macromolecule_metabolic_process	0.00025	1	0.00097
Regulation_of_metabolic_process	0.0003	1	1
Regulation_of_multicellular_organismal_process	0.00056	1	1
Regulation_of_neuron_differentiation	0.00028	1	1
Regulation_of_nitrogen_compound_metabolic_process	8.53e-05	1	0.0013
Regulation_of_primary_metabolic_process	0.00022	1	0.0019
Regulation_of_transcription,_DNA-templated	2.86e-08	1	6.47e-06
Regulation_of_transcription_by_RNA_polymerase_II	1.05e-10	1	1
Roof_of_mouth_development	1	1	0.0025
Segmentation	0.0036	1	1
Sensory_organ_development	2.43e-07	1	4.62e-05
Sensory_organ_morphogenesis	2.22e-06	1	0.00073
Sensory_system_development	1	1	0.0038
Sinoatrial_node_development	0.0065	1	1
Skeletal_system_development	1	2.35e-11	1
Skeletal_system_morphogenesis	0.0051	5.75e-07	1
Spinal_cord_association_neuron_differentiation	0.0054	1	1
Spinal_cord_development	1.31e-08	1	1
Spinal_cord_dorsal/ventral_patterning	2.34e-05	1	1
Spinal_cord_motor_neuron_differentiation	0.00021	1	1
Stem_cell_proliferation	0.0087	1	1
System_development	3.28e-17	1	7.84e-07
Telencephalon_cell_migration	2.58e-05	1	1
Telencephalon_development	1.56e-07	1	1
Telencephalon_regionalization	1	1	0.00049
Tissue_development	2.15e-08	1	4.26e-07
Tissue_morphogenesis	1	1	0.00035
Tube_development	0.0011	1	0.00073
Tube_morphogenesis	1	1	0.0065
Ventral_spinal_cord_development	4.25e-06	1	1
Ventral_spinal_cord_interneuron_fate_commitment	0.00018	1	1
Ventral_spinal_cord_interneuron_specification	0.0022	1	1
