,GSM00001
PRRX1,0.0233
KCNK13,0.0232
NR2E1,0.0231
ADGRA1,0.0228
IRF8,0.0219
PCDH1,0.0219
ZFHX3,0.0218
DNAJB8,0.0214
SMUG1,0.0206
COL27A1,0.0206
EGFLAM,0.0205
DMRT3,0.0204
NGFR,0.0196
SOX7,0.0195
EGR4,0.0194
PTH1R,0.0192
BRINP2,0.019
CD40,0.019
CCDC33,0.0188
NEUROD1,0.0187
EPHB3,0.0187
HOXD9,0.0184
SLIT1,0.0181
SPR,0.018
NTF3,0.0179
DBX1,0.017
ATOH8,0.0169
SPAG6,0.0165
CACNA1E,0.0164
ZIC4,0.0158
CLDN9,0.0158
DMBX1,0.0151
TNNT2,0.015
ALDH1A2,0.015
NKX3-1,0.015
MEIS3,0.0149
PRMT8,0.0148
SOX21,0.0147
EVX1,0.0146
WNT7A,0.0146
GRIN2C,0.0145
FRMD4A,0.0141
FZD10,0.014
ACTR5,0.0139
SSTR4,0.0137
SERTAD4,0.0135
ZFHX4,0.0133
ANKRD1,0.0132
ADRA2C,0.0132
VPREB1,0.0131
NTSR1,0.013
TNNI3,0.013
ESX1,0.0125
CYP26B1,0.0122
NPTX1,0.012
COMMD3,0.012
KCNA2,0.0119
VGLL2,0.0119
FGF8,0.0116
PTF1A,0.0114
GPX8,0.0114
C1QB,0.0109
CD6,0.0109
STC2,0.0108
LINGO1,0.0108
SOX14,0.0105
TNFRSF12A,0.0104
CABP7,0.0104
SKOR1,0.0104
HOXC9,0.0104
SATB2,0.0103
RFX4,0.0102
SMARCD3,0.01
UNC5A,0.0097
CACNA1G,0.00963
LHX9,0.00954
SYT2,0.00939
ZFP518A,0.00932
MUC3,0.00916
TJP1,0.00893
C1QL1,0.00888
HOXD12,0.0088
HOXC6,0.00869
SCUBE1,0.00858
BARHL2,0.00857
MKX,0.00836
MTHFSD,0.00835
STK3,0.00824
BLK,0.00824
CDK5R2,0.00786
WNT3A,0.00769
FOXB2,0.00764
PEAR1,0.00753
PRSS56,0.00751
ZMYND15,0.00748
SLFN9,0.00747
OAF,0.00746
ZFP423,0.00744
TFAP2D,0.00743
SYNDIG1L,0.00742
KRT77,0.00732
KIF26A,0.00728
PSG28,0.00722
HOXD10,0.00721
NKX3-2,0.0072
BAHCC1,0.00717
KCNJ5,0.00707
QSOX2,0.00687
WNT5A,0.00679
WDFY4,0.00675
SKAP1,0.00669
TMPRSS6,0.00662
HOXC13,0.00661
IFITM10,0.00661
GAD2,0.0066
GRM8,0.00638
HCK,0.00635
ASCL2,0.00629
SLFN2,0.00613
RASGRF1,0.00611
PCDHGA12,0.00606
IRX3,0.00604
MECOM,0.00597
PLAGL1,0.00589
TWIST2,0.00587
RHCG,0.00586
RIPK4,0.00584
PITX3,0.0058
VSX2,0.00575
SLC6A12,0.00572
BAMBI,0.00555
HOXB8,0.00555
EDN3,0.00545
ADRA2B,0.00539
SOX8,0.00534
TEAD1,0.00529
CAMTA1,0.00523
SLC1A2,0.00504
PKNOX2,0.00491
SALL3,0.0049
FAM163B,0.00489
TSPAN9,0.00474
HS3ST3B1,0.00471
ALX1,0.00469
TBC1D21,0.00466
HYDIN,0.00466
DMRT2,0.00456
CCDC8,0.0045
DUOXA1,0.00449
ZFP536,0.00438
EGR3,0.00437
KCND3,0.00432
TAL1,0.00432
RORA,0.0043
SLC30A2,0.00423
EDAR,0.00418
PTCH1,0.00418
WNT9B,0.00415
ACOXL,0.00411
ILDR2,0.00409
ATP8B3,0.00408
HMX2,0.00397
FAM83H,0.00394
HOXD13,0.00386
SLC18A3,0.00381
CDH23,0.00381
ZIC2,0.00377
GDF10,0.00374
CLDN6,0.00372
COL18A1,0.00372
C1QC,0.00369
TRABD2B,0.00361
LONRF3,0.00355
SCUBE3,0.0035
IKZF1,0.00349
EXTL1,0.00347
DUSP8,0.0034
PROX1,0.0034
MPZL2,0.00338
FGF15,0.00338
HOXA3,0.00337
AMMECR1,0.00336
SOX3,0.00335
SLC6A3,0.00331
PCDH19,0.00331
FBRSL1,0.00327
TRP73,0.00324
ADARB2,0.00323
RORC,0.00318
EFCC1,0.00316
LRRC52,0.00313
BCAR1,0.00311
NPPB,0.0031
BPIFA3,0.00308
ADCY1,0.00308
PDLIM3,0.00306
LHX1,0.00304
TSPAN18,0.00297
FGD5,0.00296
CCND2,0.00293
OTOF,0.00293
ASS1,0.00282
KDELR3,0.0028
MYO5B,0.00276
SLIT3,0.00276
PCSK6,0.00275
HOXA10,0.00275
BMP6,0.00274
DLGAP4,0.00269
CAPN13,0.00266
TMC2,0.00265
TRPC3,0.00263
NFIC,0.00263
SLC24A4,0.00263
KCNN3,0.00262
UNC5B,0.00262
ZEB2,0.00258
ASTL,0.00257
PBK,0.00257
CIB4,0.00257
ZIC3,0.00256
UBXN10,0.00254
SOX9,0.00251
ASTN2,0.0025
CCM2L,0.00248
HOXD11,0.00248
FZD2,0.00247
DOK1,0.00245
PCDHGC4,0.00244
USH1C,0.00244
LAMC3,0.00243
RYR3,0.00238
KLHL29,0.00238
RING1,0.00237
FAM83F,0.00234
CACNA2D2,0.00233
HOXA2,0.00232
PRRX2,0.00232
IDUA,0.00229
MLXIPL,0.00226
KLK1B4,0.00226
CADM3,0.00219
PSG19,0.00215
NPHS1,0.00215
TFAP2B,0.00214
COL9A1,0.00213
DEFA31,0.00211
KRT7,0.00209
CELF2,0.00208
VPREB2,0.00207
PPP1R1B,0.00206
DEFA29,0.00204
IGF1R,0.00202
ARHGEF12,0.00201
WWTR1,0.00199
RSRC1,0.00196
TCL1B1,0.00194
MN1,0.00193
SPTB,0.00189
BHLHE41,0.00187
KLK1B9,0.00187
HOXD3,0.00183
FGF5,0.00181
MAF,0.00181
MDFI,0.00176
PTHLH,0.00175
PTPRS,0.00173
KALRN,0.00172
SOX11,0.00171
ANKRD34B,0.00171
TSPAN11,0.0017
SLC12A7,0.00169
SCNN1G,0.00168
PTK2,0.00168
BCL9,0.00168
PLXNA2,0.00167
LEMD1,0.00167
SIDT1,0.00164
KLK1B1,0.00163
ETS1,0.00163
DACT3,0.00163
SCARF2,0.00163
DEFB42,0.0016
SATB1,0.00159
HIST3H2A,0.00157
HTR3A,0.00155
OTUD7B,0.00155
GLRA1,0.00154
ALDH1L1,0.00152
CACNG8,0.00151
CRISPLD2,0.00149
NFATC1,0.00148
GFRA2,0.00148
GLI3,0.00147
FBRS,0.00146
CDK18,0.00146
ADAMTS8,0.00144
HS6ST2,0.00144
MSI1,0.00144
TCERG1L,0.00144
HRK,0.00144
OCA2,0.00143
GPR101,0.00143
SLC30A4,0.00142
CRYBA2,0.00142
ZBTB16,0.00142
NUAK1,0.00141
UMODL1,0.0014
ADRA1B,0.00135
CDH13,0.00134
ECE2,0.00133
KRT82,0.00133
PSG23,0.00131
CPXM1,0.00131
ATP2B3,0.00128
DPF3,0.00127
TMEM171,0.00127
MGAT5B,0.00126
GPR26,0.00126
IFNLR1,0.00126
ZNRF3,0.00125
DYSF,0.00125
CDKN2C,0.00123
ST14,0.00122
COL1A1,0.00122
LMNA,0.00119
HOXB3,0.00119
HIST3H2A,0.00118
SLFN8,0.00118
HSPA12A,0.00117
PIWIL1,0.00117
POU4F1,0.00116
ANP32B,0.00115
B3GAT1,0.00115
IGFBP5,0.00114
GLIS1,0.00112
LIN28B,0.00112
PDIA6,0.00111
CACNA1B,0.00109
FNDC1,0.00109
HTRA1,0.00108
SP6,0.00108
MTUS2,0.00107
MBNL2,0.00107
KIF26B,0.00106
SLC6A20B,0.00105
TSHZ2,0.00105
CSF2RB2,0.00105
SCRT1,0.00101
LIMS2,0.00101
RGS6,0.00101
P2RX2,0.00101
COLEC12,0.000992
KLK1B11,0.000985
TAP1,0.000981
MYO7A,0.000976
RHPN1,0.000966
POU6F2,0.000961
EFNB1,0.00094
CSF2RB2,0.000937
IL17RD,0.000935
YAP1,0.00093
LOXL3,0.000926
TMEM200C,0.000924
LRRC15,0.00092
EFNA2,0.000917
ADAMTS9,0.000894
PMEPA1,0.000893
LPL,0.000891
TRPC7,0.000881
GPM6B,0.000878
GREB1,0.000859
LACTBL1,0.000832
ZFR2,0.000829
AGRN,0.000824
ESPN,0.000819
SOX6,0.000813
RP1L1,0.000805
SLC7A10,0.000804
ARHGEF38,0.000802
CPXM2,0.0008
DIP2C,0.000788
BDNF,0.000782
SSPO,0.000774
KCNQ4,0.000767
L1CAM,0.000765
TNFSF8,0.000761
PDGFRA,0.000749
KCNC3,0.000747
TMEM72,0.000728
FST,0.000713
GADD45G,0.000707
NECTIN1,0.000698
SCTR,0.000692
PAPPA,0.000676
PROM1,0.000672
ZBTB7C,0.000671
JPH2,0.000667
CREB5,0.000667
APCDD1,0.000661
RHBDL3,0.000653
WSCD1,0.000627
INPPL1,0.000622
SLCO2B1,0.000618
CDKN1C,0.000614
CDH5,0.000613
DEFA22,0.000612
RBM19,0.000594
ZFP46,0.000582
CHD7,0.000572
KLHDC8A,0.00057
CLDN14,0.000568
HOXA9,0.000568
KLK1B8,0.000561
MRGPRG,0.00056
TRIM71,0.000555
PIP5K1B,0.000554
FRAS1,0.000553
DMBT1,0.000551
OBSL1,0.000548
ADAMTS2,0.000542
TTYH1,0.00054
CLEC4G,0.000537
HECW1,0.00053
SECTM1A,0.000526
TRIM17,0.000526
CACNG7,0.000523
KCNQ3,0.000519
CHST13,0.000514
FBXL8,0.000513
KRT27,0.000513
ATP2B2,0.000495
PSG17,0.000493
POLG,0.00049
ADCY4,0.000484
PADI6,0.000476
CRABP1,0.000474
SLC13A5,0.000473
YBX2,0.00047
NTM,0.000468
WNT9A,0.000466
TET2,0.000456
PRAP1,0.000455
MID2,0.000455
SMOC2,0.000453
INS2,0.000448
HABP2,0.000444
KRT71,0.000444
DLL1,0.000443
S100A8,0.000441
TGFA,0.000438
KRT72,0.000437
PDGFA,0.000434
CAPN9,0.000432
TNFRSF13C,0.00043
FXYD6,0.000428
ZP2,0.000427
DNAIC1,0.000425
IGF2R,0.000424
SHE,0.000421
ZFYVE9,0.000418
USP2,0.00041
ABCG8,0.000405
ACTN2,0.000389
SPON2,0.000388
CR2,0.000388
LTBP3,0.000386
LRRK1,0.000381
ADAM33,0.00038
KCNS2,0.000377
LAMB1,0.000377
MUC5AC,0.000375
DEFA3,0.000373
ITGA8,0.000372
CACNA1D,0.000368
LGR6,0.000365
CEBPA,0.000358
PURA,0.000357
SPSB4,0.000357
KCNK16,0.000356
CSF2RB,0.000355
ABCC3,0.000354
PLEKHG1,0.000353
DNMT3L,0.000351
FAM167A,0.000346
DRD2,0.000342
CPZ,0.000342
COL4A6,0.000341
GJA5,0.000341
NPPC,0.000341
GRIN2A,0.000339
TCF20,0.000339
POU3F4,0.000339
STMN4,0.000335
AFAP1,0.000335
GLI2,0.00033
PTP4A3,0.000329
LHFPL2,0.000329
COL16A1,0.000326
PDZRN3,0.000325
KRT5,0.000322
NES,0.000321
SLC13A2,0.000321
KRTAP5-5,0.00032
DLL4,0.000316
FLT4,0.000313
GOSR2,0.000312
GFPT2,0.00031
GPR153,0.00031
TSHZ3,0.00031
FEV,0.000309
NPTX2,0.000308
LRRC38,0.000307
AFAP1L2,0.000306
TMEM239,0.000306
MLPH,0.000305
CCDC88C,0.000305
CLCN4,0.000303
SASH1,0.000302
TAC4,0.000301
WLS,0.000301
CADM1,0.0003
MYOM3,0.000297
ELFN1,0.000297
NFAM1,0.000296
CR1L,0.000295
COL12A1,0.000291
MMEL1,0.000291
COL8A1,0.00029
MAPK4,0.00029
RELN,0.000289
IGFBPL1,0.000286
GOLT1A,0.000283
KAZN,0.000283
GXYLT2,0.000283
GM5868,0.000282
PDPN,0.000281
ADRB1,0.000281
BPIFA1,0.000279
FGF18,0.000275
CHRD,0.000273
OPLAH,0.000273
COL5A1,0.000272
ENTPD2,0.00027
ANKRD63,0.000265
PARD3,0.000264
IL1F8,0.000262
IL11,0.00026
ZFP467,0.000259
ICMT,0.000257
COLGALT2,0.000257
BGN,0.000251
MVB12B,0.000251
IFNA1,0.000251
CIDEA,0.00025
RAMP3,0.000247
ACE2,0.000244
RUNX1T1,0.000242
KRT26,0.00024
SMOC1,0.000239
HSD17B3,0.000236
DCLK3,0.000236
SLC18A1,0.000234
CFAP61,0.000231
KLK11,0.00023
DMKN,0.00023
AGPAT2,0.000228
YES1,0.000224
CIITA,0.000223
TIFAB,0.000223
VWA3B,0.000222
NRAP,0.00022
SVS3B,0.000217
ODF3B,0.000216
DUOX1,0.000215
PPFIBP2,0.000214
GRIN2B,0.000214
SPEG,0.000213
SHROOM2,0.000212
KLK4,0.000211
CYTH4,0.000211
SYNPR,0.000206
SORBS2,0.000206
CLIC3,0.000205
RAB11FIP4,0.000203
AHNAK2,0.000203
DOCK9,0.000203
FLT1,0.000199
BNC2,0.000199
MUC5B,0.000198
RPRML,0.000197
SH2D3C,0.000196
IER5L,0.000195
RSPH14,0.000195
DES,0.000193
HS3ST4,0.000191
FOXP4,0.000183
KCNIP3,0.000182
IRF6,0.000176
KRT4,0.000176
ELF5,0.000173
CAPSL,0.000173
CCND1,0.000172
THOC6,0.000171
ADAMTS18,0.000169
TNFRSF8,0.000168
RBM20,0.000168
SLC6A7,0.000168
KRT25,0.000167
SFXN3,0.00016
PLEKHH1,0.00016
TNFRSF13B,0.000159
HPSE2,0.000158
IFNAB,0.000158
PRELP,0.000156
FAM19A5,0.000156
BMP2,0.000156
KCTD15,0.000154
SHISA9,0.000154
SRCAP,0.000154
TMED3,0.000149
CCBE1,0.000147
CAPN2,0.000146
TMEM37,0.000146
SPATC1,0.000146
PRPF6,0.000145
SPICE1,0.000145
MECP2,0.000144
PIEZO1,0.000144
IGDCC4,0.000143
BTBD17,0.000143
NCF4,0.000142
MAP3K7,0.000142
ADAMTSL5,0.000142
NRXN3,0.000142
SFRP2,0.000142
ST8SIA5,0.000141
COL6A3,0.000141
SDK1,0.000141
FGFRL1,0.00014
KRTDAP,0.000139
TMEM158,0.000138
MXI1,0.000137
TACC2,0.000137
SRC,0.000136
JAM3,0.000135
MMP17,0.000134
SDC3,0.000133
LRIT1,0.000133
CHPF,0.000133
TTC28,0.000132
CYP2A12,0.000131
TMEM132C,0.00013
CCKBR,0.00013
EXOC3L4,0.000129
IRAK1,0.000129
SYT8,0.000128
CNTNAP4,0.000127
TNS1,0.000125
NPAS3,0.000123
AOC1,0.000123
PELI2,0.000122
SLC6A2,0.000122
OSBPL5,0.000122
PRR9,0.000122
ELANE,0.000117
HTR4,0.000117
WHRN,0.000117
GALNT16,0.000116
PDRG1,0.000116
NEUROD4,0.000115
PTPRF,0.000114
HIC1,0.000114
ZDBF2,0.000113
HNRNPR,0.000112
SDK2,0.000112
KCNK15,0.000112
S100A9,0.000112
ADM,0.00011
ITIH5,0.000109
EFNA5,0.000108
MARCKS,0.000107
SST,0.000107
CACNA1A,0.000107
DUSP2,0.000107
TCF24,0.000106
IL16,0.000105
RASD2,0.000105
HUNK,0.000104
KLK8,0.000104
LFNG,0.000104
NUDT14,0.000104
CALCOCO1,0.000104
CCDC182,0.000104
GHRHR,0.000103
KIF6,0.000103
PADI1,0.000102
PADI3,0.000101
RUNX1,0.000101
FMNL1,0.000101
COL19A1,0.0001
GREM1,0.0001
KLK5,0.0001
CEACAM15,0.0001
TEX15,0.000098
COL14A1,0.0000974
TACC1,0.0000972
NXPH4,0.000097
AP5B1,0.0000968
BIRC7,0.0000968
LAD1,0.0000967
RPL38,0.0000965
BTG2,0.0000964
PRUNE2,0.0000962
NDP,0.0000959
RHOU,0.0000954
CXCL12,0.0000952
MPZL3,0.0000949
TSLP,0.0000946
GAS2L2,0.0000939
ALS2CL,0.0000936
DSCAM,0.0000935
SAXO1,0.0000931
ZFP521,0.0000928
SPSB1,0.0000924
MYH10,0.0000921
ROR2,0.0000919
CDH16,0.0000912
GPATCH2L,0.0000894
NPNT,0.0000892
MARCO,0.0000892
ADAM11,0.0000886
DDX31,0.0000883
LRRC71,0.0000883
KCNS3,0.0000878
NPY,0.0000872
PPP1R16B,0.0000852
CNR1,0.0000846
RPS4X,0.0000841
HOXA13,0.0000839
MBIP,0.0000832
POLN,0.0000831
SLC44A3,0.0000822
RUNX2,0.0000821
SLC35F4,0.0000818
TFAP2C,0.0000816
AGBL4,0.0000797
RTN4RL2,0.0000788
ANTXR1,0.0000784
EPPK1,0.000078
PEPD,0.0000774
THBS4,0.0000761
SEC22B,0.0000752
DAB2IP,0.0000751
ISM1,0.0000737
TLR5,0.0000732
THSD7B,0.0000728
LAMC1,0.0000727
TNRC18,0.0000724
TNFRSF1B,0.0000716
HEATR1,0.0000715
UBASH3A,0.0000711
FLT3,0.0000708
FAM78B,0.0000708
LIPE,0.0000707
ATF3,0.0000707
MFRP,0.0000699
WNT2,0.0000699
OSGIN1,0.0000696
XKR5,0.0000694
LMO3,0.0000693
LIF,0.0000692
INHBA,0.000069
TADA2B,0.0000688
XKR4,0.0000687
TNC,0.0000685
CDH2,0.0000685
TDRD9,0.0000681
COL15A1,0.0000678
CD209D,0.0000677
BOD1,0.0000676
PRKG1,0.0000672
OXGR1,0.0000671
PALD1,0.000067
CCDC3,0.000067
PRKCQ,0.0000662
SLC36A2,0.0000653
ICOSL,0.000065
MBNL1,0.0000648
TLE2,0.0000648
GHSR,0.0000646
HS3ST3A1,0.0000644
GPRC5C,0.0000637
SRPX,0.0000635
PRTG,0.0000634
NTSR2,0.0000632
SMO,0.0000632
IL2RA,0.0000631
GADL1,0.0000629
GRIK1,0.0000627
ATP6V1C2,0.0000627
STON2,0.0000626
SLC16A12,0.0000621
PLA2G2A,0.000062
OLFR288,0.000062
IFNA11,0.0000617
NFIA,0.0000611
CYP4F39,0.0000611
ADGRL3,0.0000609
FOXP2,0.0000607
CCR2,0.0000604
TMEM178,0.00006
TM4SF5,0.0000598
BMPER,0.0000592
IGFBP2,0.0000591
SHROOM3,0.0000585
FN1,0.0000585
RBP4,0.0000583
KLF2,0.0000583
MAMLD1,0.0000581
EPHA7,0.000058
TRP63,0.0000579
GPC4,0.0000579
NKX1-2,0.0000579
RALGPS1,0.0000578
SFMBT2,0.0000578
SIGLECE,0.0000575
PRG2,0.0000574
TRIL,0.0000571
MXRA8,0.0000571
CD276,0.000057
PHC2,0.0000569
RIPPLY3,0.0000564
CCNA1,0.0000563
DENND2A,0.0000558
AVPR2,0.0000554
PDZRN4,0.0000554
IGFBP3,0.0000553
TLE6,0.0000553
ARHGAP20,0.000055
ARHGEF28,0.0000548
TPBG,0.0000546
TFPI2,0.0000541
COG2,0.000054
DCHS1,0.000054
CILP2,0.000054
EPHB2,0.0000536
GPC1,0.0000535
RYR2,0.0000535
ALPI,0.0000535
ATXN7L2,0.0000535
MYO7B,0.0000532
CD38,0.0000532
GRIA3,0.000053
ABT1,0.0000529
ITIH3,0.0000529
ZFP703,0.0000526
BHMT,0.0000525
TGFB1I1,0.0000524
TMOD1,0.0000522
MMP2,0.0000521
ZFPM2,0.000052
WFDC5,0.0000519
SH3RF3,0.0000519
ZBED5,0.0000517
PALD1,0.0000515
WFDC2,0.0000511
HSD17B10,0.0000511
KCP,0.000051
SERPINE1,0.0000508
COL8A2,0.0000508
TNFAIP2,0.0000507
SMARCA2,0.0000507
FBN2,0.0000505
ID4,0.0000503
ENOX1,0.0000502
GAS1,0.0000501
RRAD,0.0000499
PCDH17,0.0000499
ALOX15,0.0000497
INSC,0.0000496
TENM3,0.0000495
FGF21,0.0000494
EVA1A,0.0000493
PDE6C,0.0000493
VCAN,0.0000492
PNOC,0.0000489
ATP8B1,0.0000487
NRP1,0.0000485
CTBP2,0.0000485
TPM1,0.0000485
MACF1,0.0000485
GAS7,0.0000483
MOV10L1,0.0000483
FAM178B,0.0000483
CD22,0.0000482
MOXD1,0.0000479
INPP5A,0.0000479
SOX13,0.0000479
HOXA4,0.0000477
FAM110C,0.0000476
PXDN,0.0000476
IGSF3,0.0000476
TESPA1,0.0000473
G0S2,0.0000472
FAT1,0.0000471
NFATC4,0.000047
CYP2J9,0.0000469
DAAM2,0.0000469
AZGP1,0.0000468
FMNL3,0.0000468
SLC17A6,0.0000467
MYOCD,0.0000467
ARF1,0.0000466
FAM222A,0.0000466
SIX4,0.0000465
SDC1,0.0000464
ICAM1,0.0000462
CSNK2A2,0.0000461
BEND4,0.0000459
TOX3,0.0000457
EFEMP1,0.0000456
LYSMD3,0.0000454
ATP2C2,0.0000452
CRX,0.0000451
TCF7L1,0.000045
CFAP161,0.0000449
TRADD,0.0000449
ZFP704,0.0000445
SLC16A10,0.0000445
P2RY6,0.0000444
FBN1,0.0000443
SVEP1,0.0000439
LIN28A,0.0000439
NFATC2,0.0000439
PNPLA7,0.0000439
CHL1,0.0000438
SLC16A2,0.0000437
CDCP1,0.0000435
CYP11A1,0.0000435
F5,0.0000433
GAL3ST4,0.0000433
TNNI1,0.000043
EGFR,0.0000429
GSN,0.0000428
CMYA5,0.0000428
CDH11,0.0000427
CD34,0.0000426
ARMC3,0.0000426
RTN4RL1,0.0000426
ACOT12,0.0000425
ESRRG,0.0000424
EPS8,0.0000424
CECR2,0.0000424
PTGES,0.0000423
ZSWIM5,0.0000422
PCSK9,0.0000421
SMYD1,0.000042
PHLDB1,0.000042
ROBO1,0.000042
KCNA7,0.0000419
SGCE,0.0000417
EPHA2,0.0000417
ZFP637,0.0000417
GLS2,0.0000416
LYNX1,0.0000415
ARPP21,0.0000412
BAHD1,0.0000412
FLNC,0.0000411
HAS3,0.000041
BOC,0.0000409
PPIC,0.0000408
ARHGAP23,0.0000408
AHNAK,0.0000408
SULF2,0.0000407
RRBP1,0.0000404
P2RX5,0.0000404
CLEC4F,0.0000404
HHIP,0.0000403
GNA14,0.0000402
CYP2S1,0.0000402
FOSL1,0.0000401
BCL2L11,0.0000399
SFTPD,0.0000398
MTUS1,0.0000398
GPR37,0.0000398
ZHX2,0.0000398
LTBP2,0.0000397
SYNE3,0.0000397
TSPAN4,0.0000397
SLA,0.0000396
CYP1B1,0.0000395
TGFBI,0.0000391
NOS1,0.0000391
ARTN,0.0000391
ANK3,0.000039
OSMR,0.0000389
FGFR2,0.0000389
SALL2,0.0000388
PGM5,0.0000388
GPM6A,0.0000387
H1F0,0.0000386
LMTK3,0.0000386
ALPL,0.0000385
PLCD1,0.0000384
TIMP3,0.0000384
SDC2,0.0000382
HTRA3,0.0000382
DNAH11,0.0000382
CLDN1,0.0000382
TINAGL1,0.0000381
CHN2,0.0000381
UCP1,0.0000379
GLT6D1,0.0000378
ZFP385B,0.0000378
PLEC,0.0000376
ELN,0.0000376
GLIS3,0.0000376
MYO18B,0.0000376
PLCXD3,0.0000376
PCOLCE2,0.0000376
CDX1,0.0000375
PLEKHG3,0.0000374
COPZ2,0.0000373
BTC,0.0000373
GJB4,0.0000373
ZFP574,0.0000373
TMEM243,0.0000373
SHROOM4,0.0000372
LRP4,0.0000371
SCARA3,0.0000371
ARSI,0.0000371
RGS16,0.000037
BACE2,0.0000369
CEACAM20,0.0000368
PTGER4,0.0000366
SYTL2,0.0000366
ITM2C,0.0000365
PDLIM1,0.0000365
TRAPPC9,0.0000365
S1PR3,0.0000365
KCNG4,0.0000364
CDKN2B,0.0000364
FHAD1,0.0000363
CYP2A5,0.0000362
GALNT10,0.0000361
DTNA,0.0000361
MITF,0.000036
SLIT2,0.000036
PDGFRL,0.000036
MYO10,0.0000359
VEGFD,0.0000358
PALLD,0.0000357
KLK1B21,0.0000355
TUBB6,0.0000354
RGCC,0.0000354
RHOD,0.0000353
RAB31,0.0000349
MBNL3,0.0000349
SLC22A23,0.0000349
DKK3,0.0000348
GPRC5B,0.0000348
FBXW8,0.0000347
DDIT4L,0.0000347
SFRP4,0.0000347
BRINP1,0.0000346
ANKS4B,0.0000346
CCK,0.0000345
ASAP1,0.0000344
DDX52,0.0000344
RASSF1,0.0000342
GUCA2B,0.0000342
EHBP1L1,0.0000341
BSPRY,0.000034
FZD8,0.0000339
PFN3,0.0000339
LAYN,0.0000338
ANXA3,0.0000338
DHRS3,0.0000337
FGFR1,0.0000335
DDC,0.0000335
LDLRAD4,0.0000334
TMPRSS13,0.0000333
EVC2,0.0000333
DEGS2,0.000033
COL6A2,0.000033
KANK1,0.000033
FBLN5,0.0000329
PHLDA3,0.0000329
MPHOSPH6,0.0000327
GLB1L2,0.0000327
GTSF1,0.0000327
IFNA15,0.0000327
MED14,0.0000326
ARHGEF26,0.0000325
SNAI2,0.0000324
EDA,0.0000324
GRTP1,0.0000324
SLITRK5,0.0000324
EDNRA,0.0000322
ZFP507,0.0000322
SEMA3B,0.0000321
PLEKHA2,0.0000321
PDE3B,0.0000321
SSC5D,0.000032
AMOTL2,0.0000319
RNF165,0.0000318
LRCH2,0.0000318
IGF2BP2,0.0000318
FBLIM1,0.0000317
