	cluster1
Plasma_membrane_bounded_cell_projection_organization	2.41e-05
Positive_regulation_of_DNA-binding_transcription_factor_activity	0.0094
Positive_regulation_of_biological_process	9.49e-11
Positive_regulation_of_cardioblast_differentiation	0.0018
Positive_regulation_of_cardiocyte_differentiation	3.45e-05
Positive_regulation_of_cell_development	0.0055
Positive_regulation_of_cell_differentiation	1.39e-08
Positive_regulation_of_cell_population_proliferation	1.19e-06
Positive_regulation_of_cellular_biosynthetic_process	1.15e-24
Positive_regulation_of_cellular_metabolic_process	3.61e-18
Positive_regulation_of_cellular_process	6.23e-12
Positive_regulation_of_developmental_process	1.19e-10
Positive_regulation_of_epithelial_cell_differentiation	5.36e-05
Positive_regulation_of_epithelial_cell_proliferation	0.0089
Positive_regulation_of_macromolecule_metabolic_process	2.02e-16
Positive_regulation_of_metabolic_process	1.33e-15
Positive_regulation_of_multicellular_organismal_process	0.00018
Positive_regulation_of_nervous_system_development	0.0028
Positive_regulation_of_neural_precursor_cell_proliferation	0.0037
Positive_regulation_of_neurogenesis	0.0034
Positive_regulation_of_neuron_differentiation	2.4e-09
Positive_regulation_of_nitrogen_compound_metabolic_process	4.23e-17
Positive_regulation_of_oligodendrocyte_differentiation	0.0034
Positive_regulation_of_transcription,_DNA-templated	4.67e-28
Positive_regulation_of_transcription_by_RNA_polymerase_II	1.27e-30
Proximal/distal_pattern_formation	0.0007
Regionalization	2.59e-28
Regulation_of_BMP_signaling_pathway	0.0011
Regulation_of_RNA_metabolic_process	2.6e-37
Regulation_of_apoptotic_process	0.0019
Regulation_of_biological_quality	0.00092
Regulation_of_cardioblast_differentiation	0.00011
Regulation_of_cell_death	0.0021
Regulation_of_cell_development	0.0018
Regulation_of_cell_differentiation	3.85e-09
Regulation_of_cell_population_proliferation	4.44e-09
Regulation_of_cellular_biosynthetic_process	1.02e-33
Regulation_of_cellular_metabolic_process	7.53e-27
Regulation_of_cellular_process	1.28e-13
Regulation_of_developmental_process	4.03e-09
Regulation_of_epithelial_cell_differentiation	0.0002
Regulation_of_epithelial_cell_proliferation	4.49e-07
Regulation_of_gene_expression	5.5e-30
Regulation_of_gliogenesis	0.0065
Regulation_of_immature_T_cell_proliferation_in_thymus	0.009
Regulation_of_kidney_development	0.007
Regulation_of_macromolecule_biosynthetic_process	2.84e-34
Regulation_of_macromolecule_metabolic_process	2.1e-22
Regulation_of_metabolic_process	9.48e-21
Regulation_of_multicellular_organismal_development	2.54e-08
Regulation_of_multicellular_organismal_process	1.01e-07
Regulation_of_nervous_system_development	0.00014
Regulation_of_neural_precursor_cell_proliferation	0.00051
Regulation_of_neurogenesis	0.00036
Regulation_of_neuron_death	0.0086
Regulation_of_neuron_differentiation	5.36e-12
Regulation_of_nitrogen_compound_metabolic_process	6.95e-25
Regulation_of_primary_metabolic_process	4.68e-23
Regulation_of_transcription,_DNA-templated	2.2e-38
Regulation_of_transcription_by_RNA_polymerase_II	7.79e-46
Reproductive_structure_development	8.5e-07
Response_to_chemical	0.0041
Response_to_lipid	0.0077
Retina_development_in_camera-type_eye	0.0003
Retina_morphogenesis_in_camera-type_eye	0.0071
Roof_of_mouth_development	6.43e-05
Rostrocaudal_neural_tube_patterning	0.0063
Segmentation	0.00014
Sensory_organ_development	3.9e-16
Sensory_organ_morphogenesis	1.29e-13
Sensory_system_development	2.88e-08
Sex_differentiation	0.00075
Sinoatrial_node_development	0.00034
Skeletal_system_development	9.55e-09
Skeletal_system_morphogenesis	4.34e-07
Smooth_muscle_tissue_development	0.0021
Smoothened_signaling_pathway	0.00048
Somite_development	0.0026
Spinal_cord_association_neuron_differentiation	8.05e-06
Spinal_cord_development	3.38e-15
Spinal_cord_dorsal/ventral_patterning	0.00095
Spinal_cord_motor_neuron_cell_fate_specification	0.00015
Spinal_cord_motor_neuron_differentiation	3.93e-08
Spleen_development	0.0092
Striated_muscle_cell_differentiation	0.00031
System_development	9.33e-40
System_process	6.25e-05
Telencephalon_cell_migration	7.63e-05
Telencephalon_development	4.6e-09
Telencephalon_regionalization	0.00042
Tissue_development	1.44e-23
Tissue_morphogenesis	5.18e-08
Transcription,_DNA-templated	0.00065
Transcription_by_RNA_polymerase_II	5.89e-05
Tube_development	1.32e-10
Tube_morphogenesis	8.94e-07
Type_B_pancreatic_cell_differentiation	0.00016
Urogenital_system_development	0.00021
Ventral_spinal_cord_development	1.59e-09
Ventral_spinal_cord_interneuron_fate_commitment	0.0063
Visual_perception	0.0031
Visual_system_development	1.48e-07
Wnt_signaling_pathway	0.0035
