	cluster1	cluster2	cluster3
Central_nervous_system_development	7.33e-22	1	6.47e-07
Central_nervous_system_neuron_differentiation	8.53e-13	1	0.0056
Cerebral_cortex_GABAergic_interneuron_differentiation	0.0038	1	1
Cerebral_cortex_development	0.0064	1	1
Cerebral_cortex_neuron_differentiation	0.002	1	1
Cerebral_cortex_regionalization	0.0015	1	1
Chemotaxis	0.00036	1	1
Chondrocyte_differentiation	0.0096	1	1
Chordate_embryonic_development	4.64e-15	1	1
Circulatory_system_development	5.5e-06	1	1
Cochlea_development	0.0014	1	1
Columnar/cuboidal_epithelial_cell_differentiation	3.36e-07	1	1
Commitment_of_neuronal_cell_to_specific_neuron_type_in_forebrain	4.81e-07	1	1
Connective_tissue_development	2.81e-06	1	1
Cranial_nerve_development	0.00018	1	1
Cranial_skeletal_system_development	5.54e-05	1	1
Dendrite_self-avoidance	0.0096	1	1
Developmental_growth	6.68e-06	1	1
Developmental_process	7.85e-26	1	1
Developmental_process_involved_in_reproduction	3.82e-05	1	1
Diencephalon_development	0.00076	1	0.00038
Digestive_tract_development	2.11e-06	1	1
Dopaminergic_neuron_differentiation	1.45e-05	1	1
Dorsal/ventral_pattern_formation	7.29e-07	1	1
Ear_development	4.63e-11	1	1
Ear_morphogenesis	5.06e-11	1	1
Embryo_development	9.99e-21	3.25e-06	9.9e-05
Embryonic_camera-type_eye_morphogenesis	0.0018	1	1
Embryonic_cranial_skeleton_morphogenesis	6.2e-05	1	1
Embryonic_digestive_tract_morphogenesis	0.0096	1	1
Embryonic_digit_morphogenesis	8.06e-07	1	1
Embryonic_epithelial_tube_formation	0.008	1	1
Embryonic_eye_morphogenesis	0.0003	1	1
Embryonic_forelimb_morphogenesis	1.08e-05	1	1
Embryonic_heart_tube_development	9.11e-06	1	1
Embryonic_hindlimb_morphogenesis	5.74e-06	1	1
Embryonic_limb_morphogenesis	1.01e-06	1	1
Embryonic_morphogenesis	3.95e-20	0.00086	0.00033
Embryonic_organ_development	3.29e-21	1	1
Embryonic_organ_morphogenesis	3.95e-20	1	0.00014
Embryonic_pattern_specification	0.00072	1	1
Embryonic_skeletal_joint_development	0.0075	1	1
Embryonic_skeletal_system_development	1.31e-08	9.13e-07	1
Embryonic_skeletal_system_morphogenesis	8.94e-09	4.06e-05	1
Endocardial_cushion_development	0.001	1	1
Endocardial_cushion_morphogenesis	0.0053	1	1
Endocrine_pancreas_development	3.55e-05	1	1
Endocrine_system_development	1.31e-08	1	1
Epithelial_cell_development	0.00028	1	1
Epithelial_cell_differentiation	6.31e-13	1	1
Epithelial_cell_maturation	1	1	0.00062
Epithelial_cell_proliferation	0.0054	1	1
Epithelial_tube_morphogenesis	1.25e-05	1	1
Epithelium_development	1.39e-19	1	1
Eye_morphogenesis	0.0038	1	1
Female_gonad_development	0.002	1	1
Female_sex_differentiation	0.00064	1	1
Forebrain_development	1.93e-16	1	0.00052
Forebrain_neuron_differentiation	3.33e-09	1	1
Forebrain_regionalization	2.82e-06	1	1
Formation_of_primary_germ_layer	0.0057	1	1
GABAergic_neuron_differentiation	0.00039	1	1
Gastrulation	0.00081	1	1
Generation_of_neurons	2.82e-22	1	0.0015
Gland_development	6.46e-10	1	1
Glandular_epithelial_cell_differentiation	0.00034	1	1
Glial_cell_differentiation	0.00026	1	0.0072
Gliogenesis	0.00032	1	1
Gonad_development	2.36e-05	1	1
Head_development	7.03e-18	1	1
Heart_development	1.63e-06	1	1
Heart_looping	0.0031	1	1
Heart_morphogenesis	7.5e-06	1	1
Heart_valve_development	0.0038	1	1
Hindbrain_development	0.0032	1	1
Hippocampus_development	0.0093	1	1
In_utero_embryonic_development	2.19e-05	1	1
Inner_ear_development	1.07e-06	1	1
Inner_ear_morphogenesis	4.54e-06	1	1
Intermediate_mesoderm_development	0.0091	1	1
Kidney_epithelium_development	2.81e-06	1	1
Limbic_system_development	6.68e-06	1	1
Liver_development	0.0088	1	1
Male_sex_determination	0.0064	1	1
Male_sex_differentiation	0.00084	1	1
Mammary_gland_development	0.008	1	1
Mammary_gland_formation	0.0015	1	1
Mesenchymal_cell_differentiation	1.66e-05	1	1
Mesenchymal_cell_differentiation_involved_in_kidney_development	0.0019	1	1
Mesenchymal_cell_proliferation	0.00011	1	1
Mesenchymal_to_epithelial_transition	0.0086	1	1
Mesenchyme_development	7.34e-07	1	1
Mesenchyme_morphogenesis	9.13e-06	1	1
Mesoderm_development	0.0012	1	1
Mesoderm_formation	0.0047	1	1
Mesoderm_morphogenesis	0.00055	1	1
Mesodermal_cell_fate_commitment	0.0075	1	1
Metanephric_nephron_development	0.0038	1	1
Metanephros_development	0.00012	1	1
Middle_ear_morphogenesis	0.00079	1	1
Mononuclear_cell_differentiation	0.0091	1	1
Morphogenesis_of_a_branching_structure	0.0055	1	1
Morphogenesis_of_an_epithelium	4.3e-06	1	1
Morphogenesis_of_embryonic_epithelium	0.00039	1	1
Motor_neuron_migration	0.00017	1	1
Multicellular_organism_development	4.44e-30	1	1
Multicellular_organismal_process	3.26e-21	1	1
Muscle_cell_differentiation	0.0031	1	1
Muscle_cell_fate_commitment	0.00048	1	1
Muscle_organ_development	2.51e-09	1	1
Muscle_organ_morphogenesis	0.0068	1	1
Muscle_structure_development	2.9e-11	1	1
Muscle_tissue_development	7.98e-12	1	1
Negative_regulation_of_RNA_metabolic_process	4.38e-20	1	1
Negative_regulation_of_apoptotic_process	4.62e-06	1	1
Negative_regulation_of_apoptotic_process_involved_in_outflow_tract_morphogenesis	0.0091	1	1
Negative_regulation_of_biological_process	9.28e-10	1	1
Negative_regulation_of_cell_differentiation	1.83e-09	1	0.0078
Negative_regulation_of_cell_population_proliferation	0.00073	1	1
Negative_regulation_of_cellular_biosynthetic_process	2.41e-18	1	1
Negative_regulation_of_cellular_metabolic_process	3.7e-13	1	1
Negative_regulation_of_cellular_process	1.58e-10	1	1
Negative_regulation_of_developmental_process	1.83e-10	1	0.0042
Negative_regulation_of_epithelial_cell_proliferation	0.0019	1	1
Negative_regulation_of_macromolecule_biosynthetic_process	5.59e-19	1	1
Negative_regulation_of_macromolecule_metabolic_process	1.33e-10	1	1
Negative_regulation_of_multicellular_organismal_process	4.56e-05	1	1
Negative_regulation_of_neuron_differentiation	5.94e-05	1	9.94e-06
Negative_regulation_of_nitrogen_compound_metabolic_process	7.46e-13	1	1
Negative_regulation_of_transcription,_DNA-templated	1.46e-20	1	0.00052
Negative_regulation_of_transcription_by_RNA_polymerase_II	6.93e-23	1	0.00057
Nephric_duct_morphogenesis	0.0045	1	1
Nephron_epithelium_development	4.03e-06	1	1
Nephron_epithelium_morphogenesis	0.00045	1	1
Nephron_tubule_development	0.001	1	1
Nephron_tubule_morphogenesis	0.004	1	1
Nervous_system_development	9.17e-29	1	5.61e-06
Neural_precursor_cell_proliferation	1.84e-07	1	1
Neural_tube_development	0.0045	1	1
Neural_tube_patterning	0.00021	1	1
Neuroblast_proliferation	9.38e-05	1	1
Neuroepithelial_cell_differentiation	0.0031	1	1
Neurogenesis	1.11e-23	1	0.00044
Neuron_development	3.15e-09	1	1
Neuron_differentiation	1.12e-19	1	0.0087
Neuron_fate_commitment	2.45e-14	1	0.00026
Neuron_fate_specification	9.17e-06	1	1
Neuron_migration	1.81e-09	1	1
Neuron_projection_development	2.55e-07	1	1
Neuron_projection_morphogenesis	3.62e-08	1	1
Odontogenesis	9.41e-09	1	1
Odontogenesis_of_dentin-containing_tooth	9.11e-06	1	1
Oligodendrocyte_differentiation	0.0075	1	1
Outflow_tract_morphogenesis	4.4e-06	1	1
Outflow_tract_septum_morphogenesis	0.0016	1	1
Pallium_development	3.45e-07	1	1
Pancreas_development	5.54e-05	1	1
Pancreatic_A_cell_differentiation	0.0031	1	1
Pattern_specification_involved_in_kidney_development	0.0025	1	1
Pattern_specification_involved_in_mesonephros_development	0.0091	1	1
Pattern_specification_process	9.86e-27	1	1
Pericyte_cell_differentiation	0.0038	1	1
Peristalsis	0.0045	1	1
Pituitary_gland_development	0.0085	1	0.0029
Plasma_membrane_bounded_cell_projection_organization	0.00013	1	1
Positive_regulation_of_DNA_binding	0.0023	1	1
Positive_regulation_of_binding	0.0013	1	1
Positive_regulation_of_biological_process	5.1e-10	1	1
Positive_regulation_of_cardiocyte_differentiation	0.0086	1	1
Positive_regulation_of_cell_development	0.0065	1	1
Positive_regulation_of_cell_differentiation	8.65e-07	1	1
Positive_regulation_of_cell_population_proliferation	7.44e-07	1	1
Positive_regulation_of_cellular_biosynthetic_process	1.14e-18	1	1
Positive_regulation_of_cellular_metabolic_process	3.94e-14	1	1
Positive_regulation_of_cellular_process	8e-11	1	1
Positive_regulation_of_developmental_process	1.41e-09	1	1
Positive_regulation_of_epithelial_cell_differentiation	0.0026	1	1
Positive_regulation_of_macromolecule_biosynthetic_process	4.02e-18	1	1
Positive_regulation_of_macromolecule_metabolic_process	1.07e-11	1	1
Positive_regulation_of_metabolic_process	2.97e-11	1	1
Positive_regulation_of_multicellular_organismal_process	2.79e-08	1	1
Positive_regulation_of_nervous_system_development	0.0035	1	1
Positive_regulation_of_neural_precursor_cell_proliferation	0.0017	1	1
Positive_regulation_of_neurogenesis	0.0051	1	1
Positive_regulation_of_neuron_differentiation	1.42e-06	1	1
Positive_regulation_of_nitrogen_compound_metabolic_process	6.79e-12	1	1
Positive_regulation_of_transcription,_DNA-templated	1.61e-19	1	5.12e-05
Positive_regulation_of_transcription_by_RNA_polymerase_II	2.13e-22	1	4.01e-05
Positive_regulation_of_transcription_regulatory_region_DNA_binding	0.0016	1	1
Proximal/distal_pattern_formation	0.0003	1	1
Regionalization	1.99e-23	1	1
Regulation_of_DNA_binding	0.001	1	1
Regulation_of_RNA_metabolic_process	9.03e-27	1	1
Regulation_of_anatomical_structure_morphogenesis	0.0001	1	1
Regulation_of_animal_organ_morphogenesis	0.0077	1	1
Regulation_of_apoptotic_process	3.14e-05	1	1
Regulation_of_binding	0.0064	1	1
Regulation_of_biological_quality	7.46e-05	1	1
Regulation_of_bone_mineralization	0.0079	1	1
Regulation_of_cell_death	8.92e-05	1	1
Regulation_of_cell_development	0.0045	1	1
Regulation_of_cell_differentiation	2.33e-08	1	1
Regulation_of_cell_population_proliferation	8.61e-08	1	1
Regulation_of_cellular_biosynthetic_process	7.38e-25	1	1
Regulation_of_cellular_metabolic_process	1.1e-18	1	1
Regulation_of_cellular_process	1.58e-09	1	1
Regulation_of_cellular_response_to_growth_factor_stimulus	0.008	1	1
Regulation_of_developmental_growth	0.00046	1	1
Regulation_of_developmental_process	8.66e-10	1	1
Regulation_of_epithelial_cell_differentiation	5.74e-06	1	1
Regulation_of_epithelial_cell_proliferation	5.54e-05	1	1
Regulation_of_gene_expression	4.69e-20	1	1
Regulation_of_kidney_development	0.0038	1	1
Regulation_of_macromolecule_biosynthetic_process	3.6e-25	1	1
Regulation_of_macromolecule_metabolic_process	1.5e-14	1	1
Regulation_of_multicellular_organismal_development	3.81e-09	1	1
Regulation_of_multicellular_organismal_process	1.63e-09	1	1
Regulation_of_nervous_system_development	0.0016	1	1
Regulation_of_neural_precursor_cell_proliferation	0.00017	1	1
Regulation_of_neuroblast_proliferation	0.0063	1	1
Regulation_of_neurogenesis	0.0014	1	1
Regulation_of_neuron_death	0.0096	1	1
Regulation_of_neuron_differentiation	7.74e-08	1	1.93e-05
Regulation_of_nitrogen_compound_metabolic_process	9.67e-18	1	1
Regulation_of_odontogenesis	0.00057	1	1
Regulation_of_organ_growth	0.0016	1	1
Regulation_of_ossification	0.006	1	1
Regulation_of_primary_metabolic_process	3.35e-16	1	1
Regulation_of_transcription,_DNA-templated	3.25e-28	1	3.27e-09
Regulation_of_transcription_by_RNA_polymerase_II	2.66e-32	1	1
Regulation_of_transcription_regulatory_region_DNA_binding	0.00014	1	1
Renal_system_development	0.0003	1	1
Renal_vesicle_development	0.0064	1	1
Reproductive_process	0.0031	1	1
Reproductive_structure_development	2.48e-06	1	1
Response_to_chemical	0.0033	1	1
Response_to_growth_factor	0.0012	1	1
Response_to_retinoic_acid	0.0042	1	1
Roof_of_mouth_development	1.54e-06	1	1
Rostrocaudal_neural_tube_patterning	0.0038	1	1
Segmentation	3.8e-06	1	1
Sensory_organ_development	1.57e-14	1	1
Sensory_organ_morphogenesis	6.28e-12	1	1
Sensory_system_development	3.91e-06	1	1
Sex_determination	0.0011	1	1
Sex_differentiation	8.43e-09	1	1
Sinoatrial_node_development	0.00017	1	1
Skeletal_muscle_organ_development	4.12e-05	1	1
Skeletal_muscle_tissue_development	0.00019	1	1
Skeletal_system_development	4.99e-11	3.36e-08	1
Skeletal_system_morphogenesis	4.63e-11	1.04e-05	1
Smooth_muscle_cell_differentiation	0.00038	1	1
Somatic_stem_cell_population_maintenance	1	1	0.0057
Somite_development	0.0086	1	1
Spinal_cord_association_neuron_differentiation	0.0038	1	1
Spinal_cord_development	2.64e-06	1	1
Spinal_cord_dorsal/ventral_patterning	0.0096	1	1
Stem_cell_differentiation	4.08e-08	1	1
Striated_muscle_cell_differentiation	0.0027	1	1
Sympathetic_nervous_system_development	4.77e-05	1	1
System_development	2.97e-29	1	3.25e-05
System_process	2.27e-05	1	1
Telencephalon_development	3.39e-10	1	1
Telencephalon_regionalization	0.00021	1	1
Tissue_development	1.34e-18	1	1
Tissue_morphogenesis	2.49e-06	1	1
Transcription,_DNA-templated	0.0015	1	1
Transcription_by_RNA_polymerase_II	0.00023	1	1
Tube_development	1.74e-13	1	1
Tube_morphogenesis	5.13e-06	1	1
Type_B_pancreatic_cell_differentiation	6.69e-05	1	1
Type_B_pancreatic_cell_proliferation	0.0064	1	1
Ureter_development	0.00048	1	1
Ureteric_bud_development	0.00014	1	1
Ureteric_peristalsis	0.0091	1	1
Urogenital_system_development	0.00018	1	1
Ventral_spinal_cord_development	0.00092	1	0.0035
Ventricular_cardiac_muscle_tissue_development	0.0019	1	1
Ventricular_septum_development	0.0058	1	1
Visual_system_development	1.78e-05	1	1
