	cluster1
Mesonephros_development	4.03e-06
Metanephric_nephron_development	0.00043
Metanephros_development	1.61e-07
Metencephalon_development	0.00019
Midbrain_development	0.00037
Morphogenesis_of_a_branching_epithelium	4.29e-06
Morphogenesis_of_a_branching_structure	8.08e-07
Morphogenesis_of_an_epithelium	2.42e-14
Morphogenesis_of_embryonic_epithelium	0.00099
Motor_neuron_axon_guidance	0.0044
Motor_neuron_migration	0.0064
Multicellular_organism_development	3.78e-45
Multicellular_organismal_process	1.59e-32
Muscle_cell_differentiation	0.0018
Muscle_cell_fate_commitment	3.12e-05
Muscle_organ_development	0.0002
Muscle_structure_development	6.02e-07
Muscle_tissue_development	3.16e-07
Negative_regulation_of_RNA_metabolic_process	2.2e-16
Negative_regulation_of_apoptotic_process	3.45e-06
Negative_regulation_of_biological_process	2.01e-12
Negative_regulation_of_cell_differentiation	1.64e-14
Negative_regulation_of_cell_population_proliferation	9.72e-05
Negative_regulation_of_cellular_biosynthetic_process	1.04e-14
Negative_regulation_of_cellular_metabolic_process	1.63e-10
Negative_regulation_of_cellular_process	4.65e-13
Negative_regulation_of_developmental_process	1.13e-15
Negative_regulation_of_macromolecule_biosynthetic_process	2.66e-15
Negative_regulation_of_macromolecule_metabolic_process	9.98e-11
Negative_regulation_of_mesenchymal_cell_apoptotic_process	0.0043
Negative_regulation_of_metabolic_process	5.5e-10
Negative_regulation_of_multicellular_organismal_process	0.0013
Negative_regulation_of_neurogenesis	0.00076
Negative_regulation_of_neuron_differentiation	4.62e-13
Negative_regulation_of_nitrogen_compound_metabolic_process	9.88e-11
Negative_regulation_of_programmed_cell_death	1.28e-06
Negative_regulation_of_transcription,_DNA-templated	6.22e-17
Negative_regulation_of_transcription_by_RNA_polymerase_II	1.25e-17
Nephron_development	7.37e-06
Nephron_epithelium_development	1.07e-05
Nephron_epithelium_morphogenesis	8.68e-05
Nephron_morphogenesis	8.69e-06
Nephron_tubule_development	0.00023
Nephron_tubule_morphogenesis	0.00078
Nervous_system_development	6.14e-45
Neural_crest_cell_development	1.92e-05
Neural_crest_cell_migration	0.00037
Neural_precursor_cell_proliferation	6.45e-06
Neural_tube_development	0.0018
Neural_tube_patterning	0.00038
Neuroblast_proliferation	0.0022
Neuroendocrine_cell_differentiation	0.00063
Neuroepithelial_cell_differentiation	1.82e-05
Neurogenesis	1.37e-34
Neuron_development	4.14e-17
Neuron_differentiation	4.7e-32
Neuron_fate_commitment	7.23e-24
Neuron_fate_determination	9.37e-08
Neuron_fate_specification	3.02e-14
Neuron_migration	6.22e-10
Neuron_projection_development	1.28e-10
Neuron_projection_morphogenesis	3.86e-12
Noradrenergic_neuron_differentiation	0.0053
Notch_signaling_pathway	0.0017
Odontogenesis	4.3e-07
Odontogenesis_of_dentin-containing_tooth	1.88e-06
Olfactory_bulb_development	0.00049
Oligodendrocyte_differentiation	0.00019
Outflow_tract_morphogenesis	0.0013
Pallium_development	1.39e-07
Pancreas_development	1.62e-10
Pancreatic_A_cell_differentiation	0.00016
Parasympathetic_nervous_system_development	0.0009
Pattern_specification_involved_in_metanephros_development	0.00068
Pattern_specification_process	1.05e-43
Peripheral_nervous_system_development	2.05e-06
Peripheral_nervous_system_neuron_development	0.00063
Pharyngeal_system_development	0.004
Pituitary_gland_development	9.3e-05
Plasma_membrane_bounded_cell_projection_organization	9.5e-07
Positive_regulation_of_DNA_binding	0.00039
Positive_regulation_of_biological_process	1.42e-10
Positive_regulation_of_cell_differentiation	1.31e-09
Positive_regulation_of_cell_population_proliferation	2.49e-06
Positive_regulation_of_cellular_biosynthetic_process	9.18e-30
Positive_regulation_of_cellular_metabolic_process	7.68e-22
Positive_regulation_of_cellular_process	8.85e-13
Positive_regulation_of_developmental_process	8.49e-10
Positive_regulation_of_epithelial_cell_differentiation	0.0046
Positive_regulation_of_macromolecule_biosynthetic_process	2.92e-30
Positive_regulation_of_macromolecule_metabolic_process	1.71e-18
Positive_regulation_of_metabolic_process	1.19e-17
Positive_regulation_of_multicellular_organismal_process	0.00028
Positive_regulation_of_neural_precursor_cell_proliferation	0.003
Positive_regulation_of_neurogenesis	0.0026
Positive_regulation_of_neuron_differentiation	2.41e-13
Positive_regulation_of_nitrogen_compound_metabolic_process	1.2e-20
Positive_regulation_of_transcription,_DNA-templated	1.63e-32
Positive_regulation_of_transcription_by_RNA_polymerase_II	2.78e-38
Positive_regulation_of_transcription_regulatory_region_DNA_binding	0.0025
Prostate_gland_epithelium_morphogenesis	0.0019
Proximal/distal_pattern_formation	7.16e-08
Regionalization	3.8e-36
Regulation_of_DNA-binding_transcription_factor_activity	0.0045
Regulation_of_DNA_binding	0.0022
Regulation_of_RNA_metabolic_process	8.43e-37
Regulation_of_apoptotic_process	1.89e-05
Regulation_of_axon_extension	0.0037
Regulation_of_cell_death	2.41e-05
Regulation_of_cell_differentiation	2.01e-13
Regulation_of_cell_population_proliferation	6.36e-09
Regulation_of_cell_proliferation_involved_in_heart_morphogenesis	0.0011
Regulation_of_cellular_biosynthetic_process	2.67e-33
Regulation_of_cellular_metabolic_process	1.33e-26
Regulation_of_cellular_process	3.93e-10
Regulation_of_developmental_growth	0.0063
Regulation_of_developmental_process	1.75e-12
Regulation_of_epithelial_cell_differentiation	0.00015
Regulation_of_epithelial_cell_proliferation	0.001
Regulation_of_gene_expression	4.69e-28
Regulation_of_gliogenesis	0.0053
Regulation_of_immature_T_cell_proliferation_in_thymus	0.0077
Regulation_of_macromolecule_biosynthetic_process	7.41e-34
Regulation_of_macromolecule_metabolic_process	3.68e-22
Regulation_of_metabolic_process	1.41e-20
Regulation_of_multicellular_organismal_development	2.61e-09
Regulation_of_multicellular_organismal_process	1.12e-08
Regulation_of_nervous_system_development	6.82e-07
Regulation_of_neural_precursor_cell_proliferation	0.0031
Regulation_of_neurogenesis	2.72e-07
Regulation_of_neuron_differentiation	5.24e-18
Regulation_of_nitrogen_compound_metabolic_process	3.04e-26
Regulation_of_primary_metabolic_process	3.82e-25
Regulation_of_programmed_cell_death	8.92e-06
Regulation_of_secondary_heart_field_cardioblast_proliferation	0.0043
Regulation_of_transcription,_DNA-templated	6.9e-38
Regulation_of_transcription_by_RNA_polymerase_II	2.85e-46
Regulation_of_transcription_regulatory_region_DNA_binding	0.003
Regulation_of_transmembrane_receptor_protein_serine/threonine_kinase_signaling_pathway	0.009
Renal_system_development	1.48e-07
Reproductive_process	0.0018
Reproductive_structure_development	2.7e-06
Respiratory_system_development	0.0013
Response_to_chemical	3.53e-06
Response_to_endogenous_stimulus	0.0064
Response_to_external_stimulus	0.0071
Response_to_growth_factor	0.0043
Response_to_lipid	0.002
Response_to_organic_substance	0.0041
Retina_development_in_camera-type_eye	0.008
Roof_of_mouth_development	2.28e-08
Rostrocaudal_neural_tube_patterning	0.0053
Segmentation	7.18e-08
Sensory_organ_development	2.16e-20
Sensory_organ_morphogenesis	6.41e-11
Sensory_system_development	4.85e-12
Sex_differentiation	2.77e-06
Sinoatrial_node_cell_development	0.001
Sinoatrial_node_development	0.00027
Skeletal_muscle_organ_development	0.0051
Skeletal_system_development	6.09e-16
Skeletal_system_morphogenesis	3.45e-11
Smoothened_signaling_pathway	0.00037
Somite_development	0.002
Spinal_cord_association_neuron_differentiation	0.0053
Spinal_cord_development	2.03e-10
Spinal_cord_dorsal/ventral_patterning	3.12e-05
Spinal_cord_motor_neuron_cell_fate_specification	0.00012
Spinal_cord_motor_neuron_differentiation	8.56e-10
Stem_cell_differentiation	1.71e-09
Stem_cell_proliferation	1.5e-05
Striated_muscle_tissue_development	0.00011
Sympathetic_nervous_system_development	0.0017
System_development	2.32e-47
System_process	0.0013
Telencephalon_development	2.71e-10
Telencephalon_regionalization	0.0077
Thymus_development	0.0021
Tissue_development	1.83e-30
Tissue_morphogenesis	6.69e-15
Transcription,_DNA-templated	0.00044
Transcription_by_RNA_polymerase_II	0.00085
Transdifferentiation	0.0015
Trigeminal_nerve_development	0.0053
Tube_development	3.4e-18
Tube_morphogenesis	1.09e-10
Type_B_pancreatic_cell_differentiation	0.0022
Type_B_pancreatic_cell_proliferation	0.009
Ureteric_bud_development	0.00033
Urogenital_system_development	1.73e-08
Ventral_spinal_cord_development	3.78e-11
Ventral_spinal_cord_interneuron_fate_commitment	0.00021
Visual_system_development	2.3e-10
