	cluster2	cluster3	cluster4	cluster5	cluster6
Negative_regulation_of_macromolecule_biosynthetic_process	1	1.2e-05	1	1	1
Negative_regulation_of_macromolecule_metabolic_process	1	0.0038	1	1	3.62e-07
Negative_regulation_of_neural_precursor_cell_proliferation	1	1	1	1	0.0013
Negative_regulation_of_neuron_differentiation	1	0.00088	1	1	0.0012
Negative_regulation_of_nitrogen_compound_metabolic_process	1	0.00055	1	1	1
Negative_regulation_of_transcription,_DNA-templated	1	2.92e-05	1	1	1.65e-11
Negative_regulation_of_transcription_by_RNA_polymerase_II	1	2.99e-06	1	1	2.66e-11
Nephron_epithelium_development	1	1	1	1	0.0035
Nephron_tubule_morphogenesis	1	0.0079	1	1	1
Nerve_development	1	0.0014	1	1	1
Nervous_system_development	1	1.13e-12	1	1	2.1e-17
Nervous_system_process	1	0.0044	1	1	1
Neural_crest_cell_differentiation	1	0.0022	1	1	1
Neural_crest_cell_migration	1	0.0048	1	1	1
Neural_precursor_cell_proliferation	1	0.00017	1	1	0.00012
Neural_retina_development	1	1	1	1	0.0012
Neuroblast_proliferation	1	0.0032	1	1	1
Neuroepithelial_cell_differentiation	1	1	1	1	5.87e-05
Neurogenesis	1	1	1	1	7.14e-13
Neuron_development	1	1.33e-09	1	1	0.0068
Neuron_differentiation	1	2.46e-12	1	1	7.05e-12
Neuron_fate_commitment	1	2.85e-05	1	1	1.02e-08
Neuron_fate_specification	1	1	1	1	0.0027
Neuron_migration	1	0.0092	1	1	0.0085
Neuron_projection_development	1	1.31e-06	1	1	1
Neuron_projection_morphogenesis	1	1.8e-07	1	1	1
Odontogenesis	1	0.0065	1	1	5.21e-07
Odontogenesis_of_dentin-containing_tooth	1	1	1	1	6.13e-05
Pallium_development	1	0.0034	1	1	1
Pattern_specification_process	1	1.11e-07	1	1	4.58e-08
Pituitary_gland_development	1	1	1	1	0.0062
Positive_regulation_of_DNA_binding	1	0.005	1	1	1
Positive_regulation_of_RNA_metabolic_process	1	1.03e-05	1	1	1.27e-14
Positive_regulation_of_biological_process	1	0.0095	1	1	1.73e-05
Positive_regulation_of_cell_differentiation	1	0.0029	1	1	0.0085
Positive_regulation_of_cell_population_proliferation	1	1	1	1	0.0025
Positive_regulation_of_cellular_biosynthetic_process	1	1.23e-05	1	1	1
Positive_regulation_of_cellular_metabolic_process	1	8.41e-05	1	1	1
Positive_regulation_of_cellular_process	1	0.0032	1	1	1.21e-05
Positive_regulation_of_developmental_process	1	3.15e-05	1	1	0.00018
Positive_regulation_of_macromolecule_biosynthetic_process	1	2e-05	1	1	1
Positive_regulation_of_macromolecule_metabolic_process	1	7.87e-05	1	1	6.4e-10
Positive_regulation_of_metabolic_process	1	0.00012	1	1	1
Positive_regulation_of_multicellular_organismal_process	1	0.0025	1	1	1
Positive_regulation_of_neuron_differentiation	1	0.00012	1	1	1
Positive_regulation_of_nitrogen_compound_metabolic_process	1	0.0012	1	1	1
Positive_regulation_of_stem_cell_proliferation	1	1	1	1	0.00025
Positive_regulation_of_transcription,_DNA-templated	1	1.34e-05	1	1	3.81e-14
Positive_regulation_of_transcription_by_RNA_polymerase_II	1	1.44e-05	1	1	4.07e-13
Proximal/distal_pattern_formation	1	1	1	1	0.0036
Regionalization	1	5.07e-08	1	1	1.12e-06
Regulation_of_RNA_metabolic_process	1	6.69e-09	1	1	1
Regulation_of_anatomical_structure_morphogenesis	1	1	1	1	0.0021
Regulation_of_animal_organ_morphogenesis	1	1	1	1	0.0067
Regulation_of_cell_differentiation	1	0.0012	1	1	2.47e-05
Regulation_of_cell_population_proliferation	1	1	1	1	4.43e-05
Regulation_of_cellular_biosynthetic_process	1	8.38e-08	1	1	1
Regulation_of_cellular_metabolic_process	1	6.57e-06	1	1	1
Regulation_of_cellular_process	1	0.00021	1	1	0.00015
Regulation_of_developmental_process	1	2.09e-05	1	1	5.21e-07
Regulation_of_epithelial_cell_proliferation	1	0.0032	1	1	0.0035
Regulation_of_gene_expression	1	1.76e-06	1	1	3.01e-13
Regulation_of_macromolecule_biosynthetic_process	1	2.99e-08	1	1	1
Regulation_of_macromolecule_metabolic_process	1	2.36e-05	1	1	1
Regulation_of_metabolic_process	1	6.85e-05	1	1	1
Regulation_of_multicellular_organismal_development	1	0.00024	1	1	0.00026
Regulation_of_multicellular_organismal_process	1	0.00011	1	1	0.0081
Regulation_of_neural_precursor_cell_proliferation	1	1	1	1	0.0021
Regulation_of_neuron_differentiation	1	5.05e-06	1	1	0.00015
Regulation_of_nitrogen_compound_metabolic_process	1	8.58e-06	1	1	1
Regulation_of_odontogenesis	1	1	1	1	0.00072
Regulation_of_primary_metabolic_process	1	5.18e-06	1	1	1
Regulation_of_synapse_assembly	1	0.0031	1	1	1
Regulation_of_synapse_organization	1	0.00088	1	1	1
Regulation_of_transcription,_DNA-templated	1	1.78e-08	1	1	8.37e-16
Regulation_of_transcription_by_RNA_polymerase_II	1	2.68e-10	1	1	2.1e-17
Renal_system_development	1	0.0065	1	1	1
Reproductive_structure_development	1	1	1	1	0.0082
Response_to_chemical	1	1	1	1	0.0027
Response_to_organic_substance	1	1	1	1	0.0068
Retina_development_in_camera-type_eye	1	1	1	1	0.00096
Roof_of_mouth_development	1	1	1	1	9.51e-05
Segmentation	1	0.0032	1	1	1
Sensory_organ_development	1	1.94e-07	1	1	8.08e-16
Sensory_organ_morphogenesis	1	0.0039	1	1	4.24e-06
Sensory_system_development	1	0.00011	1	1	1
Skeletal_muscle_tissue_development	1	1	1	1	0.0077
Skeletal_system_development	1	1	1	1	2.9e-05
Skeletal_system_morphogenesis	0.00024	1	1	1	2.31e-05
Spinal_cord_development	1	1.23e-05	1	1	1
Spinal_cord_dorsal/ventral_patterning	1	0.0039	1	1	1
Stem_cell_differentiation	1	1	1	1	0.0018
Stem_cell_population_maintenance	1	1	1	1	0.0046
Stem_cell_proliferation	1	1	1	1	0.0013
System_development	1	1.13e-12	1	1	3.03e-17
Telencephalon_development	1	4.81e-06	1	1	1
Tissue_development	1	1.49e-07	1	1	1.11e-10
Tissue_morphogenesis	1	0.0087	1	1	6.02e-05
Tongue_development	1	1	1	1	0.00095
Tube_development	1	1	1	1	0.00022
Tube_morphogenesis	1	1	1	1	0.0016
Urogenital_system_development	1	1	1	1	0.0027
Ventral_spinal_cord_development	1	0.00011	1	1	0.0072
Visual_perception	1	0.0091	1	1	1
