	cluster1	cluster2
Cellular_response_to_endogenous_stimulus	0.0056	1
Central_nervous_system_development	2.37e-33	1
Central_nervous_system_neuron_differentiation	7.59e-12	1
Cerebellum_development	0.0054	1
Cerebral_cortex_GABAergic_interneuron_differentiation	0.0049	1
Cerebral_cortex_development	0.00026	1
Cerebral_cortex_neuron_differentiation	0.00018	1
Chemical_synaptic_transmission	0.00013	1
Chemotaxis	1.6e-07	1
Chordate_embryonic_development	1.98e-09	1
Circulatory_system_development	8.58e-11	1
Columnar/cuboidal_epithelial_cell_differentiation	7.49e-08	1
Commitment_of_neuronal_cell_to_specific_neuron_type_in_forebrain	3.51e-05	1
Connective_tissue_development	0.0092	1
Cranial_nerve_development	0.0034	1
Cranial_skeletal_system_development	7.3e-07	1
Dentate_gyrus_development	0.0006	1
Developmental_growth	1.08e-06	1
Developmental_maturation	0.0049	1
Developmental_process	7.28e-30	1
Developmental_process_involved_in_reproduction	0.00086	1
Diencephalon_development	4.24e-09	1
Digestive_tract_development	4.29e-09	1
Dopaminergic_neuron_differentiation	2.67e-05	1
Dorsal/ventral_pattern_formation	5.39e-10	1
Ear_development	3.4e-10	1
Ear_morphogenesis	3.42e-09	1
Embryo_development	2.28e-18	7.29e-05
Embryonic_camera-type_eye_morphogenesis	0.0026	1
Embryonic_cranial_skeleton_morphogenesis	7.39e-06	1
Embryonic_digit_morphogenesis	2.59e-05	1
Embryonic_eye_morphogenesis	0.00051	1
Embryonic_forelimb_morphogenesis	3.95e-08	1
Embryonic_heart_tube_development	1.7e-06	1
Embryonic_hindlimb_morphogenesis	1.03e-05	1
Embryonic_limb_morphogenesis	2.67e-06	1
Embryonic_morphogenesis	3.24e-20	1
Embryonic_organ_development	1.08e-22	1
Embryonic_organ_morphogenesis	8.35e-20	1
Embryonic_skeletal_joint_morphogenesis	0.0049	1
Embryonic_skeletal_system_development	1	7.93e-05
Embryonic_skeletal_system_morphogenesis	2.06e-09	0.0046
Endocardial_cushion_development	4.75e-07	1
Endocardial_cushion_morphogenesis	0.00064	1
Endocrine_pancreas_development	0.00095	1
Endocrine_system_development	2.37e-11	1
Enteroendocrine_cell_differentiation	0.00028	1
Epithelial_cell_development	0.0038	1
Epithelial_cell_differentiation	2.76e-12	1
Epithelial_cell_fate_commitment	0.00049	1
Epithelial_tube_morphogenesis	2.03e-07	1
Epithelium_development	2.15e-23	1
Eye_development	1.34e-09	1
Eye_morphogenesis	0.0013	1
Forebrain_development	1.17e-24	1
Forebrain_generation_of_neurons	1.51e-05	1
Forebrain_neuron_differentiation	0.00095	1
Forebrain_regionalization	0.00011	1
Formation_of_primary_germ_layer	0.0016	1
GABAergic_neuron_differentiation	0.0006	1
Gastrulation	0.00029	1
Generation_of_neurons	7.84e-27	1
Gland_development	2.58e-14	1
Gland_morphogenesis	0.0054	1
Glandular_epithelial_cell_differentiation	5.53e-05	1
Glial_cell_differentiation	0.00011	1
Glial_cell_fate_commitment	7.62e-06	1
Gliogenesis	2.68e-05	1
Gonad_development	0.00044	1
Head_development	4.23e-25	1
Heart_development	6.22e-11	1
Heart_looping	0.00054	1
Heart_morphogenesis	8.37e-09	1
Heart_valve_development	4.5e-06	1
Heart_valve_morphogenesis	2.09e-05	1
Heterocycle_biosynthetic_process	0.0041	1
Hindbrain_development	0.0011	1
Hippocampus_development	9.4e-09	1
Inner_ear_development	4.41e-07	1
Inner_ear_morphogenesis	1.13e-05	1
Interneuron_migration	0.00049	1
Kidney_development	0.00014	1
Kidney_epithelium_development	7.51e-06	1
Kidney_mesenchyme_development	0.00085	1
Limb_morphogenesis	1.36e-07	1
Limbic_system_development	6.25e-11	1
Male_sex_differentiation	0.0096	1
Mesenchymal_cell_differentiation	4.68e-05	1
Mesenchymal_cell_proliferation	0.0029	1
Mesenchyme_development	5.06e-09	1
Mesenchyme_morphogenesis	6.94e-08	1
Mesoderm_development	0.00033	1
Mesoderm_formation	0.0074	1
Mesoderm_morphogenesis	0.001	1
Mesodermal_cell_fate_commitment	0.0096	1
Mesonephric_tubule_formation	0.0032	1
Mesonephric_tubule_morphogenesis	0.00034	1
Metanephric_nephron_development	0.0053	1
Metanephros_development	2.02e-06	1
Metencephalon_development	0.0013	1
Midbrain_development	3.31e-05	1
Morphogenesis_of_a_branching_epithelium	0.00024	1
Morphogenesis_of_an_epithelium	5.8e-10	1
Morphogenesis_of_embryonic_epithelium	0.0051	1
Motor_neuron_migration	0.0058	1
Multicellular_organismal_process	3.43e-26	1
Muscle_cell_development	0.0074	1
Muscle_cell_differentiation	0.0016	1
Muscle_organ_development	8.31e-07	1
Muscle_structure_development	1.57e-08	1
Muscle_tissue_development	7.06e-10	1
Negative_regulation_of_RNA_metabolic_process	2.08e-17	1
Negative_regulation_of_apoptotic_process	3.67e-08	1
Negative_regulation_of_biological_process	3.25e-09	1
Negative_regulation_of_cell_death	2.88e-08	1
Negative_regulation_of_cell_differentiation	4.7e-09	1
Negative_regulation_of_cell_population_proliferation	0.00029	1
Negative_regulation_of_cellular_biosynthetic_process	1.19e-15	1
Negative_regulation_of_cellular_process	1.05e-09	1
Negative_regulation_of_developmental_process	3.85e-11	1
Negative_regulation_of_epithelial_cell_proliferation	7.84e-05	1
Negative_regulation_of_macromolecule_biosynthetic_process	2.71e-16	1
Negative_regulation_of_macromolecule_metabolic_process	2.72e-08	1
Negative_regulation_of_multicellular_organismal_process	0.00035	1
Negative_regulation_of_neuron_differentiation	2.02e-10	1
Negative_regulation_of_nitrogen_compound_metabolic_process	2.53e-10	1
Negative_regulation_of_programmed_cell_death	1.24e-08	1
Negative_regulation_of_striated_muscle_tissue_development	0.0025	1
Negative_regulation_of_transcription,_DNA-templated	5.76e-18	1
Negative_regulation_of_transcription_by_RNA_polymerase_II	1.42e-19	1
Nephric_duct_morphogenesis	0.0058	1
Nephron_epithelium_development	9.82e-06	1
Nephron_tubule_development	0.00021	1
Nerve_development	0.00026	1
Nervous_system_development	1.58e-37	1
Nervous_system_process	0.00061	1
Neural_precursor_cell_proliferation	5.83e-06	1
Neural_tube_patterning	0.00036	1
Neuroblast_proliferation	0.0021	1
Neuroepithelial_cell_differentiation	0.0045	1
Neurogenesis	5.86e-27	1
Neuron_development	6.8e-14	1
Neuron_differentiation	2.46e-25	1
Neuron_fate_commitment	3.83e-12	1
Neuron_fate_determination	0.004	1
Neuron_fate_specification	0.00032	1
Neuron_migration	8.82e-08	1
Neuron_projection_development	1.14e-10	1
Neuron_projection_morphogenesis	3.86e-12	1
Odontogenesis	0.0022	1
Olfactory_bulb_development	0.00046	1
Oligodendrocyte_cell_fate_specification	1.27e-05	1
Oligodendrocyte_differentiation	0.0016	1
Organ_growth	0.0042	1
Organic_cyclic_compound_biosynthetic_process	0.0068	1
Otic_vesicle_development	0.0082	1
Outflow_tract_morphogenesis	0.00012	1
Pallium_development	8.22e-13	1
Pancreas_development	0.00012	1
Pancreatic_A_cell_differentiation	0.004	1
Paraxial_mesoderm_development	0.00099	1
Paraxial_mesoderm_formation	0.0025	1
Pattern_specification_involved_in_kidney_development	0.0032	1
Pattern_specification_process	7.59e-25	1
Pericyte_cell_differentiation	0.0049	1
Pharyngeal_system_development	0.00024	1
Pituitary_gland_development	2.72e-07	1
Plasma_membrane_bounded_cell_projection_organization	7.41e-07	1
Positive_regulation_of_BMP_signaling_pathway	0.00078	1
Positive_regulation_of_DNA_binding	1.93e-06	1
Positive_regulation_of_animal_organ_morphogenesis	0.0049	1
Positive_regulation_of_binding	7.81e-05	1
Positive_regulation_of_biological_process	1.88e-11	1
Positive_regulation_of_cardiocyte_differentiation	0.0006	1
Positive_regulation_of_cell_cycle	0.0095	1
Positive_regulation_of_cell_death	0.0045	1
Positive_regulation_of_cell_development	0.0037	1
Positive_regulation_of_cell_differentiation	5.33e-09	1
Positive_regulation_of_cell_population_proliferation	1.93e-06	1
Positive_regulation_of_cellular_biosynthetic_process	1.11e-25	1
Positive_regulation_of_cellular_metabolic_process	5.24e-20	1
Positive_regulation_of_cellular_process	1.6e-11	1
Positive_regulation_of_developmental_growth	0.00023	1
Positive_regulation_of_developmental_process	7.76e-12	1
Positive_regulation_of_epithelial_cell_differentiation	0.0042	1
Positive_regulation_of_gene_expression	0.0036	1
Positive_regulation_of_macromolecule_biosynthetic_process	4.35e-26	1
Positive_regulation_of_macromolecule_metabolic_process	3.04e-18	1
Positive_regulation_of_metabolic_process	1.97e-17	1
Positive_regulation_of_multicellular_organismal_process	7.57e-07	1
Positive_regulation_of_neural_precursor_cell_proliferation	0.0028	1
Positive_regulation_of_neurogenesis	0.0023	1
Positive_regulation_of_neuron_differentiation	3.82e-05	1
Positive_regulation_of_nitrogen_compound_metabolic_process	6.95e-19	1
Positive_regulation_of_transcription,_DNA-templated	5.63e-28	1
Positive_regulation_of_transcription_by_RNA_polymerase_II	2.32e-30	1
Positive_regulation_of_transcription_regulatory_region_DNA_binding	5.9e-06	1
Positive_regulation_of_transmembrane_receptor_protein_serine/threonine_kinase_signaling_pathway	0.0096	1
Post-embryonic_development	0.0035	1
Programmed_cell_death	0.00066	1
Regionalization	5.96e-23	1
Regulation_of_BMP_signaling_pathway	0.0054	1
Regulation_of_DNA_binding	3.38e-05	1
Regulation_of_RNA_metabolic_process	2.13e-28	1
Regulation_of_anatomical_structure_morphogenesis	0.0051	1
Regulation_of_apoptotic_process	1.12e-07	1
Regulation_of_apoptotic_signaling_pathway	0.0036	1
Regulation_of_binding	0.0043	1
Regulation_of_biological_quality	0.00064	1
Regulation_of_cardioblast_differentiation	0.0025	1
Regulation_of_cell_death	4.87e-08	1
Regulation_of_cell_differentiation	1.07e-09	1
Regulation_of_cell_population_proliferation	1.76e-08	1
Regulation_of_cell_proliferation_involved_in_heart_morphogenesis	0.00099	1
Regulation_of_cellular_biosynthetic_process	3.42e-26	1
Regulation_of_cellular_metabolic_process	4.79e-21	1
Regulation_of_cellular_process	3.49e-09	1
Regulation_of_developmental_growth	5.69e-05	1
Regulation_of_developmental_process	2.53e-10	1
Regulation_of_epithelial_cell_differentiation	1.59e-05	1
Regulation_of_epithelial_cell_proliferation	2.22e-07	1
Regulation_of_epithelial_to_mesenchymal_transition	0.0036	1
Regulation_of_gene_expression	7.27e-24	1
Regulation_of_growth	0.0016	1
Regulation_of_kidney_development	0.00041	1
Regulation_of_macromolecule_biosynthetic_process	1.18e-26	1
Regulation_of_macromolecule_metabolic_process	3.37e-17	1
Regulation_of_metabolic_process	1.94e-16	1
Regulation_of_multicellular_organismal_development	1.53e-06	1
Regulation_of_multicellular_organismal_process	6.82e-10	1
Regulation_of_muscle_organ_development	0.0016	1
Regulation_of_muscle_tissue_development	0.0016	1
Regulation_of_neural_precursor_cell_proliferation	0.0029	1
Regulation_of_neurogenesis	0.0038	1
Regulation_of_neuron_apoptotic_process	0.0078	1
Regulation_of_neuron_death	0.0014	1
Regulation_of_neuron_differentiation	2.14e-13	1
Regulation_of_nitrogen_compound_metabolic_process	5.18e-20	1
Regulation_of_nucleobase-containing_compound_metabolic_process	1.09e-26	1
Regulation_of_organ_growth	0.0029	1
Regulation_of_primary_metabolic_process	4.5e-19	1
Regulation_of_programmed_cell_death	4.94e-08	1
Regulation_of_system_process	0.0098	1
Regulation_of_timing_of_cell_differentiation	0.0049	1
Regulation_of_transcription,_DNA-templated	3.47e-30	1
Regulation_of_transcription_by_RNA_polymerase_II	1.37e-35	1
Regulation_of_transcription_regulatory_region_DNA_binding	1.88e-05	1
Renal_vesicle_development	0.0082	1
Reproductive_structure_development	4.1e-07	1
Response_to_chemical	3.02e-07	1
Response_to_endogenous_stimulus	0.005	1
Response_to_external_stimulus	0.0026	1
Response_to_growth_factor	0.0036	1
Response_to_organic_cyclic_compound	0.0068	1
Response_to_organic_substance	0.0014	1
Response_to_oxygen-containing_compound	0.0021	1
Retina_development_in_camera-type_eye	0.0013	1
Roof_of_mouth_development	3.67e-06	1
Rostrocaudal_neural_tube_patterning	0.0049	1
Segmentation	8.29e-07	1
Sensory_organ_development	1.5e-18	1
Sensory_organ_morphogenesis	6.25e-11	1
Sex_differentiation	1.52e-05	1
Signal_release	0.0032	1
Signaling	0.0014	1
Sinoatrial_node_development	0.0058	1
Skeletal_muscle_tissue_development	0.0029	1
Skeletal_system_development	4.29e-09	1.27e-06
Skeletal_system_morphogenesis	3.4e-10	0.00063
Specification_of_symmetry	0.0034	1
Spinal_cord_association_neuron_differentiation	5.57e-06	1
Spinal_cord_development	3.15e-09	1
Spinal_cord_dorsal/ventral_patterning	0.00072	1
Spinal_cord_motor_neuron_differentiation	1.45e-05	1
Spinal_cord_oligodendrocyte_cell_fate_specification	0.0004	1
Stem_cell_differentiation	8.51e-05	1
Stem_cell_population_maintenance	0.0082	1
Striated_muscle_cell_differentiation	0.0011	1
Synaptic_signaling	9.61e-05	1
System_development	1.58e-37	1
System_process	2.62e-06	1
Telencephalon_cell_migration	0.0052	1
Telencephalon_development	1.75e-15	1
Telencephalon_regionalization	0.007	1
Tissue_development	3.83e-21	1
Tissue_morphogenesis	1.14e-10	1
Transcription,_DNA-templated	4.41e-06	1
Transcription_by_RNA_polymerase_II	1.59e-07	1
Tube_development	1.15e-16	1
Tube_morphogenesis	4e-07	1
Type_B_pancreatic_cell_differentiation	0.0021	1
Ureter_development	0.00072	1
Ureteric_bud_development	2.42e-06	1
Ureteric_bud_morphogenesis	0.0032	1
Urogenital_system_development	0.00012	1
Ventral_spinal_cord_development	4.15e-07	1
Ventral_spinal_cord_interneuron_fate_commitment	0.0049	1
Ventricular_septum_development	0.00012	1
Visual_system_development	2.27e-10	1
