	cluster1	cluster2	cluster3	cluster4
Locomotion	1	1	1	2.44e-09
Loop_of_Henle_development	1	1	1	0.0058
Lung_epithelium_development	1	1	1	0.0077
Lymph_vessel_development	1	1	1	0.0026
Mesenchymal_cell_apoptotic_process	1	1	1	0.0058
Mesenchymal_cell_differentiation	1	1	1	3.89e-13
Mesenchymal_cell_proliferation	1	1	1	8.58e-06
Mesenchymal_to_epithelial_transition_involved_in_metanephros_morphogenesis	1	1	1	0.0024
Mesenchyme_development	1	1	1	5.21e-14
Mesenchyme_morphogenesis	1	1	1	1.23e-06
Mesoderm_development	1	1	1	4.35e-05
Mesoderm_formation	1	1	1	0.00089
Mesoderm_morphogenesis	1	1	1	0.0001
Mesodermal_cell_fate_commitment	1	1	1	0.00046
Mesonephros_development	1	1	1	3.14e-07
Metanephric_nephron_development	1	1	1	1.1e-06
Metanephric_nephron_morphogenesis	1	1	1	0.0013
Metanephros_development	1	1	1	4.26e-11
Metencephalon_development	1	1	1	1.95e-05
Midbrain_development	1	1	1	0.0028
Middle_ear_morphogenesis	1	1	1	2.02e-09
Morphogenesis_of_a_branching_epithelium	1	1	1	4.81e-07
Morphogenesis_of_a_branching_structure	1	1	1	9.09e-08
Morphogenesis_of_an_epithelium	1	1	1	1.63e-11
Morphogenesis_of_embryonic_epithelium	1	0.0072	1	0.00014
Motor_neuron_migration	1	1	1	7.41e-06
Multicellular_organism_development	1	4.56e-08	1	5.17e-45
Multicellular_organismal_process	1	1.82e-05	1	8.11e-34
Muscle_cell_fate_commitment	1	1	1	0.00068
Muscle_organ_development	1	1	1	3.56e-10
Muscle_organ_morphogenesis	1	1	1	0.00015
Muscle_structure_development	1	0.008	1	3.78e-09
Muscle_tissue_development	1	0.0056	1	7.11e-09
Muscle_tissue_morphogenesis	1	1	1	0.00089
Negative_regulation_of_RNA_metabolic_process	1	1	1	8.96e-29
Negative_regulation_of_apoptotic_process	1	1	1	1.32e-08
Negative_regulation_of_biological_process	1	1	1	2.25e-16
Negative_regulation_of_cell_death	1	1	1	1.15e-08
Negative_regulation_of_cell_differentiation	1	0.0033	1	2.3e-14
Negative_regulation_of_cell_population_proliferation	1	1	1	0.00011
Negative_regulation_of_cellular_biosynthetic_process	1	1	1	2.05e-26
Negative_regulation_of_cellular_process	1	0.0062	1	1.71e-18
Negative_regulation_of_developmental_process	1	0.00013	1	1.71e-15
Negative_regulation_of_epithelial_cell_proliferation	1	1	1	8.58e-05
Negative_regulation_of_macromolecule_biosynthetic_process	1	1	1	2.92e-27
Negative_regulation_of_macromolecule_metabolic_process	1	1	1	9.39e-16
Negative_regulation_of_multicellular_organismal_process	1	1	1	5.07e-05
Negative_regulation_of_neurogenesis	1	1	1	0.0001
Negative_regulation_of_neuron_differentiation	1	1	1	4.06e-17
Negative_regulation_of_nitrogen_compound_metabolic_process	1	1	1	1.05e-18
Negative_regulation_of_programmed_cell_death	1	1	1	4.67e-09
Negative_regulation_of_transcription,_DNA-templated	1	1	1	1.14e-29
Negative_regulation_of_transcription_by_RNA_polymerase_II	1	1	1	1.84e-29
Nephron_epithelium_development	1	1	1	4.56e-10
Nephron_epithelium_morphogenesis	1	1	1	2.85e-08
Nephron_tubule_development	1	1	1	1.21e-07
Nephron_tubule_formation	1	1	1	0.00095
Nephron_tubule_morphogenesis	1	1	1	3.51e-07
Nerve_development	1	1	1	2.16e-06
Nervous_system_development	1	9.46e-08	1	3.87e-46
Nervous_system_process	1	1	1	0.00034
Neural_crest_cell_development	1	1	1	1.09e-07
Neural_crest_cell_differentiation	1	1	1	2.06e-09
Neural_crest_cell_migration	1	1	1	1.77e-06
Neural_precursor_cell_proliferation	1	1	1	3.1e-09
Neural_retina_development	1	1	1	0.00014
Neural_tube_development	1	1	1	0.0017
Neural_tube_patterning	1	1	1	9.19e-07
Neuroblast_proliferation	1	1	1	3.97e-08
Neuroepithelial_cell_differentiation	1	1	1	0.00031
Neurogenesis	1	0.00077	1	3.4e-38
Neuron_development	1	1	1	7.09e-17
Neuron_differentiation	1	0.00021	1	1.17e-35
Neuron_fate_commitment	1	1	1	1.82e-28
Neuron_fate_determination	1	1	1	3.76e-06
Neuron_fate_specification	1	1	1	8.74e-16
Neuron_migration	1	1	1	1.6e-14
Neuron_projection_development	1	1	1	1.51e-14
Neuron_projection_morphogenesis	1	1	1	1.19e-15
Notch_signaling_pathway	1	1	1	0.0016
Odontogenesis	1	1	1	3.94e-08
Odontogenesis_of_dentin-containing_tooth	1	1	1	1.8e-06
Olfactory_bulb_development	1	1	1	0.0059
Oligodendrocyte_cell_fate_specification	1	1	1	1.19e-05
Oligodendrocyte_development	1	1	1	0.0011
Oligodendrocyte_differentiation	1	1	1	8.92e-08
Ossification	1	1	1	0.0028
Osteoblast_differentiation	1	1	1	0.0042
Outflow_tract_morphogenesis	1	1	1	7.51e-07
Outflow_tract_septum_morphogenesis	1	1	1	0.0023
Pallium_development	1	1	1	1.44e-10
Pancreas_development	1	1	1	1.83e-10
Pancreatic_A_cell_differentiation	1	1	1	0.00014
Parasympathetic_nervous_system_development	1	1	1	0.0008
Paraxial_mesoderm_formation	1	1	1	0.0024
Pattern_specification_involved_in_kidney_development	1	1	1	0.0001
Pattern_specification_involved_in_metanephros_development	1	1	1	0.00059
Pattern_specification_process	1.21e-19	0.00035	1	4.79e-36
Pharyngeal_system_development	1	1	1	0.00023
Pituitary_gland_development	1	1	1	8.58e-05
Plasma_membrane_bounded_cell_projection_organization	1	1	1	1.15e-09
Positive_regulation_of_BMP_signaling_pathway	1	1	1	0.0091
Positive_regulation_of_DNA-binding_transcription_factor_activity	1	1	1	0.0072
Positive_regulation_of_DNA_binding	1	1	1	2.91e-05
Positive_regulation_of_animal_organ_morphogenesis	1	1	1	0.0049
Positive_regulation_of_binding	1	1	1	8.69e-05
Positive_regulation_of_biological_process	1	5.22e-05	1	1
Positive_regulation_of_cell_communication	1	1	1	0.005
Positive_regulation_of_cell_cycle	1	1	1	0.0029
Positive_regulation_of_cell_development	1	1	1	6.76e-06
Positive_regulation_of_cell_differentiation	1	1	1	1.67e-15
Positive_regulation_of_cell_population_proliferation	1	0.00015	1	1.03e-08
Positive_regulation_of_cellular_biosynthetic_process	1	0.0017	1	9.3e-33
Positive_regulation_of_cellular_metabolic_process	1	0.00019	1	2.94e-24
Positive_regulation_of_cellular_process	1	0.00011	1	7.77e-14
Positive_regulation_of_developmental_process	1	0.0011	1	8.99e-16
Positive_regulation_of_epithelial_cell_differentiation	1	1	1	0.00042
Positive_regulation_of_epithelial_cell_proliferation	1	1	1	0.0068
Positive_regulation_of_epithelial_to_mesenchymal_transition	1	1	1	0.00019
Positive_regulation_of_gliogenesis	1	1	1	0.00067
Positive_regulation_of_hematopoietic_stem_cell_proliferation	1	0.0075	1	1
Positive_regulation_of_kidney_development	1	1	1	0.0048
Positive_regulation_of_macromolecule_biosynthetic_process	1	1	1	2.09e-32
Positive_regulation_of_macromolecule_metabolic_process	1	0.00046	1	5.63e-20
Positive_regulation_of_mesenchymal_cell_proliferation	1	1	1	0.0018
Positive_regulation_of_metabolic_process	1	0.00031	1	1
Positive_regulation_of_multicellular_organismal_process	1	1	1	1.4e-06
Positive_regulation_of_nervous_system_development	1	1	1	2.19e-06
Positive_regulation_of_neural_precursor_cell_proliferation	1	1	1	1.92e-05
Positive_regulation_of_neuroblast_proliferation	1	1	1	0.00018
Positive_regulation_of_neurogenesis	1	1	1	1.89e-06
Positive_regulation_of_neuron_differentiation	1	1	1	6.45e-16
Positive_regulation_of_nitrogen_compound_metabolic_process	1	0.0011	1	3e-22
Positive_regulation_of_oligodendrocyte_differentiation	1	1	1	0.0026
Positive_regulation_of_signaling	1	1	1	0.0053
Positive_regulation_of_transcription,_DNA-templated	1	0.00035	1	9.8e-35
Positive_regulation_of_transcription_by_RNA_polymerase_II	0.0035	0.00049	1	6.48e-37
Positive_regulation_of_transcription_regulatory_region_DNA_binding	1	1	1	0.00013
Prostate_gland_epithelium_morphogenesis	1	1	1	0.0018
Proximal/distal_pattern_formation	6.98e-06	1	1	0.00049
Regionalization	1	0.0075	1	1.87e-33
Regulation_of_DNA_binding	1	1	1	0.0003
Regulation_of_RNA_metabolic_process	1	0.0015	1	1.59e-45
Regulation_of_anatomical_structure_morphogenesis	1	1	1	2.59e-05
Regulation_of_animal_organ_formation	1	1	1	0.0029
Regulation_of_animal_organ_morphogenesis	1	1	1	4.63e-07
Regulation_of_apoptotic_process	1	0.0079	1	2.08e-07
Regulation_of_binding	1	1	1	0.0013
Regulation_of_biological_quality	1	1	1	0.00031
Regulation_of_branching_involved_in_ureteric_bud_morphogenesis	1	1	1	0.0013
Regulation_of_cell_communication	1	1	1	0.0032
Regulation_of_cell_cycle	1	1	1	0.0081
Regulation_of_cell_death	1	1	1	3.3e-07
Regulation_of_cell_development	1	1	1	1.62e-07
Regulation_of_cell_differentiation	1	0.0036	1	6.25e-16
Regulation_of_cell_population_proliferation	1	0.00026	1	7.68e-10
Regulation_of_cell_proliferation_involved_in_heart_morphogenesis	1	1	1	0.00095
Regulation_of_cellular_biosynthetic_process	1	0.0054	1	1.47e-42
Regulation_of_cellular_metabolic_process	1	0.0042	1	3.86e-33
Regulation_of_cellular_process	1	1	1	1.73e-18
Regulation_of_developmental_growth	1	1	1	0.0062
Regulation_of_developmental_process	1	0.0015	1	1.56e-16
Regulation_of_dopaminergic_neuron_differentiation	1	1	1	0.0058
Regulation_of_epithelial_cell_differentiation	1	1	1	0.00014
Regulation_of_epithelial_cell_proliferation	1	1	1	2.81e-07
Regulation_of_epithelial_to_mesenchymal_transition	1	1	1	0.00048
Regulation_of_gene_expression	1	0.0033	1	1.35e-36
Regulation_of_glial_cell_differentiation	1	1	1	0.0012
Regulation_of_gliogenesis	1	1	1	7.94e-06
Regulation_of_kidney_development	1	1	1	0.00039
Regulation_of_macromolecule_biosynthetic_process	1	0.0086	1	3.35e-43
Regulation_of_macromolecule_metabolic_process	1	1	1	7.41e-31
Regulation_of_mesenchymal_cell_apoptotic_process	1	1	1	0.0069
Regulation_of_mesenchymal_cell_proliferation	1	1	1	0.00027
Regulation_of_mesenchymal_cell_proliferation_involved_in_ureter_development	1	1	1	0.00036
Regulation_of_metabolic_process	1	1	1	3.73e-28
Regulation_of_morphogenesis_of_a_branching_structure	1	1	1	0.0023
Regulation_of_morphogenesis_of_an_epithelium	1	1	1	0.0058
Regulation_of_multicellular_organismal_development	1	1	1	1.09e-09
Regulation_of_multicellular_organismal_process	1	8.06e-05	1	1.9e-10
Regulation_of_neural_precursor_cell_proliferation	1	1	1	3.31e-06
Regulation_of_neuroblast_proliferation	1	1	1	5.21e-05
Regulation_of_neurogenesis	1	1	1	7.1e-09
Regulation_of_neuron_differentiation	1	1	1	8.12e-27
Regulation_of_nitrogen_compound_metabolic_process	1	1	1	1.32e-34
Regulation_of_odontogenesis	1	1	1	3.5e-05
Regulation_of_odontogenesis_of_dentin-containing_tooth	1	1	1	0.0048
Regulation_of_oligodendrocyte_differentiation	1	1	1	0.0012
Regulation_of_primary_metabolic_process	1	1	1	1.85e-32
Regulation_of_programmed_cell_death	1	1	1	9.65e-08
Regulation_of_signal_transduction	1	1	1	0.0044
Regulation_of_signaling	1	1	1	0.0034
Regulation_of_timing_of_cell_differentiation	1	1	1	0.0048
Regulation_of_transcription,_DNA-templated	1	0.0013	1	1.47e-47
Regulation_of_transcription_by_RNA_polymerase_II	1	0.0028	1	4.16e-55
Regulation_of_transcription_regulatory_region_DNA_binding	1	1	1	0.00026
Renal_system_development	1	1	1	3.1e-09
Reproductive_structure_development	1	1	1	1.51e-05
Respiratory_system_development	1	1	1	0.0062
Response_to_chemical	1	1	1	0.00018
Response_to_endogenous_stimulus	1	0.0014	1	1
Response_to_growth_factor	1	0.00079	1	1
Response_to_lipid	1	0.0022	1	1
Response_to_organic_substance	1	0.0026	1	1
Response_to_oxygen-containing_compound	1	0.0028	1	1
Retina_development_in_camera-type_eye	1	1	1	3.43e-06
Roof_of_mouth_development	1	1	1	1.5e-14
Segmentation	1	1	1	7.44e-08
Sensory_organ_development	1	0.00026	1	2.53e-25
Sensory_organ_morphogenesis	1	0.008	1	6.25e-16
Sensory_system_development	1	1	1	9.29e-15
Sex_differentiation	1	1	1	2.89e-06
Signal_transduction_involved_in_regulation_of_gene_expression	1	1	1	0.0018
Signaling	1	1	1	0.0061
Sinoatrial_node_cell_development	1	1	1	0.0009
Sinoatrial_node_development	1	1	1	0.00023
Skeletal_muscle_cell_differentiation	1	1	1	0.00026
Skeletal_muscle_tissue_development	1	1	1	6.16e-05
Skeletal_system_development	1.61e-16	1	1	3.12e-12
Skeletal_system_morphogenesis	2.33e-11	1	1	2.7e-14
Smooth_muscle_cell_differentiation	1	1	1	0.0077
Smoothened_signaling_pathway	1	1	1	0.00034
Somatic_stem_cell_population_maintenance	1	1	1	0.0032
Somite_development	1	1	1	1.65e-06
Somitogenesis	1	1	1	0.00058
Specification_of_symmetry	1	1	1	0.0036
Spinal_cord_association_neuron_differentiation	1	1	1	0.0048
Spinal_cord_development	1	1	1	3.87e-14
Spinal_cord_dorsal/ventral_patterning	1	1	1	2.78e-08
Spinal_cord_motor_neuron_cell_fate_specification	0.0089	1	1	0.0001
Spinal_cord_motor_neuron_differentiation	1	1	1	9.68e-10
Spinal_cord_oligodendrocyte_cell_fate_specification	1	1	1	0.00036
Stem_cell_development	1	1	1	1.41e-08
Stem_cell_differentiation	1	1	1	7.11e-15
Stem_cell_population_maintenance	1	1	1	0.00017
Stem_cell_proliferation	1	1	1	0.00016
Striated_muscle_tissue_development	1	1	1	1.44e-05
Synaptic_signaling	1	1	1	0.0065
System_development	1	2.47e-08	1	1.91e-45
System_process	1	1	1	4.16e-05
Telencephalon_cell_migration	1	1	1	0.0055
Telencephalon_development	1	1	1	2.92e-14
Telencephalon_regionalization	1	1	1	1e-05
Thymus_development	1	1	1	0.0019
Tissue_development	1	1.28e-07	1	9.06e-32
Tissue_morphogenesis	1	0.0068	1	6.62e-14
Transcription,_DNA-templated	1	1	1	0.00012
Transcription_by_RNA_polymerase_II	1	1	1	7.27e-06
Tube_development	1	0.00049	1	8.24e-19
Tube_formation	1	0.0074	1	0.0058
Tube_morphogenesis	1	0.0027	1	4.8e-09
Type_B_pancreatic_cell_differentiation	1	1	1	0.00011
Type_B_pancreatic_cell_proliferation	1	1	1	0.00037
Ureter_development	1	1	1	0.00068
Ureteric_bud_development	1	1	1	2.57e-06
Urogenital_system_development	1	1	1	2.92e-09
Ventral_spinal_cord_development	1	1	1	4.77e-14
Ventral_spinal_cord_interneuron_fate_commitment	1	1	1	5.36e-06
Ventral_spinal_cord_interneuron_specification	1	1	1	0.0018
Ventricular_cardiac_muscle_tissue_development	1	1	1	0.003
