"","GSM844492","GSM844495","GSM844497","GSM844499","GSM844501","GSM844503","GSM844505","GSM844507","GSM844521","GSM844522","GSM844523","GSM844524"
"COPG1",2.0057048e-08,1.5958052e-08,-2.762056e-08,-7.44271e-09,1.4261324e-08,1.5132524e-08,2.071256e-08,1.1885632e-08,1.1718916e-09,-5.11247e-09,8.62433e-09,1.9663776e-08
"ATP6V0D1",-9.17157639e-07,-1.07754402e-06,-7.22659722e-07,-5.19374748e-07,-9.36609516e-07,-1.43737743e-06,-7.96766319e-07,-1.11946848e-06,-7.87964367e-07,-9.82471221e-07,-6.20322135e-07,-8.98133745e-07
"GOLGA7",7.7658264e-09,1.94043039e-08,1.6029258e-08,-2.857272e-09,6.3856806e-09,-2.6002218e-08,-2.5956477e-08,-3.5149944e-08,-1.34505558e-08,-2.6818209e-08,-6.730563e-09,-1.75772946e-08
"PSPH",7.7737512e-09,-1.0647486e-08,-5.6497032e-08,-4.238748e-08,1.8823794e-08,9.0393108e-09,1.06672536e-08,-1.00169748e-08,5.6100312e-09,-3.6866004e-08,1.47205464e-08,5.8938912e-09
"TRAPPC4",-3.7234152e-08,-1.18341488e-07,-1.28898064e-07,-1.08888848e-07,-8.9524096e-09,-1.85722192e-08,-3.4829256e-08,-6.35487376e-08,-9.2050064e-09,-1.38212336e-07,2.20968432e-08,1.48960672e-08
"DPM2",0,0,0,0,0,0,0,0,0,0,0,0
"PSMB5",-1.01185317e-08,-3.4699491e-08,-2.7372141e-08,-1.8118476e-08,1.13205078e-08,8.6942385e-09,7.4144745e-09,2.7045702e-09,5.1080949e-09,-5.020389e-08,9.6613119e-09,8.2419435e-09
"DHRS1",4.4656647e-08,-3.2439547e-08,-3.4012363e-08,-3.9014647e-08,1.77179632e-08,-3.8920903e-09,1.92378963e-08,1.48849414e-08,-4.0757157e-08,-2.07536196e-08,2.1861014e-08,2.837058e-08
"PPM1A",1.5404371e-07,8.7287247e-08,9.0594989e-07,7.200524e-07,-3.249032e-07,-1.4233673e-06,-7.485422e-07,-1.8011095e-06,-6.867319e-07,-6.5306532e-07,-1.093757e-06,-5.2531751e-07
"PSENEN",0,0,0,0,0,0,0,0,0,0,0,0
"ANAPC1",4.1160041e-08,2.86327782e-08,5.300373e-09,2.13654337e-08,-1.05563146e-08,-7.7705017e-09,7.0132244e-09,-4.1392663e-08,1.0122346e-08,4.3016831e-08,-1.87228119e-08,-1.1038781e-08
"MRPL43",3.56193209e-09,-7.83667217e-09,-9.6836559e-09,-2.88204103e-09,-2.28423396e-10,-2.58811711e-09,-7.2094531e-09,-6.48429207e-09,-1.23964227e-10,-1.0695347e-08,5.48012554e-09,-2.14298283e-09
"XPO7",2.52768e-08,-1.324174e-08,6.30062e-09,1.23806e-08,-2.95406e-09,1.09908e-08,1.746234e-08,2.36048e-08,-1.685974e-09,-9.3052e-09,2.19752e-08,3.11182e-08
"NMT1",0,0,0,0,0,0,0,0,0,0,0,0
"ATG5",-1.7090538e-05,-1.538829e-05,-1.5441984e-05,-1.883793e-05,-5.7716604e-06,-9.2093646e-06,-5.2574064e-06,-1.187766e-05,-1.1988354e-05,-1.11567696e-05,-1.13548218e-05,3.496266e-06
"MTIF2",0,0,0,0,0,0,0,0,0,0,0,0
"RAB14",7.3944624e-08,-8.2195358e-08,-2.9269421e-07,-1.19617713e-07,-1.37512505e-07,1.9505232e-08,-2.9042199e-08,-2.5585621e-07,-1.15051594e-07,-8.3411501e-08,1.31589411e-08,3.3129098e-08
"PSAP",-5.2153535e-08,4.8213037e-08,8.2827876e-08,8.6847356e-08,-5.2665745e-08,-1.12159132e-07,-4.2288214e-08,-1.44074116e-08,1.35664488e-08,-3.56303833e-08,1.2954221e-08,-2.75313657e-08
"UBE2G1",6.3194275e-08,-7.4326995e-09,5.14566675e-08,1.728932e-08,-2.95596625e-08,-4.6306095e-08,-9.4556975e-08,-3.11922e-08,7.54926725e-08,-1.0671905e-07,8.025745e-09,1.717896e-08
"ZKSCAN3",2.7661584e-05,1.02753712e-05,2.8553744e-05,5.1894608e-05,1.28068752e-05,2.38840752e-05,1.44733104e-05,4.2320752e-05,1.78247312e-05,-8.9174656e-06,-3.94876e-06,6.9474784e-05
"MRPL27",-7.9795023e-09,1.72367223e-09,-5.99839212e-09,-6.22436724e-09,-4.45998798e-09,-7.9756614e-09,-1.15249134e-08,-9.8964369e-09,-2.53263738e-12,-8.8866057e-09,1.6499595e-09,7.9104312e-10
"DLG1",1.024647e-05,3.2971158e-06,7.8052665e-07,6.3835776e-07,8.0380575e-06,9.5939925e-06,1.09195335e-05,7.432251e-06,6.1508853e-06,4.92915555e-07,1.0615185e-05,9.7761645e-06
"CANX",-3.7503714e-08,1.84818104e-08,1.98860998e-08,3.3713774e-08,7.4188022e-09,2.2512586e-08,-1.11372876e-09,1.38679704e-08,8.6711302e-09,-4.5457024e-08,9.4949874e-09,1.25625062e-08
"DERL1",2.2129824e-09,-6.0866776e-09,-2.1349268e-08,-4.3361362e-09,2.274629e-08,2.017575e-08,9.8923334e-09,1.4667328e-09,-7.2489838e-09,5.7851912e-09,2.6779e-09,6.5746532e-09
"WARS",2.9390746e-09,-1.70951984e-08,-3.5528857e-08,-3.8591721e-08,8.0347197e-09,-3.9383624e-08,-1.6512629e-09,4.9425831e-09,-3.1364515e-09,-1.30218004e-08,-2.00571714e-08,-3.0873661e-09
"PSMA1",0,0,0,0,0,0,0,0,0,0,0,0
"SAR1A",1.30796512e-08,1.70451512e-08,-8.619688e-08,-9.5209576e-09,5.77025064e-08,7.8782088e-08,2.53070664e-09,2.09302016e-08,5.23009256e-08,-6.7715032e-08,2.23540856e-08,6.8535544e-08
"G3BP2",-1.25406204e-07,-1.1629926e-07,-3.297063e-08,-2.4793846e-07,6.7470172e-08,-1.39700484e-08,-8.8538758e-08,-2.4951542e-07,-2.7812554e-08,-1.721335e-08,-3.6571304e-07,-1.26134932e-07
"GOLM1",-5.28808e-05,0.00010465048,8.8406544e-05,5.3624992e-05,1.05980784e-05,-5.2140256e-06,-2.53152048e-05,-8.7406688e-06,6.4413952e-05,6.4477792e-05,-2.6266816e-05,-2.11744512e-05
"GPS1",-1.5902813e-08,-1.3082397e-08,-2.3523702e-08,-2.5055195e-08,-2.893314e-09,-1.2938125e-08,-6.5222755e-09,-1.6350107e-08,-1.9985863e-08,-1.5315438e-08,-3.5376485e-09,-1.6157448e-09
"SSR3",1.01242933e-08,3.1258057e-08,1.5380256e-08,3.1332953e-09,1.8211506e-08,1.32148103e-08,1.02967051e-09,-1.37042315e-08,2.869604e-08,5.9049305e-09,1.9173829e-08,3.6004742e-09
"LOC100862455",0,0,0,0,0,0,0,0,0,0,0,0
"CTBP1",6.5926119e-07,-3.91116978e-07,5.2645068e-07,4.65339588e-07,-7.1059443e-07,-6.900138e-07,-3.63045018e-07,5.4008094e-07,1.03929525e-07,-5.8169622e-07,-1.05441315e-07,3.37587054e-07
"HUWE1",1.54330056e-05,1.00723608e-05,-1.00884312e-05,2.8501416e-05,4.6981728e-06,9.4501296e-06,5.1058944e-06,4.3085952e-05,6.7958352e-06,2.8763856e-06,-4.1465088e-06,5.1770232e-05
"CDV3",4.166613e-15,9.6030495e-15,-2.47509702e-14,1.0283922e-14,-2.17457163e-14,-4.4647416e-14,-3.3824439e-14,-4.1634054e-14,-1.36951155e-14,-2.08787733e-14,-4.8120831e-14,-5.8781052e-15
"SMIM7",-3.230926e-06,8.7089212e-06,5.2162198e-06,-5.208912e-07,5.4332456e-06,3.7433504e-07,-9.1395324e-06,-2.6848174e-05,-4.5862362e-06,-1.21016558e-05,-1.12463992e-05,6.1524112e-07
"COPA",3.4652919e-08,2.88934107e-08,-1.68511476e-08,1.95789789e-08,1.92947613e-08,3.7650357e-08,2.96511096e-08,4.1357322e-08,1.02448173e-08,-4.2235671e-08,-1.08540342e-09,3.7776126e-08
"ANAPC2",5.9210487e-07,-3.48833439e-07,-4.45218921e-07,1.6432173e-07,5.6545965e-08,-4.8274785e-07,6.7880439e-07,3.93068511e-07,-3.50514387e-08,-3.1232529e-07,-2.19745314e-07,-1.94947515e-07
"TUG1",0,0,0,0,0,0,0,0,0,0,0,0
"GBF1",1.06913038e-05,1.0270811e-06,-2.84335874e-06,-1.20420936e-05,6.63298512e-06,5.42688412e-06,-4.90488534e-06,6.06644616e-06,9.323186e-07,-4.7339013e-06,4.45822726e-06,1.20615154e-05
"COX18",-3.1417855e-09,-3.8650458e-09,-4.2025332e-09,-2.8617834e-09,2.7346002e-10,-9.4923913e-10,-5.2812501e-10,-2.10154636e-09,-1.24322654e-09,-3.3716729e-09,7.1254872e-10,-4.7108625e-10
"ARFGEF1",3.0961694e-09,-1.16824774e-08,-2.1354014e-08,-1.19161781e-08,-1.35548769e-08,-1.7244201e-08,-2.3258314e-08,-5.4798943e-09,2.3840446e-09,-2.2117402e-08,1.8291844e-09,4.3570106e-09
"ZRANB1",0,0,0,0,0,0,0,0,0,0,0,0
"DDX24",5.6732048e-08,-9.7520424e-09,-1.57138428e-08,1.116816e-08,1.11952324e-08,-2.2861232e-08,-8.2534992e-09,3.9392992e-08,1.1043822e-08,-1.66344104e-08,-1.83930564e-08,-8.886404e-09
"SNRNP27",7.8288192e-08,9.6840432e-08,-3.9621312e-08,1.06883136e-07,2.3304528e-07,7.4693952e-08,2.6193744e-07,-2.208672e-08,5.34204e-08,-3.2797872e-07,9.9221616e-08,6.5929104e-08
"TMEM129",-3.9683164e-08,-1.11781256e-08,-2.6018026e-08,-2.87943488e-08,4.8080478e-08,-2.91837522e-09,8.1995896e-09,-2.71082976e-08,1.07106026e-08,-6.362874e-08,1.66833854e-08,1.36299516e-08
"RPS27RT",2.9036085e-09,8.020428e-09,3.401034e-09,5.622513e-09,2.3284287e-09,6.924528e-10,1.6111251e-09,7.95756e-10,7.977801e-09,1.839669e-09,5.392842e-09,3.5670765e-09
"RNF220",-0.064804245123384,-0.34024193662446,-0.219001185625482,-0.225070183606788,-0.098348819400468,-0.174874541631894,-0.19367158089006,-0.27457587109368,-0.40091531103468,-0.076740208684776,-0.54482049961326,-0.30434382325152
"SAP30L",6.9425875e-07,9.5553277e-07,9.5641966e-07,6.3128956e-07,8.5421345e-07,2.64574383e-07,1.67121526e-07,-2.21587265e-07,3.19169696e-07,-1.12772781e-06,4.24276225e-07,5.22852476e-07
"ARMC1",-2.47269412e-08,-8.4204633e-08,4.8094564e-08,1.2000365e-08,-5.8210631e-08,6.2246372e-08,4.17680414e-08,-5.2922747e-08,-1.70486649e-08,-3.07263302e-08,-6.1912573e-08,-5.8059866e-08
"MAD2L1BP",1.54063305e-08,-1.7827425e-08,-2.372304e-08,-1.31837145e-08,-2.571261e-08,-9.8894235e-09,-1.2876831e-08,-1.6985925e-08,6.431634e-09,-3.765498e-08,8.0063445e-09,7.470969e-09
"NAA60",-1.37706678e-06,-8.5415544e-08,-6.236288e-08,5.34459978e-08,3.7842716e-07,-5.41567374e-07,-1.23471341e-07,4.85685561e-07,4.40048659e-07,-2.63365768e-07,-9.1485711e-07,2.76097798e-08
"VTA1",-7.0075306e-08,-5.9928701e-08,-3.1146036e-08,-1.0142675e-07,-9.9191497e-08,-4.6591198e-08,-1.26929961e-07,-1.8801906e-07,-1.18441161e-07,-8.7214429e-08,-4.4502927e-08,-8.3925019e-08
"EIF5",8.9424174e-08,5.76923872e-08,6.5090347e-08,4.95068672e-08,-5.50064312e-08,-4.1225016e-08,-7.7850612e-08,-1.1557112e-07,4.3251656e-08,-1.35992808e-07,1.72971092e-08,2.54829582e-08
"CDC42",0,0,0,0,0,0,0,0,0,0,0,0
"RRN3",0,0,0,0,0,0,0,0,0,0,0,0
"ANKRD17",-1.11905734e-08,1.18537107e-08,9.5313953e-09,7.91956797e-08,-3.46190516e-08,9.259814e-09,-1.26755738e-07,7.24364847e-08,1.88785004e-08,-4.99761368e-08,-4.72455191e-08,8.6582416e-08
"APOA1BP",0,0,0,0,0,0,0,0,0,0,0,0
"PABPN1",5.26946472e-08,5.3290081e-08,3.06061418e-08,6.6017224e-08,8.2418986e-08,2.03895172e-08,5.90765032e-08,1.04524004e-07,3.90243256e-08,-1.13698676e-08,1.15630424e-07,1.26368892e-07
"PDPK1",0,0,0,0,0,0,0,0,0,0,0,0
"CPSF7",7.6303296e-08,9.18e-08,6.3960192e-08,1.1795616e-07,-9.0172224e-08,-5.48506944e-08,-1.46913408e-08,2.36035008e-08,3.877632e-08,-1.06886592e-07,3.1437792e-08,3.22658496e-08
"ANGEL2",8.1973632e-09,-1.96825824e-09,4.3446624e-09,1.271712e-09,1.90307936e-09,-2.47951392e-09,7.8846144e-10,6.5481312e-09,9.7670144e-10,-7.7547808e-09,2.88931136e-09,1.9713616e-09
"ABHD16A",-3.8338245e-14,-1.92039309e-14,6.2387523e-15,6.9425532e-15,-7.1598681e-15,-5.0722551e-14,-2.89519461e-14,-1.97750916e-14,-1.57874805e-15,-6.4346238e-15,-3.270564e-14,-3.0661686e-14
"GM8069",0,0,0,0,0,0,0,0,0,0,0,0
"RAB7",-5.5004124e-08,5.3216688e-08,6.1031124e-08,1.13341056e-07,-5.7167448e-09,-5.2395048e-08,-2.90413332e-08,1.18551828e-08,2.22498144e-08,-8.7763944e-08,4.67736036e-09,1.7050506e-08
"DDB1",4.49396e-08,4.76268e-08,3.16434e-08,4.70716e-08,2.03602e-08,2.21628e-08,2.56396e-08,4.2406e-08,2.680264e-08,-9.94072e-08,2.465092e-08,2.029696e-08
"PFDN5",-2.6872176e-09,7.0974834e-09,1.47326994e-09,7.0464126e-09,-2.0761638e-09,-5.077077e-10,3.61033326e-09,-1.16903514e-09,1.88845452e-09,-8.6806344e-09,3.28478976e-09,2.63947998e-09
"RFK",2.2735762e-08,-2.0489606e-08,9.5139432e-09,-3.863678e-09,8.8428654e-09,-2.4743926e-08,-7.7979584e-09,-7.7182538e-09,-1.9695116e-08,-1.5664588e-08,1.7046248e-08,1.0670235e-08
"TXNDC12",3.73133187e-08,8.459721e-08,6.7228551e-08,3.63144339e-09,7.3871595e-08,6.9712983e-08,8.3459151e-08,8.3480877e-09,9.3364929e-08,5.14793736e-09,9.4985433e-08,-6.19999335e-08
"RBM42",1.36011942e-08,-2.5845413e-09,6.51777852e-09,-4.53054646e-09,7.32127e-09,7.6917324e-10,6.9345078e-09,7.1469508e-09,-4.77595734e-09,-4.9140146e-09,-1.00235586e-08,1.41275618e-08
"PSMC5",-3.0917496e-08,-2.9674518e-08,-2.6576508e-08,-3.8133162e-08,-1.07341662e-10,-1.52123058e-08,-1.29413568e-08,-9.2934528e-09,4.192581e-09,-5.8728102e-08,1.01202474e-08,8.2700328e-09
"TMEM165",3.0499168e-09,1.50830368e-07,7.4913592e-08,7.47535744e-08,5.12097024e-08,7.26223808e-08,-1.47405296e-08,-1.32689952e-07,1.48964768e-07,8.10197856e-08,-7.23032784e-08,-7.97567744e-08
"AUP1",1.95636105e-07,-9.6781956e-08,-1.63581957e-07,-1.61547084e-07,1.91064405e-07,6.75822282e-08,1.41800139e-07,6.51911358e-08,-7.10606388e-08,-3.18275223e-08,7.56447477e-08,6.31285527e-08
"HDAC5",2.6860425e-06,1.89940065e-07,2.3478666e-06,1.55405415e-06,1.52717715e-06,1.91200275e-06,3.597132e-06,3.418632e-06,1.50232485e-06,-1.10435145e-07,-4.5866085e-07,5.9237775e-06
"PFDN6",3.15799495e-09,-3.10755503e-09,-7.091986e-09,-3.12024829e-09,-4.2688981e-10,-4.1509181e-09,-6.1028278e-09,-1.74061099e-09,1.22161003e-09,-7.1013203e-09,1.60285546e-09,1.38281235e-09
"DSCR3",0,0,0,0,0,0,0,0,0,0,0,0
"CIC",9.830046e-08,-2.8658328e-08,-4.9031655e-08,1.6867893e-09,3.8262546e-08,5.198838e-09,6.670392e-08,4.6987677e-08,6.378723e-08,-1.6756101e-08,-2.5043856e-08,5.91192e-08
"RIOK3",5.9026552e-08,7.2603868e-09,1.39123674e-08,-6.254242e-10,3.3920938e-08,1.6099536e-08,2.7772106e-08,4.3132248e-08,1.40701014e-08,-5.3400706e-08,1.80262022e-08,1.53573988e-08
"DCTN5",-3.9020542e-08,-2.19747814e-08,-2.27927942e-08,-4.1603012e-08,-1.49378592e-08,-2.12477254e-08,-3.04326418e-08,-6.3360462e-08,-3.49595752e-08,-2.73454588e-08,-2.79271784e-08,-3.64112562e-08
"RRAGC",8.67405614e-08,1.19300346e-07,7.85464708e-08,9.9708768e-08,-9.507203e-08,-8.56222676e-08,-1.25989456e-07,-1.0360514e-07,5.67522348e-08,-1.91741886e-07,3.26334524e-08,2.50920456e-08
"TBL3",1.6428843e-05,6.1245633e-06,-4.59915865e-06,-1.29490295e-05,4.5021561e-06,-1.8415659e-07,-2.42263595e-05,9.961542e-06,-1.08983345e-05,-6.4718581e-06,2.78945265e-06,3.7889003e-07
"HP1BP3",2.41381232e-08,7.2399198e-08,3.01722236e-08,6.7544824e-08,6.6156246e-09,-4.56227228e-08,-1.87876056e-08,4.92247942e-09,3.68923278e-08,-9.7799792e-08,2.044938e-08,2.28847446e-08
"BC031181",0,0,0,0,0,0,0,0,0,0,0,0
"ABHD17A",5.2885557e-08,3.5350971e-07,1.92348372e-07,3.4331766e-07,-1.5812907e-07,-8.8882557e-08,-4.3992594e-08,4.3375959e-08,1.11515298e-07,-4.8625131e-07,1.31566905e-07,8.4625326e-08
"POLR2F",-2.32014753e-05,3.5348283e-05,-4.4652636e-05,3.3219747e-05,2.85767946e-05,5.3061552e-06,1.42600257e-05,3.4055244e-05,1.9319994e-05,-5.3748198e-05,2.94697008e-05,2.55682728e-05
"UBE2V1",0,0,0,0,0,0,0,0,0,0,0,0
"SNAPIN",-1.07089248e-08,1.02087936e-08,1.18945888e-08,5.81674864e-10,-2.73378624e-10,-1.2168632e-09,-3.07551424e-09,-1.01412976e-08,2.44787696e-09,-1.16839824e-08,1.63506464e-09,2.50434704e-09
"FRYL",2.34603149e-08,3.74392789e-08,1.28962511e-08,5.83849498e-08,6.88823943e-08,7.80832788e-08,6.17504613e-08,1.55734769e-07,7.98367909e-08,4.55854289e-08,6.84955588e-08,1.15925259e-07
"LAMTOR5",1.591999e-07,8.464317e-08,4.904602e-08,1.3986189e-07,1.382117e-07,1.770737e-07,2.290512e-07,1.6300433e-07,1.3787017e-07,-4.593179e-08,2.382584e-07,2.368797e-07
"ATOX1",5.17697923e-08,3.45354167e-08,5.3809335e-09,3.49612854e-08,5.4217233e-08,5.22607982e-08,7.1812709e-08,6.1475604e-08,5.3741879e-08,-1.55313224e-08,1.02280687e-07,8.7221662e-08
"MRPL52",-3.34597932e-09,4.14240264e-09,-6.35792508e-09,3.339201e-09,6.80341296e-09,6.29115936e-09,1.01526936e-08,6.26177688e-09,2.41659552e-09,-6.7279584e-09,1.31504532e-08,6.07207176e-09
"TMEM234",1.49971626e-08,-2.9149228e-08,1.37271325e-08,-4.0148447e-08,-1.55996309e-08,-6.6089631e-09,8.677797e-11,-1.69480897e-08,2.371007e-08,-1.80209403e-08,1.06493177e-08,-1.97050579e-08
"ZBED6",2.2703891e-08,8.9630205e-09,-7.6107402e-09,1.4723156e-08,9.6022885e-09,2.1962283e-09,8.76316e-09,1.05713888e-08,5.3998749e-09,-2.8592249e-08,5.8256688e-09,6.4750161e-09
"HNRNPUL2",1.38147639e-07,1.19401704e-07,2.5416762e-08,7.39234407e-08,1.50694878e-08,4.21515093e-08,4.11906813e-08,4.39552455e-08,4.22543691e-08,-1.1660205e-07,6.01771998e-08,6.66696411e-08
"SEC22B",0.000214649497084,0.000195518620924,0.00048612521848,0.00016037545964,-0.00031259447472,-9.8762586824e-06,-0.00044660603768,-0.00023148612762,0.00027744541924,0.00029835297448,-0.000180255460044,-9.7932627892e-05
"YTHDF1",3.81587e-07,2.934001e-06,2.2673205e-06,1.50394765e-06,-1.05241875e-06,-1.1420919e-06,-3.5383615e-06,-3.491765e-07,1.3009054e-06,7.7369665e-07,-5.6109525e-07,-1.42416985e-08
"UBE2R2",-1.68871696e-09,2.90315136e-08,1.50769408e-08,2.350072e-08,-7.9406624e-09,1.81558528e-08,1.51036928e-08,2.5726152e-08,1.97148864e-08,-4.8528128e-08,2.99154544e-08,1.28055136e-08
"ITCH",3.9002785e-08,-1.16649975e-08,-1.59289774e-08,7.7652801e-09,2.2989896e-08,2.5146511e-08,1.9520126e-08,2.4042592e-08,1.66667877e-08,-2.1946612e-08,2.6134228e-08,1.9013145e-08
"WDR6",-1.25046888e-06,1.06159686e-07,7.6468716e-07,5.85988668e-07,-8.9988576e-07,-8.6722842e-07,-6.0870882e-07,-4.554393e-08,3.67654746e-07,-7.8724248e-07,-2.5604106e-07,9.3153108e-08
"NCL",1.36786209e-08,3.4460748e-08,1.59845835e-08,1.10163762e-08,1.30072473e-08,1.12399383e-08,-2.25841092e-09,-1.881543e-08,1.10589651e-08,-6.0432393e-08,1.32853194e-08,1.27553163e-08
"ELP2",-1.413573e-07,8.9015535e-08,9.655212e-08,3.6543255e-08,1.430037e-08,-1.4119875e-07,4.443369e-08,9.656997e-08,8.594397e-08,-2.4616305e-08,-3.0761955e-08,7.9302615e-08
"RBBP7",-0.01418776154688,0.003800791918944,-0.0009438585644896,-0.0002450402703296,-0.002639294007424,-0.0006104749368,-0.005752858555616,-0.02108045805888,0.00483259520336,-0.01642916433856,0.00226153103648,0.00113263106288
"ALDH3A2",-1.62830806e-06,-1.37952605e-06,-2.2163599e-06,-1.44117102e-06,-6.8512649e-07,-1.9552339e-06,-1.7528694e-06,-1.51385109e-06,-2.5288635e-06,-9.7154031e-07,-1.9981355e-06,-3.1881496e-07
"PNLIPRP1",-8.1742164e-06,-1.48852018e-06,-1.07384186e-05,-1.94053552e-05,2.23823348e-05,1.6976995e-05,4.5514014e-05,-2.40832242e-05,-3.52678816e-05,0.000107646756,-1.7978884e-05,-2.53166088e-06
"MORF4L2",1.07645598e-06,-2.27230272e-06,-8.0681346e-06,-7.6677192e-06,-2.72812212e-06,-5.1164622e-06,-4.45539528e-06,-5.8911948e-06,-1.46109582e-06,-5.7669732e-06,-3.1708098e-06,-9.5388192e-07
"ACTG1",-1.5049838e-06,-1.2458086e-06,-2.039925e-06,-2.1491812e-06,8.8199218e-07,6.8166594e-07,4.4555856e-07,2.7165488e-07,-9.3168788e-07,-1.719732e-06,1.7210182e-07,4.8097744e-07
"ARMCX2",-3.0890691e-05,1.33819821e-05,-1.72414074e-05,3.2206158e-05,2.37276084e-06,-5.3182167e-06,4.4449488e-06,3.3276858e-05,3.4802232e-05,-1.50218712e-05,3.7393824e-06,3.7151547e-05
"LOC101056240",0,0,0,0,0,0,0,0,0,0,0,0
"VPS35",-6.479858e-09,-9.147026e-09,1.43043936e-09,-1.2857796e-08,-1.08216892e-08,-2.104256e-08,-2.0240332e-08,-3.116008e-08,-2.709112e-08,-1.62401288e-08,-2.478812e-08,-1.53079332e-08
"CCT8",-7.34077793e-09,-3.77827333e-09,-5.59065061e-09,-1.02938295e-08,6.37777143e-09,7.67227898e-10,-7.14633734e-09,-1.54093429e-08,-1.80023606e-08,-6.65615226e-09,1.38691996e-08,7.24195183e-10
"PGC",5.7788652e-06,-4.0686828e-06,-1.4438784e-05,-8.9967204e-06,-3.7782678e-06,-4.261719e-06,-9.1926978e-06,3.8271624e-06,5.1421182e-06,5.8727214e-06,1.580667e-05,-1.4828664e-05
"GANAB",1.18279674e-08,5.1756228e-08,1.04540166e-10,4.6937448e-08,3.01819104e-08,3.20361318e-08,1.79270928e-08,2.29424202e-08,5.9918058e-08,5.5516176e-09,5.5075338e-08,4.2012648e-08
"UBLCP1",-2.8233198e-05,-3.2016384e-06,3.3459156e-06,-1.3175784e-05,2.4048252e-05,-2.8092258e-07,-2.447091e-05,-2.410803e-05,-2.4301134e-06,-1.9186956e-05,9.4021074e-06,-9.2194362e-06
"RNF34",1.26159585e-08,-1.08482328e-08,-9.9362703e-09,-1.10204412e-08,-9.617874e-09,-1.20581736e-09,-2.9120301e-08,-3.9194343e-08,-4.1086494e-08,-1.01464263e-08,-1.85877504e-08,-4.3747308e-08
"RBCK1",1.6276472e-07,-3.098961e-08,-6.0771339e-09,6.6768926e-08,2.31132e-07,2.2761043e-08,2.5923864e-07,3.2983999e-08,5.3184771e-08,-1.4161161e-07,2.0361967e-08,9.8164871e-08
"PNPO",-1.3263499e-06,-5.7866062e-06,6.26803e-07,-2.86262722e-06,-6.0056162e-06,-3.42637706e-06,2.67017716e-07,-3.1415808e-06,-7.7028894e-07,-1.23148056e-06,-1.00788764e-05,1.15098986e-07
"SPIN1",-1.000665e-06,5.5776168e-07,4.3024488e-07,5.4568932e-07,-8.2405512e-07,-8.2753608e-07,-5.5172772e-07,-2.89656276e-08,1.84011804e-07,-1.29812724e-06,1.75601556e-07,2.11510056e-07
"GM2444",0,0,0,0,0,0,0,0,0,0,0,0
"DDR1",0,0,0,0,0,0,0,0,0,0,0,0
"WBP11",0,0,0,0,0,0,0,0,0,0,0,0
"GJA1",1.2944701e-06,2.28579164e-06,1.30353058e-05,1.07901508e-06,-1.63572882e-05,-2.4821456e-05,-3.776168e-05,-3.8097092e-05,8.6269854e-06,-3.7155712e-05,1.57067196e-06,1.08844098e-06
"SLC16A1",-3.4145408e-07,-6.5868352e-08,-7.2206816e-08,1.04377152e-07,-7.217496e-08,-2.4604272e-07,-3.1261648e-07,-1.69580224e-07,-7.6968672e-08,-7.4886064e-08,-2.9845552e-07,-1.916376e-07
"CX3CL1",-9.726873e-06,-1.6980654e-05,-9.612174e-05,1.52643e-05,-1.6221519e-05,1.4309478e-05,4.0496652e-05,3.1440174e-05,8.872164e-07,3.4475541e-05,3.4269195e-05,-0.00011291451
"CLPS",3.14185685e-05,-1.56467135e-05,7.8041326e-06,-3.91686185e-05,0.000102040312,-0.000162803388,0.000148820419,1.2978482e-06,-9.1537149e-06,-5.73942534e-05,4.63433531e-05,6.8533256e-05
"PLAT",-1.36803732e-05,-1.42559508e-06,-3.068598e-05,-1.6241628e-05,1.8542784e-05,1.8180552e-05,1.6041792e-05,1.24395648e-05,4.2748368e-07,-1.33185468e-05,1.9099392e-05,1.7769804e-05
"SRSF2",-3.189492e-07,-1.12364442e-07,-1.99840176e-07,-3.7920276e-07,6.2732034e-08,-2.81822706e-07,-1.81586268e-07,-4.5840654e-07,-4.7236698e-07,-9.5324976e-08,-4.3392618e-07,-7.2034434e-08
"TPBPA",0,0,0,0,0,0,0,0,0,0,0,0
"UHRF1",-1.12824525e-05,8.4337119e-06,6.9715027e-06,1.08464242e-05,-3.18202496e-06,-4.79890381e-06,2.28234848e-06,-1.53135958e-06,9.530201e-06,-1.01246325e-05,8.15471923e-06,1.3590961e-06
"GSN",-1.03457547e-05,-1.70509886e-05,3.12048505e-05,-2.32527676e-05,6.80091584e-05,5.43135309e-05,0.000101609304,0.000117129598,2.18719577e-05,-0.000126308973,6.11567453e-05,6.42066168e-05
"API5",4.2335472e-08,4.7553452e-08,3.41341588e-08,6.438942e-08,1.29792772e-08,5.7106084e-09,3.31593668e-08,3.68829404e-08,3.13304576e-08,-8.0142652e-08,2.79141536e-08,2.49846688e-08
"ATP6V1B2",-2.7492212e-05,-2.553704e-05,-2.25114888e-05,-1.9252454e-05,-1.41933092e-05,-2.6438376e-05,-2.3559664e-05,-2.5581448e-05,-2.5960624e-05,-2.11812252e-05,-3.0532696e-05,-1.53514796e-05
"TRIM27",0,0,0,0,0,0,0,0,0,0,0,0
"CCT7",-4.03746651e-08,-2.09441003e-07,-5.70427809e-08,-6.55921183e-08,-2.28879024e-08,1.70541569e-08,6.57412423e-09,2.52641641e-08,-5.69601779e-08,-1.34773008e-07,1.28386992e-08,3.98363567e-08
