	cluster3	cluster4	cluster5	cluster7
Cell_proliferation_involved_in_metanephros_development	1	1	0.0062	1
Cell_surface_receptor_signaling_pathway	1	1	2.97e-09	1
Cell_surface_receptor_signaling_pathway_involved_in_cell-cell_signaling	1	1	1.46e-06	1
Cellular_component_morphogenesis	1	1	4.18e-20	1
Cellular_component_organization	1	1	0.0057	1
Cellular_developmental_process	1	1	7.83e-61	1
Cellular_process	1	1	8.43e-08	1
Cellular_response_to_BMP_stimulus	1	1	2.04e-05	1
Cellular_response_to_chemical_stimulus	1	1	3.3e-08	1
Cellular_response_to_endogenous_stimulus	1	1	8.97e-07	1
Cellular_response_to_fibroblast_growth_factor_stimulus	1	1	0.0025	1
Cellular_response_to_growth_factor_stimulus	1	1	2.11e-07	1
Cellular_response_to_lipid	1	1	0.0026	1
Cellular_response_to_organic_substance	1	1	4.56e-08	1
Cellular_response_to_oxygen-containing_compound	1	1	0.0016	1
Cellular_response_to_retinoic_acid	1	1	2.1e-06	1
Cellular_response_to_stimulus	1	1	8.47e-05	1
Central_nervous_system_development	1	1	4.21e-42	1
Central_nervous_system_neuron_development	1	1	4.2e-05	1
Central_nervous_system_neuron_differentiation	1	1	6.73e-22	1
Cerebellum_development	1	1	0.0028	1
Cerebral_cortex_GABAergic_interneuron_differentiation	1	1	0.00012	1
Cerebral_cortex_development	1	1	0.00014	1
Cerebral_cortex_neuron_differentiation	1	1	2.75e-05	1
Cerebral_cortex_regionalization	1	1	0.0062	1
Chemical_synaptic_transmission	1	1	1.2e-11	1
Chemotaxis	1	1	4.41e-11	1
Chondrocyte_differentiation	1	1	0.00012	1
Chordate_embryonic_development	1	1	3.56e-14	1
Circulatory_system_development	1	1	2.21e-14	1
Circulatory_system_process	1	1	0.0001	1
Cochlea_development	1	1	7.61e-05	1
Cochlea_morphogenesis	1	1	0.0069	1
Cognition	1	1	1.43e-06	1
Collecting_duct_development	1	1	0.0029	1
Columnar/cuboidal_epithelial_cell_differentiation	1	1	6.17e-10	1
Commitment_of_neuronal_cell_to_specific_neuron_type_in_forebrain	1	1	0.00055	1
Connective_tissue_development	1	1	9.54e-09	1
Cranial_nerve_development	1	1	3.92e-06	1
Cranial_nerve_morphogenesis	6.32e-08	1	0.0056	1
Cranial_skeletal_system_development	1	1	4.17e-07	1
Definitive_hemopoiesis	0.00027	1	1	1
Determination_of_bilateral_symmetry	1	1	0.0014	1
Determination_of_left/right_symmetry	1	1	0.0019	1
Development_of_primary_female_sexual_characteristics	1	1	0.0017	1
Development_of_primary_sexual_characteristics	1	1	7.44e-08	1
Developmental_cell_growth	1	1	0.00036	1
Developmental_growth	1	1	1.4e-07	1
Developmental_growth_involved_in_morphogenesis	1	1	1.78e-07	1
Developmental_induction	1	1	0.00061	1
Developmental_maturation	1	1	8.97e-07	1
Developmental_process	1	1	3.75e-64	1
Developmental_process_involved_in_reproduction	1	1	7.79e-06	1
Diaphragm_development	1	1	0.0014	1
Diencephalon_development	1	1	6.79e-15	1
Digestive_system_development	1	1	3.98e-14	1
Digestive_tract_development	1	1	1.31e-12	1
Digestive_tract_morphogenesis	1	1	1.03e-07	1
Dopaminergic_neuron_differentiation	1	1	3.11e-11	1
Dorsal/ventral_neural_tube_patterning	1	1	0.0039	1
Dorsal/ventral_pattern_formation	1	1	9.76e-13	1
Dorsal_spinal_cord_development	1	1	1.14e-05	1
Ear_development	1	1	1.89e-18	1
Ear_morphogenesis	1	1	2.08e-15	1
Embryo_development	1	1.3e-10	5.37e-34	1
Embryo_development_ending_in_birth_or_egg_hatching	1	1	1.56e-14	1
Embryonic_camera-type_eye_development	1	1	0.0003	1
Embryonic_camera-type_eye_morphogenesis	1	1	0.0001	1
Embryonic_cranial_skeleton_morphogenesis	1	1	3.02e-07	1
Embryonic_digestive_tract_development	1	1	5.84e-06	1
Embryonic_digestive_tract_morphogenesis	1	1	3.35e-05	1
Embryonic_digit_morphogenesis	1	1	5.99e-05	1
Embryonic_epithelial_tube_formation	1	1	1.18e-05	1
Embryonic_eye_morphogenesis	1	1	4.6e-05	1
Embryonic_forelimb_morphogenesis	0.0012	1	2.47e-08	1
Embryonic_heart_tube_development	1	1	7.88e-06	1
Embryonic_hindlimb_morphogenesis	1	1	5.63e-09	1
Embryonic_limb_morphogenesis	0.0013	2.21e-05	4.04e-11	1
Embryonic_morphogenesis	4.01e-26	2.55e-07	1.61e-33	1
Embryonic_organ_development	1	1	9.71e-30	1
Embryonic_organ_morphogenesis	1	1	1.49e-26	1
Embryonic_pattern_specification	1	1	2.36e-06	1
Embryonic_skeletal_joint_development	1	1	0.0029	1
Embryonic_skeletal_joint_morphogenesis	1	1	0.0045	1
Embryonic_skeletal_system_development	1	2.41e-12	1.69e-11	1
Embryonic_skeletal_system_morphogenesis	4.97e-33	1.2e-07	1.42e-09	1
Endocardial_cushion_development	1	1	3.93e-07	1
Endocardial_cushion_formation	1	1	0.001	1
Endocardial_cushion_morphogenesis	1	1	1.64e-05	1
Endochondral_bone_morphogenesis	1	1	0.0072	1
Endocrine_pancreas_development	1	1	7.73e-08	1
Endocrine_system_development	1	1	6.05e-20	1
Endoderm_development	1	1	6.54e-05	1
Enteric_nervous_system_development	1	1	9.56e-05	1
Enteroendocrine_cell_differentiation	1	1	0.00028	1
Enzyme-linked_receptor_protein_signaling_pathway	1	1	0.00016	1
Epidermal_cell_differentiation	1	1	0.0015	1
Epidermis_development	1	1	5.93e-06	1
Epithelial_cell_development	1	1	8.35e-06	1
Epithelial_cell_differentiation	1	1	1.16e-22	1
Epithelial_cell_differentiation_involved_in_kidney_development	1	1	0.0037	1
Epithelial_cell_proliferation	1	1	0.008	1
Epithelial_to_mesenchymal_transition	1	1	0.0014	1
Epithelial_tube_formation	1	1	1.06e-05	1
Epithelial_tube_morphogenesis	1	1	1.84e-12	1
Epithelium_development	1	1	4.19e-33	1
Exocrine_system_development	1	1	0.00065	1
Export_from_cell	1	1	1.76e-05	1
Extracellular_matrix_organization	1	1	0.00033	1
Eye_development	1	1	1.27e-15	1
Eye_morphogenesis	1	1	2.45e-07	1
Facial_nerve_structural_organization	0.0075	1	1	1
Feeding_behavior	1	1	0.0014	1
Female_gonad_development	1	1	0.0075	1
Female_sex_differentiation	1	1	0.00043	1
Forebrain_cell_migration	1	1	0.00093	1
Forebrain_development	1	1	2.77e-27	1
Forebrain_dorsal/ventral_pattern_formation	1	1	0.0062	1
Forebrain_generation_of_neurons	1	1	2.4e-09	1
Forebrain_neuron_differentiation	1	1	1.43e-08	1
Forebrain_neuron_fate_commitment	1	1	0.00012	1
Forebrain_regionalization	1	1	1.01e-09	1
Forelimb_morphogenesis	1	1	7.74e-09	1
Formation_of_primary_germ_layer	1	1	1.16e-05	1
GABAergic_neuron_differentiation	1	1	3.46e-06	1
Gastrulation	1	1	2.2e-07	1
Generation_of_neurons	1	1	4.04e-52	1
Genitalia_development	1	1	0.00052	1
Gland_development	8.72e-07	1	4.6e-17	1
Gland_morphogenesis	1	1	0.0028	1
Glandular_epithelial_cell_differentiation	1	1	1.81e-05	1
Glial_cell_differentiation	1	1	8.97e-07	1
Glial_cell_fate_commitment	1	1	0.00019	1
Glial_cell_fate_specification	1	1	0.0024	1
Gliogenesis	1	1	6.9e-06	1
Glomerulus_development	1	1	0.0021	1
Glossopharyngeal_nerve_morphogenesis	0.0028	1	1	1
Gonad_development	1	1	8.79e-07	1
Hair_cell_differentiation	1	1	0.0049	1
Hair_cycle	1	1	0.009	1
Head_development	1	1	1.27e-35	1
Head_morphogenesis	1	1	0.0043	1
Heart_contraction	1	1	0.0022	1
Heart_development	1	1	3.03e-14	1
Heart_looping	1	1	0.00016	1
Heart_morphogenesis	1	1	2.37e-14	1
Heart_valve_development	1	1	5.81e-06	1
Heart_valve_morphogenesis	1	1	1.07e-05	1
Hematopoietic_or_lymphoid_organ_development	1	1	0.00016	1
Hemopoiesis	1	1	0.0036	1
Hepaticobiliary_system_development	1	1	0.0063	1
Hindbrain_development	1	1	4.03e-08	1
Hindlimb_morphogenesis	1	1	1.94e-09	1
Hippocampus_development	1	1	9.21e-06	1
Hormone_secretion	1	1	0.00012	1
Hormone_transport	1	1	4.24e-05	1
Hypothalamus_development	1	1	0.00038	1
Immune_system_development	1	1	0.00033	1
Import_across_plasma_membrane	1	1	0.00039	1
Import_into_cell	1	1	0.00012	1
In_utero_embryonic_development	1	1	0.0059	1
Inner_ear_development	1	1	9.56e-15	1
Inner_ear_morphogenesis	1	1	2.82e-12	1
Inorganic_cation_import_across_plasma_membrane	1	1	2.17e-05	1
Inorganic_cation_transmembrane_transport	1	1	1.39e-08	1
Inorganic_ion_transmembrane_transport	1	1	1.39e-08	1
Intermediate_filament_organization	1	1	9.81e-06	1
Interneuron_migration	1	1	9.56e-05	1
Ion_transmembrane_transport	1	1	2.78e-07	1
Ion_transport	1	1	1.43e-05	1
Kidney_development	1	1	5.64e-14	1
Kidney_epithelium_development	1	1	2.72e-15	1
Kidney_mesenchyme_development	1	1	4.73e-05	1
Kidney_morphogenesis	1	1	4.2e-12	1
Learning	1	1	4.51e-05	1
Learning_or_memory	1	1	5.59e-07	1
Lens_development_in_camera-type_eye	1	1	0.0049	1
Leukocyte_differentiation	1	1	0.0039	1
Limb_development	1	8.27e-08	9.05e-12	1
Limb_morphogenesis	1	9.93e-07	3.83e-12	1
Limbic_system_development	1	1	7.12e-10	1
Locomotion	1	1	1.78e-11	1
Locomotory_behavior	1	1	0.00011	1
Loop_of_Henle_development	1	1	0.0011	1
Lung_development	1	1	0.0016	1
Lung_epithelium_development	1	1	0.0043	1
Lung_morphogenesis	1	1	0.0044	1
Maintenance_of_cell_number	1	1	3.11e-05	1
Male_gonad_development	1	1	0.00021	1
Male_sex_differentiation	0.0039	1	6.21e-06	1
Memory	1	1	0.00085	1
Mesenchymal_cell_apoptotic_process	1	1	0.0011	1
Mesenchymal_cell_differentiation	1	1	6.49e-12	1
Mesenchymal_cell_differentiation_involved_in_kidney_development	1	1	0.009	1
Mesenchymal_cell_proliferation	1	1	8.97e-07	1
Mesenchymal_to_epithelial_transition	1	1	0.00014	1
Mesenchymal_to_epithelial_transition_involved_in_metanephros_morphogenesis	1	1	0.009	1
Mesenchyme_development	1	1	4.93e-16	1
Mesenchyme_morphogenesis	1	1	9.97e-08	1
Mesoderm_development	1	1	9.97e-08	1
Mesoderm_formation	1	1	0.0014	1
Mesoderm_morphogenesis	1	1	0.0006	1
Mesonephric_duct_development	1	1	0.0022	1
Mesonephric_tubule_formation	1	1	0.0022	1
Mesonephric_tubule_morphogenesis	1	1	3.66e-10	1
Mesonephros_development	1	1	1.85e-12	1
Metal_ion_transport	1	1	6.65e-09	1
Metanephric_epithelium_development	1	1	0.00081	1
Metanephric_nephron_development	1	1	5.87e-09	1
Metanephric_nephron_morphogenesis	1	1	0.00012	1
Metanephric_nephron_tubule_development	1	1	0.0039	1
Metanephric_renal_vesicle_morphogenesis	1	1	0.0045	1
Metanephric_tubule_development	1	1	0.0018	1
Metanephros_development	1	1	4.73e-16	1
Metanephros_morphogenesis	1	1	0.00017	1
Metencephalon_development	1	1	0.00043	1
Midbrain_development	1	1	1.98e-05	1
Midbrain_dopaminergic_neuron_differentiation	1	1	0.0062	1
Middle_ear_morphogenesis	1	1	0.00047	1
Midgut_development	1	1	0.0045	1
Modulation_of_chemical_synaptic_transmission	1	1	7.85e-06	1
Mononuclear_cell_differentiation	1	1	0.0068	1
Morphogenesis_of_a_branching_epithelium	1	1	1.04e-09	1
Morphogenesis_of_a_branching_structure	1	1	1.16e-09	1
Morphogenesis_of_an_epithelium	1	1	9.88e-15	1
Morphogenesis_of_embryonic_epithelium	1	1	6.59e-08	1
Motor_neuron_migration	1	1	0.0062	1
Multicellular_organism_development	1	4.27e-09	3.58e-71	1
Multicellular_organismal_process	1	1	5.01e-58	1
Multicellular_organismal_signaling	1	1	0.0028	1
Muscle_adaptation	1	1	0.0037	1
Muscle_cell_development	1	1	0.004	1
Muscle_cell_differentiation	1	1	3.76e-05	1
Muscle_cell_fate_commitment	1	1	0.00019	1
Muscle_contraction	1	1	4.86e-05	1
Muscle_organ_development	1	1	1.4e-15	1
Muscle_organ_morphogenesis	1	1	1.05e-05	1
Muscle_structure_development	1	1	1.19e-14	1
Muscle_system_process	1	1	9.26e-06	1
Muscle_tissue_development	1	1	1.87e-16	1
Muscle_tissue_morphogenesis	1	1	4.21e-05	1
Negative_regulation_of_RNA_metabolic_process	1	1	1.07e-19	1
Negative_regulation_of_apoptotic_process	1	1	7.14e-07	1
Negative_regulation_of_apoptotic_process_involved_in_morphogenesis	1	1	0.004	1
Negative_regulation_of_biological_process	1	1	1.74e-12	1
Negative_regulation_of_biosynthetic_process	1	1	2.18e-15	1
Negative_regulation_of_cell_death	1	1	5.89e-06	1
Negative_regulation_of_cell_development	1	1	8.94e-06	1
Negative_regulation_of_cell_differentiation	1	1	2.02e-17	1
Negative_regulation_of_cell_population_proliferation	1	1	2.48e-05	1
Negative_regulation_of_cellular_biosynthetic_process	1	1	8.41e-16	1
Negative_regulation_of_cellular_metabolic_process	1	1	1.34e-08	1
Negative_regulation_of_cellular_process	1	1	1.07e-12	1
Negative_regulation_of_developmental_process	1	1	4.56e-20	1
Negative_regulation_of_epithelial_cell_proliferation	1	1	0.00073	1
Negative_regulation_of_gliogenesis	1	1	0.00065	1
Negative_regulation_of_macromolecule_biosynthetic_process	1	1	1.11e-16	1
Negative_regulation_of_macromolecule_metabolic_process	1	1	2.48e-08	1
Negative_regulation_of_mesenchymal_cell_apoptotic_process	1	1	0.00052	1
Negative_regulation_of_metabolic_process	1	1	7e-07	1
Negative_regulation_of_multicellular_organismal_process	1	1	1.22e-08	1
Negative_regulation_of_myeloid_cell_differentiation	0.0006	1	1	1
Negative_regulation_of_myoblast_differentiation	1	1	0.0032	1
Negative_regulation_of_nervous_system_development	1	1	5.7e-07	1
Negative_regulation_of_neurogenesis	1	1	9.14e-07	1
Negative_regulation_of_neuron_apoptotic_process	1	1	0.00043	1
Negative_regulation_of_neuron_death	1	1	0.0049	1
Negative_regulation_of_neuron_differentiation	1	1	5.7e-13	1
Negative_regulation_of_nitrogen_compound_metabolic_process	1	1	6.17e-10	1
Negative_regulation_of_nucleobase-containing_compound_metabolic_process	1	1	3.45e-17	1
Negative_regulation_of_programmed_cell_death	1	1	5.53e-07	1
Negative_regulation_of_striated_muscle_cell_apoptotic_process	1	1	0.0084	1
Negative_regulation_of_transcription,_DNA-templated	1	1	6.35e-21	1
Negative_regulation_of_transcription_by_RNA_polymerase_II	1	1	7.95e-22	1
Negative_regulation_of_transcription_regulatory_region_DNA_binding	1	1	0.00062	1
Nephric_duct_development	1	1	0.00075	1
Nephric_duct_morphogenesis	1	1	0.0011	1
Nephron_development	1	1	7.67e-15	1
Nephron_epithelium_development	1	1	4.06e-15	1
Nephron_epithelium_morphogenesis	1	1	5.41e-13	1
Nephron_morphogenesis	1	1	2.42e-13	1
Nephron_tubule_development	1	1	2.83e-14	1
Nephron_tubule_formation	1	1	3.82e-08	1
Nephron_tubule_morphogenesis	1	1	1.55e-12	1
Nerve_development	1	1	3.04e-06	1
Nervous_system_development	1	1	1.42e-64	1
Nervous_system_process	1	1	2.1e-08	1
Neural_crest_cell_development	1	1	1.99e-05	1
Neural_crest_cell_differentiation	1	1	1.01e-06	1
Neural_crest_cell_migration	1	1	0.00022	1
Neural_precursor_cell_proliferation	1	1	1.5e-07	1
Neural_retina_development	1	1	0.00033	1
Neural_tube_development	1	1	0.0011	1
Neural_tube_patterning	1	1	4.34e-06	1
Neuroblast_proliferation	1	1	0.00083	1
Neuroendocrine_cell_differentiation	1	1	0.00014	1
Neuroepithelial_cell_differentiation	1	1	5.84e-07	1
Neurogenesis	1	1	2.54e-50	1
Neuromuscular_process	1	1	7.15e-05	1
Neuromuscular_process_controlling_balance	1	1	0.00039	1
Neuron_development	1	1	5.24e-26	1
Neuron_differentiation	1	1	1.08e-50	1
Neuron_fate_commitment	1	1	2.42e-23	1
Neuron_fate_determination	1	1	0.00052	1
Neuron_fate_specification	1	1	1.29e-12	1
Neuron_migration	1	1	1.28e-12	1
Neuron_projection_development	1	1	1.32e-19	1
Neuron_projection_extension	1	1	0.00038	1
Neuron_projection_morphogenesis	1	1	9.24e-22	1
Neuropeptide_signaling_pathway	1	1	0.0052	1
Neurotransmitter_biosynthetic_process	1	1	0.0082	1
Neurotransmitter_secretion	1	1	0.001	1
Neurotransmitter_transport	1	1	4.46e-08	1
Noradrenergic_neuron_differentiation	1	1	0.00077	1
Norepinephrine_biosynthetic_process	1	1	0.0062	1
Notch_signaling_pathway	1	1	1.03e-05	1
Odontogenesis	1	1	3.17e-11	1
Odontogenesis_of_dentin-containing_tooth	1	1	3.73e-08	1
Olfactory_bulb_development	1	1	3.63e-05	1
Oligodendrocyte_development	1	1	0.00092	1
Oligodendrocyte_differentiation	1	1	1.05e-06	1
Organ_growth	1	1	0.004	1
Ossification	1	1	1.25e-05	1
Osteoblast_differentiation	1	1	0.00036	1
Outflow_tract_morphogenesis	1	1	1.01e-07	1
Outflow_tract_septum_morphogenesis	1	1	0.0017	1
Pallium_development	1	1	3.62e-09	1
Pancreas_development	1	1	1.07e-11	1
Pancreatic_A_cell_differentiation	1	1	0.00052	1
Parasympathetic_nervous_system_development	1	1	0.0013	1
Paraxial_mesoderm_development	1	1	0.0081	1
Pattern_specification_involved_in_kidney_development	1	1	4.73e-05	1
Pattern_specification_process	1	7.47e-19	1.02e-41	1
Peptide_hormone_secretion	1	1	0.0057	1
Pericardium_development	1	1	0.0081	1
Peripheral_nervous_system_development	1	1	0.00031	1
Peripheral_nervous_system_neuron_development	1	1	0.0039	1
Peristalsis	1	1	0.0062	1
Pharyngeal_system_development	1	1	0.00022	1
Pituitary_gland_development	1	1	4.88e-09	1
Placenta_development	1	1	0.0086	1
Plasma_membrane_bounded_cell_projection_organization	1	1	1.14e-13	1
Positive_regulation_of_BMP_signaling_pathway	1	1	0.0017	1
Positive_regulation_of_DNA_binding	1	1	0.0081	1
Positive_regulation_of_RNA_metabolic_process	1	1	5.64e-34	1
Positive_regulation_of_animal_organ_morphogenesis	1	1	0.0067	1
Positive_regulation_of_axonogenesis	1	1	0.0011	1
Positive_regulation_of_biological_process	1	1	9.57e-19	1
Positive_regulation_of_biosynthetic_process	1	1	1.28e-30	1
Positive_regulation_of_cation_channel_activity	1	1	0.0049	1
Positive_regulation_of_cation_transmembrane_transport	1	1	0.0085	1
Positive_regulation_of_cell_communication	1	1	5.78e-05	1
Positive_regulation_of_cell_development	1	1	0.00078	1
Positive_regulation_of_cell_differentiation	1	1	4.86e-13	1
Positive_regulation_of_cell_population_proliferation	1	1	7.12e-10	1
Positive_regulation_of_cellular_biosynthetic_process	1	1	4.58e-31	1
Positive_regulation_of_cellular_metabolic_process	1	1	1.13e-22	1
Positive_regulation_of_cellular_process	0.00018	1	2.46e-19	1
Positive_regulation_of_developmental_growth	1	1	5.7e-05	1
Positive_regulation_of_developmental_process	1	1	7.74e-18	1
Positive_regulation_of_epithelial_cell_differentiation	1	1	7.2e-06	1
Positive_regulation_of_epithelial_cell_proliferation	1	1	0.00022	1
Positive_regulation_of_gene_expression	1	1	0.00023	1
Positive_regulation_of_growth	1	1	0.0017	1
Positive_regulation_of_macromolecule_biosynthetic_process	1	1	5.18e-31	1
Positive_regulation_of_macromolecule_metabolic_process	1	1	1.12e-19	1
Positive_regulation_of_mesenchymal_cell_proliferation	1	1	0.0046	1
Positive_regulation_of_metabolic_process	1	1	5.94e-20	1
Positive_regulation_of_multicellular_organismal_process	1	1	5.39e-12	1
Positive_regulation_of_nervous_system_development	1	1	1.99e-06	1
Positive_regulation_of_neural_precursor_cell_proliferation	1	1	0.00046	1
Positive_regulation_of_neurogenesis	1	1	8.89e-05	1
Positive_regulation_of_neuron_differentiation	1	1	2.63e-09	1
Positive_regulation_of_nitrogen_compound_metabolic_process	1	1	3.28e-20	1
Positive_regulation_of_nucleobase-containing_compound_metabolic_process	1	1	9.66e-29	1
Positive_regulation_of_potassium_ion_transmembrane_transport	1	1	0.00092	1
Positive_regulation_of_potassium_ion_transmembrane_transporter_activity	1	1	0.0039	1
Positive_regulation_of_potassium_ion_transport	1	1	0.00083	1
Positive_regulation_of_response_to_stimulus	1	1	0.0095	1
Positive_regulation_of_signal_transduction	1	1	0.00094	1
Positive_regulation_of_signaling	1	1	4.5e-05	1
Positive_regulation_of_stem_cell_differentiation	1	1	0.0057	1
Positive_regulation_of_stem_cell_proliferation	1	1	0.0021	1
Positive_regulation_of_transcription,_DNA-templated	1.9e-10	1	3.61e-37	1
Positive_regulation_of_transcription_by_RNA_polymerase_II	9.56e-11	9.76e-05	2.39e-38	1
Positive_regulation_of_transcription_regulatory_region_DNA_binding	1	1	0.0069	1
Positive_regulation_of_transmembrane_receptor_protein_serine/threonine_kinase_signaling_pathway	1	1	0.004	1
Positive_regulation_of_voltage-gated_potassium_channel_activity	1	1	0.0018	1
Potassium_ion_import_across_plasma_membrane	1	1	0.0039	1
Potassium_ion_transmembrane_transport	1	1	4.1e-07	1
Potassium_ion_transport	1	1	1.75e-07	1
Prostate_gland_development	4.45e-05	1	1	1
Proximal/distal_pattern_formation	1.41e-05	1.26e-05	4.6e-05	1
Regionalization	1	9.88e-19	2.3e-34	1
Regulation_of_AMPA_receptor_activity	1	1	0.0084	1
Regulation_of_BMP_signaling_pathway	1	1	0.00039	1
Regulation_of_DNA-binding_transcription_factor_activity	1	1	0.00023	1
Regulation_of_DNA_binding	1	1	0.00017	1
Regulation_of_Notch_signaling_pathway	1	1	0.0075	1
Regulation_of_RNA_metabolic_process	1	1	6.21e-29	1
Regulation_of_Wnt_signaling_pathway	1	1	0.0085	1
Regulation_of_amine_transport	1	1	0.0004	1
Regulation_of_anatomical_structure_morphogenesis	1	1	3.85e-08	1
Regulation_of_anatomical_structure_size	1	1	0.003	1
Regulation_of_animal_organ_formation	1	1	0.0026	1
Regulation_of_animal_organ_morphogenesis	1	1	9.97e-08	1
Regulation_of_apoptotic_process	1	1	2.16e-06	1
Regulation_of_axon_extension	1	1	0.00032	1
Regulation_of_axonogenesis	1	1	7.41e-05	1
Regulation_of_biological_process	1	1	5.97e-20	1
Regulation_of_biological_quality	1	1	1.64e-16	1
Regulation_of_biomineral_tissue_development	1	1	0.0007	1
Regulation_of_biosynthetic_process	1	1	3.33e-25	1
Regulation_of_blood_circulation	1	1	3.31e-06	1
Regulation_of_blood_pressure	1	1	0.0072	1
Regulation_of_bone_mineralization	1	1	0.0044	1
Regulation_of_branching_involved_in_ureteric_bud_morphogenesis	1	1	0.0029	1
Regulation_of_calcium_ion-dependent_exocytosis	1	1	0.00065	1
Regulation_of_cardiac_muscle_cell_apoptotic_process	1	1	0.0037	1
Regulation_of_cardioblast_differentiation	1	1	0.009	1
Regulation_of_cardiocyte_differentiation	1	1	0.0026	1
Regulation_of_catecholamine_secretion	1	1	0.0021	1
Regulation_of_cation_channel_activity	1	1	0.0002	1
Regulation_of_cation_transmembrane_transport	1	1	0.0009	1
Regulation_of_cell_communication	1	1	2.67e-08	1
Regulation_of_cell_death	1	1	2.64e-05	1
