	cluster3	cluster5	cluster6	cluster7
Cardiac_muscle_tissue_morphogenesis	1	8.22e-06	1	1
Cardiac_pacemaker_cell_development	1	0.00043	1	1
Cardiac_right_ventricle_morphogenesis	1	0.0014	1	1
Cardiac_septum_development	1	2.43e-08	1	1
Cardiac_septum_morphogenesis	1	2e-08	1	1
Cardiac_ventricle_development	1	6.93e-11	1	1
Cardiac_ventricle_formation	1	0.0048	1	1
Cardiac_ventricle_morphogenesis	1	2e-08	1	1
Cardiocyte_differentiation	1	9.95e-07	1	1
Cartilage_development	0.0014	3.29e-10	1	1
Cation_homeostasis	1	1	0.0041	1
Cation_transmembrane_transport	1	1.87e-09	3.24e-08	1
Cation_transport	1	7.35e-08	1.45e-09	1
Cell-cell_adhesion	1	0.0046	0.0052	1
Cell-cell_adhesion_via_plasma-membrane_adhesion_molecules	1	1	0.0087	1
Cell-cell_signaling	1	1.09e-18	5.77e-16	1
Cell_adhesion	1	0.00067	0.0005	1
Cell_communication	1	2.17e-10	4.56e-12	1
Cell_death	1	0.0069	1	1
Cell_development	1	6.19e-41	0.00054	1
Cell_differentiation	1	1.23e-68	4.87e-10	1
Cell_differentiation_in_spinal_cord	1	7.13e-15	1	1
Cell_differentiation_involved_in_kidney_development	1	4.27e-06	1	1
Cell_differentiation_involved_in_metanephros_development	1	2.38e-05	1	1
Cell_fate_commitment	0.0079	2.13e-52	1	1
Cell_fate_commitment_involved_in_formation_of_primary_germ_layer	1	1.3e-05	1	1
Cell_fate_determination	1	6.61e-15	1	1
Cell_fate_specification	1	9.52e-27	1	1
Cell_junction_organization	1	9.47e-05	1	1
Cell_maturation	1	0.0016	1	1
Cell_migration	1	7.37e-15	1	1
Cell_morphogenesis	1	6.98e-22	1	1
Cell_morphogenesis_involved_in_differentiation	1	2.28e-19	1	1
Cell_morphogenesis_involved_in_neuron_differentiation	1	3.98e-22	1	1
Cell_motility	1	2.63e-11	1	1
Cell_population_proliferation	1	1.05e-20	1	1
Cell_projection_morphogenesis	1	1.31e-26	1	1
Cell_projection_organization	1	2.45e-15	1	1
Cell_proliferation_in_forebrain	1	0.0001	1	1
Cell_proliferation_involved_in_kidney_development	1	0.0064	1	1
Cell_surface_receptor_signaling_pathway	1	5.46e-10	3e-05	1
Cell_surface_receptor_signaling_pathway_involved_in_cell-cell_signaling	1	2.6e-07	0.0078	1
Cell_surface_receptor_signaling_pathway_involved_in_heart_development	1	0.00079	1	1
Cellular_chemical_homeostasis	1	1	0.0052	1
Cellular_component_morphogenesis	1	6.41e-26	1	1
Cellular_component_organization	1	0.0013	1	1
Cellular_component_organization_or_biogenesis	1	0.0076	1	1
Cellular_developmental_process	1	1.63e-68	4.87e-10	1
Cellular_process	1	4.69e-08	1	1
Cellular_response_to_BMP_stimulus	1	1.57e-06	1	1
Cellular_response_to_calcium_ion	1	0.0048	1	1
Cellular_response_to_chemical_stimulus	1	5.11e-12	1	1
Cellular_response_to_endogenous_stimulus	1	2.05e-10	1	1
Cellular_response_to_fibroblast_growth_factor_stimulus	1	7.69e-05	1	1
Cellular_response_to_growth_factor_stimulus	1	3.41e-10	1	1
Cellular_response_to_hormone_stimulus	1	0.0045	1	1
Cellular_response_to_lipid	1	7.56e-06	1	1
Cellular_response_to_metal_ion	1	0.00082	1	1
Cellular_response_to_organic_substance	1	5.01e-10	1	1
Cellular_response_to_oxygen-containing_compound	1	4.7e-05	1	1
Cellular_response_to_retinoic_acid	1	2.27e-09	1	1
Cellular_response_to_stimulus	1	0.00042	0.00014	1
Central_nervous_system_development	1	1.54e-46	0.00073	1
Central_nervous_system_neuron_development	1	6.58e-06	1	1
Central_nervous_system_neuron_differentiation	1	4.9e-25	1	1
Cerebellum_development	1	0.002	1	1
Cerebral_cortex_GABAergic_interneuron_differentiation	1	1.32e-05	1	1
Cerebral_cortex_GABAergic_interneuron_migration	1	0.0086	1	1
Cerebral_cortex_development	1	3.8e-05	1	1
Cerebral_cortex_neuron_differentiation	1	1.08e-06	1	1
Cerebral_cortex_regionalization	1	0.0016	1	1
Chemical_homeostasis	1	1	0.0022	1
Chemical_synaptic_transmission	1	1.25e-09	2.91e-08	1
Chemical_synaptic_transmission,_postsynaptic	1	1	0.00045	1
Chemotaxis	1	8.86e-15	1	1
Chondrocyte_differentiation	1	5.71e-06	1	1
Chordate_embryonic_development	1	2e-17	1	1
Circulatory_system_development	1	2.53e-15	1	1
Circulatory_system_process	1	0.0015	1.42e-05	1
Cochlea_development	1	9.35e-06	1	1
Cochlea_morphogenesis	1	0.0049	1	1
Cognition	1	5.22e-07	1	1
Collecting_duct_development	1	0.00047	1	1
Columnar/cuboidal_epithelial_cell_differentiation	1	6.34e-12	1	1
Commitment_of_neuronal_cell_to_specific_neuron_type_in_forebrain	1	9.97e-05	1	1
Connective_tissue_development	1	1.03e-10	1	1
Convergent_extension_involved_in_axis_elongation	1	0.0058	1	1
Cornea_development_in_camera-type_eye	1	0.0064	1	1
Cranial_nerve_development	1	2.12e-07	1	1
Cranial_nerve_morphogenesis	7.08e-09	0.0031	1	1
Cranial_skeletal_system_development	1	4.29e-08	1	1
Definitive_hemopoiesis	0.00092	1	1	1
Dentate_gyrus_development	1	0.004	1	1
Determination_of_bilateral_symmetry	1	0.00043	1	1
Determination_of_left/right_symmetry	1	0.0021	1	1
Development_of_primary_sexual_characteristics	1	2.66e-05	1	1
Developmental_cell_growth	1	0.00019	1	1
Developmental_growth	1	5.61e-10	1	1
Developmental_growth_involved_in_morphogenesis	1	1.07e-08	1	1
Developmental_induction	1	0.0015	1	1
Developmental_maturation	1	8.62e-06	1	1
Developmental_process	1	1.19e-68	5.77e-16	1
Developmental_process_involved_in_reproduction	1	4.66e-06	1	1
Diencephalon_development	1	2.13e-16	1	1
Digestive_system_development	1	1.72e-17	1	1
Digestive_tract_development	0.0094	1.66e-15	1	1
Digestive_tract_morphogenesis	1	4.16e-09	1	1
Dopaminergic_neuron_differentiation	1	6.59e-12	1	1
Dorsal/ventral_neural_tube_patterning	1	0.00063	1	1
Dorsal/ventral_pattern_formation	0.0019	1.68e-16	1	1
Dorsal_spinal_cord_development	1	4.43e-06	1	1
Ear_development	1	4.65e-19	1	1
Ear_morphogenesis	1	1.6e-16	1	1
Embryo_development	1.42e-28	1.03e-37	1	1
Embryo_development_ending_in_birth_or_egg_hatching	1	1.37e-17	1	1
Embryonic_axis_specification	1	0.0057	1	1
Embryonic_camera-type_eye_development	1	1.5e-05	1	1
Embryonic_camera-type_eye_morphogenesis	1	5.65e-06	1	1
Embryonic_cranial_skeleton_morphogenesis	1	1.01e-07	1	1
Embryonic_digestive_tract_development	1	8.99e-07	1	1
Embryonic_digestive_tract_morphogenesis	1	2.09e-06	1	1
Embryonic_digit_morphogenesis	1	2.12e-07	1	1
Embryonic_epithelial_tube_formation	1	1.15e-07	1	1
Embryonic_eye_morphogenesis	1	1.54e-06	1	1
Embryonic_forelimb_morphogenesis	6.58e-05	1.7e-09	1	1
Embryonic_heart_tube_development	1	9.77e-07	1	1
Embryonic_heart_tube_morphogenesis	1	0.00016	1	1
Embryonic_hindgut_morphogenesis	0.004	1	1	1
Embryonic_hindlimb_morphogenesis	1	3.25e-09	1	1
Embryonic_limb_morphogenesis	6.87e-09	1.5e-13	1	1
Embryonic_morphogenesis	6.36e-31	9.52e-38	1	1
Embryonic_organ_development	1	3.5e-33	1	1
Embryonic_organ_morphogenesis	2.25e-29	5.45e-29	1	1
Embryonic_pattern_specification	1	3.06e-07	1	1
Embryonic_placenta_development	1	0.004	1	1
Embryonic_skeletal_joint_development	1	0.00047	1	1
Embryonic_skeletal_joint_morphogenesis	1	0.00092	1	1
Embryonic_skeletal_system_development	4.05e-36	3.74e-14	1	0.00022
Embryonic_skeletal_system_morphogenesis	4.05e-36	1.31e-10	1	1
Endocardial_cushion_development	1	7.55e-07	1	1
Endocardial_cushion_formation	1	0.00063	1	1
Endocardial_cushion_morphogenesis	1	1.5e-05	1	1
Endochondral_bone_morphogenesis	1	0.0019	1	1
Endochondral_ossification	1	0.0081	1	1
Endocrine_pancreas_development	1	4e-09	1	1
Endocrine_system_development	1	8.15e-22	1	1
Endoderm_development	1	5.24e-05	1	1
Endoderm_formation	1	0.0013	1	1
Endodermal_cell_differentiation	1	0.005	1	1
Endodermal_cell_fate_specification	1	0.0086	1	1
Enteric_nervous_system_development	1	0.00047	1	1
Enteroendocrine_cell_differentiation	1	1.67e-05	1	1
Enzyme-linked_receptor_protein_signaling_pathway	1	9.73e-05	1	1
Epidermal_cell_differentiation	1	0.0024	1	1
Epidermis_development	1	8.64e-05	0.00098	1
Epithelial-mesenchymal_cell_signaling	1	0.0086	1	1
Epithelial_cell_development	1	6.63e-05	1	1
Epithelial_cell_differentiation	1	1.08e-24	0.00084	1
Epithelial_cell_differentiation_involved_in_kidney_development	1	0.0016	1	1
Epithelial_cell_proliferation	1	0.002	1	1
Epithelial_to_mesenchymal_transition	1	0.0019	1	1
Epithelial_tube_morphogenesis	1	1.12e-15	1	1
Epithelium_development	0.0009	6.11e-38	0.0004	1
Exocrine_system_development	1	0.0034	1	1
Export_from_cell	1	0.00042	1	1
Extracellular_matrix_organization	1	9.54e-05	1	1
Eye_development	1	1.36e-18	1	1
Eye_morphogenesis	1	7.01e-09	1	1
Face_development	1	0.0038	1	1
Feeding_behavior	1	1	0.00019	1
Female_sex_differentiation	1	0.0047	1	1
Fibroblast_growth_factor_receptor_signaling_pathway	1	0.0072	1	1
Forebrain_cell_migration	1	0.00048	1	1
Forebrain_development	1	4.64e-32	1	1
Forebrain_generation_of_neurons	1	1.83e-09	1	1
Forebrain_neuron_differentiation	1	2.76e-08	1	1
Forebrain_neuron_fate_commitment	1	1.69e-05	1	1
Forebrain_regionalization	1	7.72e-11	1	1
Forelimb_morphogenesis	2.03e-06	3.12e-10	1	1
Formation_of_primary_germ_layer	1	3.37e-08	1	1
GABAergic_neuron_differentiation	1	1.52e-07	1	1
G_protein-coupled_receptor_signaling_pathway,_coupled_to_cyclic_nucleotide_second_messenger	1	1	0.002	1
Gastrulation	1	4.96e-09	1	1
Generation_of_neurons	1	4.61e-57	0.0013	1
Genitalia_development	1	0.0001	1	1
Gland_development	5.26e-10	9.25e-21	1	1
Gland_morphogenesis	1	0.002	1	1
Glandular_epithelial_cell_development	1	0.0094	1	1
Glandular_epithelial_cell_differentiation	1	1.01e-06	1	1
Glial_cell_differentiation	1	6.65e-07	1	1
Glial_cell_fate_commitment	1	0.0013	1	1
Gliogenesis	1	4.7e-06	1	1
Glomerulus_development	1	0.0001	1	1
Glomerulus_vasculature_development	1	0.0022	1	1
Glossopharyngeal_nerve_morphogenesis	2.94e-05	1	1	1
Gonad_development	1	4.93e-05	1	1
Head_development	1	1.69e-38	1	1
Head_morphogenesis	1	0.0075	1	1
Heart_development	1	5.23e-16	1	1
Heart_looping	1	0.00028	1	1
Heart_morphogenesis	1	3.52e-17	1	1
Heart_valve_development	1	2.57e-05	1	1
Heart_valve_morphogenesis	1	8.61e-05	1	1
Hematopoietic_or_lymphoid_organ_development	1	6.37e-07	1	1
Hemopoiesis	1	0.00017	1	1
Hepaticobiliary_system_development	1	0.00037	1	1
Hindbrain_development	1	9.04e-10	1	1
Hindlimb_morphogenesis	1	6.17e-10	1	1
Hippocampus_development	1	1.14e-06	1	1
His-Purkinje_system_cell_differentiation	1	0.0036	1	1
Homeostatic_process	1	1	0.0015	1
Hormone_secretion	1	0.0072	1	1
Hormone_transport	1	0.0054	1	1
Hypothalamus_development	1	0.00098	1	1
Immune_system_development	1	2.25e-06	1	1
Import_across_plasma_membrane	1	0.0015	1	1
Import_into_cell	1	0.0011	0.0078	1
In_utero_embryonic_development	1	0.00036	1	1
Inner_ear_development	1	5.12e-15	1	1
Inner_ear_morphogenesis	1	1.76e-12	1	1
Inorganic_cation_import_across_plasma_membrane	1	0.00038	1	1
Inorganic_cation_transmembrane_transport	1	2.73e-09	1.55e-07	1
Inorganic_ion_homeostasis	1	1	0.0082	1
Inorganic_ion_transmembrane_transport	1	1.72e-08	8.02e-09	1
Intermediate_filament_cytoskeleton_organization	1	1	0.0013	1
Intermediate_filament_organization	1	9.42e-06	0.00017	1
Interneuron_axon_guidance	1	0.0036	1	1
Interneuron_migration	1	8.09e-06	1	1
Intracellular_receptor_signaling_pathway	1	0.0072	1	1
Ion_homeostasis	1	1	0.0041	1
Ion_transmembrane_transport	1	1.76e-07	1.14e-08	1
Ion_transport	1	3.82e-05	4.87e-10	1
Kidney_development	1	4.11e-16	1	1
Kidney_epithelium_development	1	8.45e-16	1	1
Kidney_mesenchyme_development	1	2.38e-05	1	1
Kidney_morphogenesis	1	1.2e-12	1	1
Learning	1	5.08e-06	1	1
Learning_or_memory	1	1.5e-07	1	1
Lens_development_in_camera-type_eye	1	5.24e-05	1	1
Leukocyte_differentiation	1	0.0033	1	1
Limb_development	1	7.97e-14	1	1
Limb_morphogenesis	6.43e-10	1.96e-14	1	1
Limbic_system_development	1	1.43e-10	1	1
Liver_development	1	0.00083	1	1
Locomotion	1	1.94e-15	1	1
Locomotory_behavior	1	1.74e-06	1	1
Loop_of_Henle_development	1	0.0083	1	1
Lung_development	1	2.96e-05	1	1
Lung_epithelium_development	1	0.0018	1	1
Lung_morphogenesis	1	0.0057	1	1
Maintenance_of_cell_number	1	0.00026	1	1
Male_gonad_development	1	0.0024	1	1
Male_sex_differentiation	6.58e-05	8.9e-05	1	1
Mammary_gland_development	0.0088	1	1	1
Mammary_gland_epithelium_development	1	0.0031	1	1
Memory	1	0.00035	1	1
Mesenchymal_cell_apoptotic_process	1	0.0013	1	1
Mesenchymal_cell_development	1	0.0086	1	1
Mesenchymal_cell_differentiation	1	3.41e-13	1	1
Mesenchymal_cell_proliferation	1	1.46e-07	1	1
Mesenchymal_to_epithelial_transition	1	8.87e-05	1	1
Mesenchymal_to_epithelial_transition_involved_in_metanephros_morphogenesis	1	0.0024	1	1
Mesenchyme_development	1	9.02e-18	1	1
Mesenchyme_morphogenesis	1	3.06e-09	1	1
Mesoderm_development	1	2.54e-08	1	1
Mesoderm_formation	1	4.64e-05	1	1
Mesoderm_morphogenesis	1	1.5e-05	1	1
Mesodermal_cell_differentiation	1	0.0081	1	1
Mesodermal_cell_fate_commitment	1	0.0031	1	1
Mesonephric_duct_development	1	0.0035	1	1
Mesonephric_tubule_formation	1	0.00043	1	1
Mesonephric_tubule_morphogenesis	1	1.71e-10	1	1
Mesonephros_development	1	6.73e-14	1	1
Metal_ion_homeostasis	1	1	0.0091	1
Metal_ion_transport	1	6.65e-09	1.72e-10	1
Metanephric_collecting_duct_development	1	0.0048	1	1
Metanephric_epithelium_development	1	0.00049	1	1
Metanephric_glomerulus_development	1	0.0064	1	1
Metanephric_mesenchyme_development	1	0.0023	1	1
Metanephric_nephron_development	1	3.15e-10	1	1
Metanephric_nephron_morphogenesis	1	6.01e-05	1	1
Metanephric_nephron_tubule_development	1	0.004	1	1
Metanephric_renal_vesicle_morphogenesis	1	0.00092	1	1
Metanephric_tubule_development	1	0.0014	1	1
Metanephros_development	1	4.26e-17	1	1
Metanephros_morphogenesis	1	6.06e-05	1	1
Metencephalon_development	1	0.00056	1	1
Midbrain_development	1	2.44e-06	1	1
Midbrain_dopaminergic_neuron_differentiation	1	0.00017	1	1
Middle_ear_morphogenesis	1	4.5e-05	1	1
Midgut_development	1	0.00092	1	1
Modulation_of_chemical_synaptic_transmission	1	5.81e-06	0.00012	1
Mononuclear_cell_differentiation	1	0.0084	1	1
Morphogenesis_of_a_branching_epithelium	5.42e-05	8.87e-12	1	1
Morphogenesis_of_a_branching_structure	1	7.82e-12	1	1
Morphogenesis_of_an_epithelium	8.45e-06	2.68e-18	1	1
Morphogenesis_of_embryonic_epithelium	1	1.83e-09	1	1
Motor_neuron_migration	1	0.0013	1	1
Multicellular_organism_development	2.9e-17	2.25e-74	4.56e-12	1
Multicellular_organismal_homeostasis	1	1	0.0077	1
Multicellular_organismal_process	1	1.48e-60	1.24e-16	1
Multicellular_organismal_signaling	1	0.0013	1	1
Muscle_adaptation	1	0.0065	1	1
Muscle_cell_development	1	4.59e-05	1	1
Muscle_cell_differentiation	1	4.22e-08	1	1
Muscle_cell_fate_commitment	1	1.69e-05	1	1
Muscle_contraction	1	0.00017	1	1
Muscle_organ_development	1	2.14e-19	1	1
Muscle_organ_morphogenesis	1	3.62e-07	1	1
Muscle_structure_development	1	8e-21	1	1
Muscle_system_process	1	2.18e-05	1	1
Muscle_tissue_development	1	7.87e-19	1	1
Muscle_tissue_morphogenesis	1	2.44e-06	1	1
Myoblast_differentiation	1	0.0086	1	1
Negative_regulation_of_RNA_metabolic_process	1	3.71e-26	1	1
Negative_regulation_of_apoptotic_process	1	1.92e-09	1	1
Negative_regulation_of_apoptotic_process_involved_in_morphogenesis	1	0.001	1	1
Negative_regulation_of_biological_process	1	1.41e-16	1	1
Negative_regulation_of_biosynthetic_process	1	2.72e-22	1	1
Negative_regulation_of_cell_communication	1	0.0012	1	1
Negative_regulation_of_cell_death	1	1.53e-08	1	1
Negative_regulation_of_cell_development	1	3.21e-05	1	1
Negative_regulation_of_cell_differentiation	1	1.03e-19	1	1
Negative_regulation_of_cell_population_proliferation	1	1.63e-05	0.0044	1
Negative_regulation_of_cell_proliferation_involved_in_kidney_development	1	0.0058	1	1
Negative_regulation_of_cellular_biosynthetic_process	1	1.18e-22	1	1
Negative_regulation_of_cellular_metabolic_process	1	1.94e-15	1	1
Negative_regulation_of_cellular_process	1	2.78e-17	1	1
Negative_regulation_of_developmental_process	1	6.62e-23	1	1
Negative_regulation_of_epithelial_cell_proliferation	1	6.31e-05	1	1
Negative_regulation_of_epithelial_to_mesenchymal_transition	1	0.0057	1	1
Negative_regulation_of_gliogenesis	1	0.0008	1	1
Negative_regulation_of_macromolecule_biosynthetic_process	1	2.08e-23	1	1
Negative_regulation_of_macromolecule_metabolic_process	1	8.87e-12	1	1
Negative_regulation_of_mesenchymal_cell_apoptotic_process	1	0.0048	1	1
Negative_regulation_of_metabolic_process	1	7.13e-11	1	1
Negative_regulation_of_multicellular_organismal_process	1	8.34e-10	1	1
Negative_regulation_of_myeloid_cell_differentiation	0.0033	1	1	1
Negative_regulation_of_nervous_system_development	1	4.61e-06	1	1
Negative_regulation_of_neurogenesis	1	9.12e-06	1	1
Negative_regulation_of_neuron_apoptotic_process	1	2.43e-05	1	1
Negative_regulation_of_neuron_death	1	0.0002	1	1
Negative_regulation_of_neuron_differentiation	1	5.77e-15	1	1
Negative_regulation_of_nitrogen_compound_metabolic_process	1	1.52e-15	1	1
Negative_regulation_of_nucleobase-containing_compound_metabolic_process	1	1.97e-23	1	1
Negative_regulation_of_programmed_cell_death	1	1.08e-09	1	1
Negative_regulation_of_response_to_stimulus	1	0.0032	1	1
Negative_regulation_of_signal_transduction	1	0.0044	1	1
Negative_regulation_of_signaling	1	0.0014	1	1
Negative_regulation_of_striated_muscle_cell_apoptotic_process	1	0.0058	1	1
Negative_regulation_of_transcription,_DNA-templated	1	8.02e-27	1	1
Negative_regulation_of_transcription_by_RNA_polymerase_II	0.0028	2.14e-26	1	1
Negative_regulation_of_transcription_regulatory_region_DNA_binding	1	0.0022	1	1
Nephric_duct_development	1	0.00063	1	1
Nephric_duct_formation	1	0.0058	1	1
Nephric_duct_morphogenesis	1	0.0013	1	1
Nephron_development	1	2.99e-15	1	1
Nephron_epithelium_development	1	6.45e-15	1	1
Nephron_epithelium_morphogenesis	1	3.37e-13	1	1
Nephron_morphogenesis	1	1.13e-13	1	1
Nephron_tubule_development	1	3.61e-14	1	1
Nephron_tubule_formation	1	6.16e-08	1	1
Nephron_tubule_morphogenesis	1	1.31e-12	1	1
Nerve_development	1	6.36e-08	1	1
Nervous_system_development	1	1.06e-71	2.35e-06	1
Nervous_system_process	1	1.62e-09	0.0062	1
Neural_crest_cell_development	1	3.18e-06	1	1
Neural_crest_cell_differentiation	1	6.17e-08	1	1
Neural_crest_cell_migration	1	0.00012	1	1
Neural_precursor_cell_proliferation	1	2.59e-08	1	1
Neural_retina_development	1	6.39e-06	1	1
Neural_tube_development	1	2.18e-05	1	1
Neural_tube_patterning	1	6.73e-07	1	1
Neuroblast_proliferation	1	0.00074	1	1
Neuroendocrine_cell_differentiation	1	8.87e-05	1	1
Neuroepithelial_cell_differentiation	1	5.06e-07	1	1
Neurogenesis	1	3.07e-55	0.002	1
Neuromuscular_process	1	1.01e-05	1	1
Neuromuscular_process_controlling_balance	1	6.31e-05	1	1
Neuron_development	1	1.06e-30	1	1
Neuron_differentiation	1	1.12e-55	0.00066	1
Neuron_fate_commitment	1	7.01e-26	1	1
Neuron_fate_determination	1	0.00064	1	1
Neuron_fate_specification	1	1.97e-12	1	1
Neuron_maturation	1	0.0097	1	1
Neuron_migration	1	6.48e-15	1	1
Neuron_projection_development	1	8.6e-24	1	1
Neuron_projection_extension	1	3.06e-05	1	1
Neuron_projection_morphogenesis	1	1.46e-26	1	1
Neuropeptide_signaling_pathway	1	1	2.04e-06	1
Neurotransmitter_secretion	1	0.00032	1	1
Neurotransmitter_transport	1	1.63e-09	1	1
Noradrenergic_neuron_differentiation	1	0.0064	1	1
Norepinephrine_metabolic_process	1	0.0083	1	1
Notch_signaling_pathway	1	2.46e-05	1	1
Odontogenesis	1	1.17e-09	1	1
Odontogenesis_of_dentin-containing_tooth	1	4.49e-08	1	1
Olfactory_bulb_development	1	1.76e-07	1	1
Olfactory_bulb_interneuron_differentiation	1	0.00092	1	1
Oligodendrocyte_cell_fate_specification	1	0.0036	1	1
Oligodendrocyte_differentiation	1	9.98e-06	1	1
Organ_growth	1	0.0097	1	1
Ossification	1	4.27e-06	1	1
Osteoblast_differentiation	1	2.43e-05	1	1
Outflow_tract_morphogenesis	1	2.76e-10	1	1
Outflow_tract_septum_morphogenesis	1	0.00098	1	1
Pallium_development	1	1.03e-10	1	1
Pancreas_development	1	2.88e-14	1	1
Pancreatic_A_cell_differentiation	1	7.6e-05	1	1
Parasympathetic_nervous_system_development	1	0.00017	1	1
Paraxial_mesoderm_development	1	0.0014	1	1
Paraxial_mesoderm_formation	1	0.0024	1	1
Pattern_specification_involved_in_kidney_development	1	4.8e-05	1	1
Pattern_specification_involved_in_metanephros_development	1	0.0036	1	1
Pattern_specification_process	1.22e-33	9.91e-49	1	1
Pericardium_development	1	0.00022	1	1
Peripheral_nervous_system_development	1	7.69e-05	1	1
Peripheral_nervous_system_neuron_development	1	0.00063	1	1
Peristalsis	1	0.0013	1	1
Pharyngeal_system_development	1	1.3e-05	1	1
Phasic_smooth_muscle_contraction	1	0.0018	1	1
Phospholipase_C-activating_G_protein-coupled_receptor_signaling_pathway	1	1	0.0017	1
Pituitary_gland_development	1	1.5e-10	1	1
Placenta_development	1	0.0012	1	1
Planar_cell_polarity_pathway_involved_in_axis_elongation	1	0.0058	1	1
Plasma_membrane_bounded_cell_projection_organization	1	1.03e-15	1	1
Positive_regulation_of_BMP_signaling_pathway	1	0.0025	1	1
Positive_regulation_of_DNA_binding	1	0.00014	1	1
Positive_regulation_of_RNA_metabolic_process	1	9.81e-45	1	1
Positive_regulation_of_animal_organ_morphogenesis	1	0.0036	1	1
Positive_regulation_of_apoptotic_process	1	0.0014	1	1
Positive_regulation_of_axonogenesis	1	0.0049	1	1
Positive_regulation_of_binding	1	0.004	1	1
Positive_regulation_of_biological_process	1	1.34e-22	0.0046	1
Positive_regulation_of_biosynthetic_process	1	5.49e-39	1	1
Positive_regulation_of_cell_communication	1	2.25e-06	0.005	1
Positive_regulation_of_cell_death	1	0.00067	1	1
Positive_regulation_of_cell_development	1	8.01e-05	1	1
Positive_regulation_of_cell_differentiation	1	3.36e-15	0.0072	1
Positive_regulation_of_cell_population_proliferation	1	4.78e-11	1	1
Positive_regulation_of_cellular_biosynthetic_process	1	1.08e-39	1	1
Positive_regulation_of_cellular_metabolic_process	1	1.21e-29	1	1
Positive_regulation_of_cellular_process	1.39e-05	4.01e-24	1	1
Positive_regulation_of_cytosolic_calcium_ion_concentration	1	1	0.00017	1
Positive_regulation_of_developmental_growth	1	0.00041	1	1
Positive_regulation_of_developmental_process	1	3.16e-19	5.67e-05	1
Positive_regulation_of_epithelial_cell_differentiation	1	9.75e-06	1	1
