	cluster1	cluster2	cluster3
Positive_regulation_of_developmental_process	3.14e-06	1	1
Positive_regulation_of_macromolecule_metabolic_process	8.37e-05	1	1
Positive_regulation_of_metabolic_process	5.96e-05	1	1
Positive_regulation_of_multicellular_organismal_process	0.0025	1	1
Positive_regulation_of_nitrogen_compound_metabolic_process	8.76e-06	1	1
Positive_regulation_of_transcription,_DNA-templated	1.39e-10	1	1
Positive_regulation_of_transcription_by_RNA_polymerase_II	3.33e-13	1	1
Regionalization	1.05e-11	1	1
Regulation_of_RNA_metabolic_process	4.67e-08	1	1
Regulation_of_apoptotic_process	0.00017	1	1
Regulation_of_biological_process	5.28e-09	1	1
Regulation_of_biological_quality	4.47e-10	1	1
Regulation_of_biosynthetic_process	2.87e-06	1	1
Regulation_of_blood_circulation	0.00015	1	1
Regulation_of_cell_communication	6.78e-07	1	1
Regulation_of_cell_death	0.00015	1	1
Regulation_of_cell_differentiation	7.77e-07	1	1
Regulation_of_cell_population_proliferation	0.0028	1	1
Regulation_of_cellular_biosynthetic_process	5.38e-06	1	1
Regulation_of_cellular_metabolic_process	4.33e-05	1	1
Regulation_of_cellular_process	3.11e-11	1	1
Regulation_of_developmental_process	2.27e-08	1	1
Regulation_of_epithelial_cell_proliferation	0.007	1	1
Regulation_of_gene_expression	5.12e-05	1	1
Regulation_of_heart_contraction	0.00026	1	1
Regulation_of_ion_transmembrane_transport	0.004	1	1
Regulation_of_ion_transport	0.0064	1	1
Regulation_of_long-term_synaptic_depression	0.0088	1	1
Regulation_of_macromolecule_biosynthetic_process	1.53e-06	1	1
Regulation_of_macromolecule_metabolic_process	0.005	1	1
Regulation_of_membrane_potential	6.47e-05	1	1
Regulation_of_metabolic_process	0.0083	1	1
Regulation_of_multicellular_organismal_development	2.21e-05	1	1
Regulation_of_multicellular_organismal_process	1.08e-05	1	1
Regulation_of_nervous_system_development	0.00036	1	1
Regulation_of_neuron_differentiation	9e-06	1	1
Regulation_of_neuron_projection_development	0.0025	1	1
Regulation_of_neurotransmitter_levels	0.00064	1	1
Regulation_of_nitrogen_compound_metabolic_process	0.00053	1	1
Regulation_of_nucleobase-containing_compound_metabolic_process	6.09e-07	1	1
Regulation_of_plasma_membrane_bounded_cell_projection_organization	0.0044	1	1
Regulation_of_postsynapse_organization	0.0047	1	1
Regulation_of_postsynaptic_membrane_potential	0.0028	1	1
Regulation_of_primary_metabolic_process	0.0011	1	1
Regulation_of_programmed_cell_death	0.00013	1	1
Regulation_of_signal_transduction	0.0003	1	1
Regulation_of_signaling	3.95e-07	1	1
Regulation_of_synapse_organization	0.0014	1	1
Regulation_of_synapse_structure_or_activity	0.00049	1	1
Regulation_of_synaptic_plasticity	3.71e-05	1	1
Regulation_of_synaptic_transmission,_glutamatergic	0.0018	1	1
Regulation_of_system_process	1.63e-05	1	1
Regulation_of_transcription,_DNA-templated	8.32e-09	1	1
Regulation_of_transcription_by_RNA_polymerase_II	5.93e-12	1	1
Regulation_of_transmembrane_transport	0.0094	1	1
Regulation_of_transport	0.0046	1	1
Response_to_chemical	0.00082	1	1
Response_to_endogenous_stimulus	0.0028	1	1
Response_to_organic_cyclic_compound	0.0021	1	1
Response_to_stimulus	0.0051	1	1
Roof_of_mouth_development	0.0053	1	1
Secretion	1.21e-05	1	1
Secretion_by_cell	0.0001	1	1
Segmentation	0.00048	1	1
Sensory_organ_development	2.79e-10	1	1
Sensory_organ_morphogenesis	3.09e-05	1	1
Sensory_system_development	0.00021	1	1
Signal_release	0.0064	1	1
Signaling	9.02e-09	1	1
Skeletal_system_development	0.00074	1	1
Skeletal_system_morphogenesis	0.00085	1	1
Sodium_ion_transmembrane_transport	0.0034	1	1
Sodium_ion_transport	0.0037	1	1
Spinal_cord_development	1.28e-06	1	1
Spinal_cord_motor_neuron_differentiation	0.00085	1	1
Synapse_organization	5.81e-08	1	1
Synaptic_signaling	7.61e-11	1	1
System_development	9.63e-28	1	1
System_process	8.45e-08	1	1
Telencephalon_development	1.67e-05	1	1
Tissue_development	9.41e-09	1	1
Tissue_morphogenesis	4.93e-06	1	1
Trans-synaptic_signaling	3.03e-10	1	1
Transmembrane_transport	9.16e-06	1	1
Transport	0.0015	1	1
Tube_development	1.48e-05	1	1
Tube_morphogenesis	0.0036	1	1
Urogenital_system_development	0.0014	1	1
Ventral_spinal_cord_development	0.00078	1	1
Vesicle-mediated_transport_in_synapse	0.0028	1	1
