	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7
Import_across_plasma_membrane	1	1	1	1	1	0.002	1
Import_into_cell	1	1	1	1	1	0.0013	1
Inner_ear_development	1.1e-07	0.0023	1	1	1	0.0019	1
Inner_ear_morphogenesis	7.98e-07	1	1	1	1	0.0019	1
Inorganic_cation_import_across_plasma_membrane	1	1	1	1	1	0.0013	1
Inorganic_cation_transmembrane_transport	1	1	1	1	1	4.32e-05	1
Inorganic_ion_transmembrane_transport	1	1	1	1	1	6.19e-05	1
Ion_transmembrane_transport	1	1	1	1	1	0.00017	1
Ion_transport	1	1	1	1	1	0.0011	1
Kidney_development	6.87e-07	0.00021	1	1	1	0.0044	1
Kidney_epithelium_development	2.02e-09	1	1	1	1	1	1
Kidney_mesenchyme_development	7.75e-06	1	1	1	1	1	1
Kidney_morphogenesis	1	0.0005	1	1	1	1	1
Lens_development_in_camera-type_eye	1	0.0093	1	1	1	1	1
Lens_morphogenesis_in_camera-type_eye	1	0.0058	1	1	1	1	1
Limb_development	1	0.0048	1	1	1	1	1
Limb_morphogenesis	1.4e-11	0.0056	1	1	1	1	1
Limbic_system_development	0.00018	1	1	1	1	1	1
Lung_development	1	0.0048	1	1	1	1	1
Mammary_gland_morphogenesis	1	0.0071	1	1	1	1	1
Mammary_placode_formation	0.0097	1	1	1	1	1	1
Mesenchymal_cell_differentiation	1.51e-09	0.00078	1	1	1	1	1
Mesenchymal_cell_proliferation	3.97e-08	1	1	1	1	1	1
Mesenchyme_development	4.21e-11	1	1	1	1	1	1
Mesenchyme_morphogenesis	1.02e-07	1	1	1	1	1	1
Mesoderm_development	3.49e-05	1	1	1	1	1	1
Mesonephric_tubule_morphogenesis	5.64e-05	1	1	1	1	1	1
Mesonephros_development	2.46e-07	1	1	1	1	1	1
Metal_ion_transport	1	1	1	1	1	0.00014	1
Metanephric_mesenchyme_development	0.0036	1	1	1	1	1	1
Metanephric_nephron_development	1.24e-07	1	1	1	1	1	1
Metanephric_renal_vesicle_morphogenesis	0.0021	1	1	1	1	1	1
Metanephros_development	3.48e-10	1	1	1	1	1	1
Metencephalon_development	1.68e-05	1	1	1	1	1	1
Midbrain_development	0.0053	1	1	1	1	1	1
Middle_ear_morphogenesis	1.55e-10	1	1	1	1	1	1
Morphogenesis_of_a_branching_structure	2.89e-06	1	1	1	1	1	1
Morphogenesis_of_an_epithelium	3.92e-08	0.00028	1	1	1	0.0064	1
Morphogenesis_of_embryonic_epithelium	0.0063	7.17e-05	1	1	1	1	1
Motor_neuron_migration	3.02e-08	1	1	1	1	1	1
Multicellular_organism_development	4.55e-43	4.06e-09	1	1	1	1	1
Multicellular_organismal_process	1	4.61e-06	1	1	1	7.39e-08	1
Muscle_cell_differentiation	1	1	1	1	1	0.0095	1
Muscle_cell_fate_commitment	0.0057	1	1	1	1	1	1
Muscle_organ_development	1.15e-09	0.0087	1	1	1	1	1
Muscle_organ_morphogenesis	0.0029	1	1	1	1	1	1
Muscle_structure_development	2.45e-09	0.00061	1	1	1	1	1
Muscle_tissue_development	2.79e-10	1	1	1	1	0.0022	1
Negative_regulation_of_Wnt_signaling_pathway	1	0.0036	1	1	1	1	1
Negative_regulation_of_apoptotic_process	1.55e-05	1	1	1	1	1	1
Negative_regulation_of_biological_process	3.4e-13	2.24e-05	1	1	1	0.0073	1
Negative_regulation_of_cell_communication	1	0.0059	1	1	1	1	1
Negative_regulation_of_cell_differentiation	4.49e-13	0.00029	1	1	1	1	1
Negative_regulation_of_cell_population_proliferation	0.0043	2.24e-05	1	1	1	1	1
Negative_regulation_of_cellular_biosynthetic_process	1	0.0034	1	1	1	1	1
Negative_regulation_of_cellular_process	4.2e-15	5.28e-06	1	1	1	0.0037	1
Negative_regulation_of_chondrocyte_differentiation	1	0.0082	1	1	1	1	1
Negative_regulation_of_developmental_process	1.2e-12	0.00065	1	1	1	0.00029	1
Negative_regulation_of_epithelial_cell_proliferation	0.0046	1	1	1	1	1	1
Negative_regulation_of_growth	1	0.0078	1	1	1	1	1
Negative_regulation_of_macromolecule_biosynthetic_process	1	0.0019	1	1	1	1	1
Negative_regulation_of_macromolecule_metabolic_process	1.4e-16	1	1	1	1	1	1
Negative_regulation_of_mesenchymal_cell_proliferation	1	0.0066	1	1	1	1	1
Negative_regulation_of_neurogenesis	0.0052	1	1	1	1	1	1
Negative_regulation_of_neuron_apoptotic_process	0.001	1	1	1	1	1	1
Negative_regulation_of_neuron_differentiation	1.55e-16	1	1	1	1	1	1
Negative_regulation_of_nitrogen_compound_metabolic_process	3.09e-19	1	1	1	1	1	1
Negative_regulation_of_osteoblast_differentiation	1	0.0071	1	1	1	1	1
Negative_regulation_of_signal_transduction	1	0.0051	1	1	1	1	1
Negative_regulation_of_signaling	1	0.0063	1	1	1	1	1
Negative_regulation_of_transcription,_DNA-templated	7.05e-30	0.0005	1	1	1	1	1
Negative_regulation_of_transcription_by_RNA_polymerase_II	4.65e-29	1	1	1	1	1	1
Nephron_development	1	0.0041	1	1	1	1	1
Nephron_epithelium_development	2.56e-09	1	1	1	1	0.0098	1
Nephron_epithelium_morphogenesis	5.5e-07	1	1	1	1	1	1
Nephron_tubule_development	1.02e-07	1	1	1	1	1	1
Nephron_tubule_formation	0.0074	1	1	1	1	1	1
Nephron_tubule_morphogenesis	8.22e-06	0.00073	1	1	1	1	1
Nerve_development	2.33e-06	1	1	1	1	1	1
Nervous_system_development	6.29e-44	2.67e-06	1	1	0.0057	3.2e-06	1
Nervous_system_process	0.00079	1	1	1	1	0.0057	1
Neural_crest_cell_development	0.0036	0.0093	1	1	1	1	1
Neural_crest_cell_differentiation	5.97e-05	1	1	1	1	1	1
Neural_precursor_cell_proliferation	4.04e-07	1	1	1	1	1	1
Neural_retina_development	0.00024	1	1	1	1	1	1
Neural_tube_development	0.0097	5.47e-06	1	1	1	1	1
Neural_tube_formation	1	0.0012	1	1	1	1	1
Neural_tube_patterning	7.92e-05	1	1	1	1	1	1
Neuroblast_proliferation	6.09e-08	1	1	1	1	1	1
Neuroepithelial_cell_differentiation	0.0015	1	1	1	1	1	1
Neurogenesis	6.95e-35	2.56e-05	1	1	1	1	1
Neuron_development	7.29e-13	0.0027	1	1	1	1	1
Neuron_differentiation	1.06e-29	1.96e-05	1	1	1	0.00052	1
Neuron_fate_commitment	6.02e-27	0.0048	1	1	1	1	1
Neuron_fate_determination	4.19e-05	1	1	1	1	1	1
Neuron_fate_specification	6.01e-16	1	1	1	1	1	1
Neuron_migration	4.11e-17	1	1	1	1	1	1
Neuron_projection_development	1.52e-10	0.0043	1	1	1	1	1
Neuron_projection_morphogenesis	1.7e-11	0.0012	1	1	1	1	1
Notch_signaling_pathway	0.0021	1	1	1	1	1	1
Odontogenesis	3.31e-05	1	1	1	1	1	1
Odontogenesis_of_dentin-containing_tooth	0.004	1	1	1	1	1	1
Oligodendrocyte_cell_fate_specification	3.51e-06	1	1	1	1	1	1
Oligodendrocyte_development	0.00027	1	1	1	1	1	1
Oligodendrocyte_differentiation	7.63e-08	1	1	1	1	1	1
Outflow_tract_morphogenesis	1.5e-05	1	1	1	1	1	1
Pallium_development	2.63e-09	1	1	1	1	1	1
Pancreas_development	2.22e-09	2.8e-05	1	1	1	1	1
Pancreatic_A_cell_differentiation	0.0017	1	1	1	1	1	1
Parasympathetic_nervous_system_development	0.0065	1	1	1	1	1	1
Pattern_specification_involved_in_metanephros_development	0.00025	1	1	1	1	1	1
Pattern_specification_process	1.56e-31	0.0023	1	4.27e-16	0.0014	0.00017	1
Peripheral_nervous_system_development	0.0042	1	1	1	1	1	1
Peripheral_nervous_system_neuron_development	0.005	1	1	1	1	1	1
Pituitary_gland_development	0.0043	1	1	1	1	1	1
Plasma_membrane_bounded_cell_projection_organization	2.89e-07	1	1	1	1	1	1
Positive_regulation_of_DNA_binding	3.47e-06	1	1	1	1	1	1
Positive_regulation_of_RNA_metabolic_process	1.84e-25	1	1	1	1	1	1
Positive_regulation_of_binding	0.00036	1	1	1	1	1	1
Positive_regulation_of_biological_process	1	1	1	1	1	0.0033	1
Positive_regulation_of_cartilage_development	1	0.0023	1	1	1	1	1
Positive_regulation_of_cell_cycle	0.00091	1	1	1	1	1	1
Positive_regulation_of_cell_differentiation	1.94e-12	0.0044	1	1	1	1	1
Positive_regulation_of_cell_migration	1	0.003	1	1	1	1	1
Positive_regulation_of_cell_population_proliferation	1.43e-08	0.00034	1	1	1	1	1
Positive_regulation_of_cellular_biosynthetic_process	1	0.00034	1	1	1	0.0013	1
Positive_regulation_of_cellular_metabolic_process	2.41e-17	1	1	1	1	0.0001	1
Positive_regulation_of_cellular_process	6.91e-11	0.003	1	1	1	0.0073	1
Positive_regulation_of_developmental_process	5.44e-12	1	1	1	1	0.0013	1
Positive_regulation_of_epithelial_cell_differentiation	0.0011	1	1	1	1	1	1
Positive_regulation_of_epithelial_to_mesenchymal_transition	0.0073	1	1	1	1	1	1
Positive_regulation_of_gliogenesis	0.0016	1	1	1	1	1	1
Positive_regulation_of_macromolecule_metabolic_process	7.51e-15	1	1	1	1	0.0013	1
Positive_regulation_of_mesenchymal_cell_proliferation_involved_in_ureter_development	0.0062	1	1	1	1	1	1
Positive_regulation_of_metabolic_process	1	1	1	1	1	0.00026	1
Positive_regulation_of_multicellular_organismal_process	1.61e-05	1	1	1	1	0.0049	1
Positive_regulation_of_neural_precursor_cell_proliferation	2.33e-06	1	1	1	1	1	1
Positive_regulation_of_neuroblast_proliferation	4e-05	1	1	1	1	1	1
Positive_regulation_of_neurogenesis	3.82e-07	1	1	1	1	1	1
Positive_regulation_of_neuron_differentiation	1.31e-08	0.00054	1	1	1	1	1
Positive_regulation_of_nitrogen_compound_metabolic_process	5.1e-17	0.0048	1	1	1	0.0047	1
Positive_regulation_of_nucleobase-containing_compound_metabolic_process	1	0.00073	1	1	1	1	1
Positive_regulation_of_oligodendrocyte_differentiation	0.00083	1	1	1	1	1	1
Positive_regulation_of_phosphate_metabolic_process	1	1	1	1	1	0.0043	1
Positive_regulation_of_stem_cell_proliferation	0.00042	1	1	1	1	1	1
Positive_regulation_of_transcription,_DNA-templated	5.5e-26	5.66e-05	1	1	1	0.0012	1
Positive_regulation_of_transcription_by_RNA_polymerase_II	8.19e-28	8.05e-05	1	4.61e-05	1	0.0013	1
Positive_regulation_of_transcription_regulatory_region_DNA_binding	2.92e-05	1	1	1	1	1	1
Proximal/distal_pattern_formation	0.00011	1	1	0.0005	1	1	1
Regionalization	7.06e-29	0.002	1	4.67e-15	0.009	0.00021	1
Regulation_of_BMP_signaling_pathway	0.0097	0.0054	1	1	1	1	1
Regulation_of_DNA_binding	2.96e-05	1	1	1	1	1	1
Regulation_of_RNA_metabolic_process	1	5.21e-05	1	1	1	1	1
Regulation_of_Wnt_signaling_pathway	1	0.0048	1	1	1	1	1
Regulation_of_anatomical_structure_morphogenesis	2.42e-05	1	1	1	1	1	1
Regulation_of_anatomical_structure_size	1	1	1	1	1	0.0044	1
Regulation_of_animal_organ_morphogenesis	0.003	1	1	1	1	0.0042	1
Regulation_of_apoptotic_process	0.00037	0.0044	1	1	1	1	1
Regulation_of_axon_extension	0.0063	1	1	1	1	1	1
Regulation_of_binding	0.0071	1	1	1	1	1	1
Regulation_of_biological_quality	1	1	1	1	1	1.09e-07	1
Regulation_of_branching_involved_in_ureteric_bud_morphogenesis	0.0095	1	1	1	1	1	1
Regulation_of_canonical_Wnt_signaling_pathway	1	0.0087	1	1	1	1	1
Regulation_of_cartilage_development	1	0.001	1	1	1	1	1
Regulation_of_cell_adhesion	1	0.0071	1	1	1	1	1
Regulation_of_cell_communication	1	0.0027	1	1	1	1	1
Regulation_of_cell_death	1	0.0055	1	1	1	1	1
Regulation_of_cell_differentiation	9.44e-14	2.97e-05	1	1	1	0.0043	1
Regulation_of_cell_population_proliferation	8.12e-09	6e-06	1	1	1	1	1
Regulation_of_cell_proliferation_involved_in_heart_morphogenesis	0.0074	1	1	1	1	1	1
Regulation_of_cellular_biosynthetic_process	1	0.00023	1	1	1	1	1
Regulation_of_cellular_metabolic_process	3.59e-27	0.001	1	1	1	1	1
Regulation_of_cellular_process	5.26e-14	0.0006	1	1	1	0.0037	1
Regulation_of_chondrocyte_differentiation	1	0.0018	1	1	1	1	1
Regulation_of_developmental_growth	0.0026	1	1	1	1	1	1
Regulation_of_developmental_process	7.63e-14	0.0005	1	1	1	0.003	1
Regulation_of_epithelial_cell_differentiation	1.01e-05	1	1	1	1	1	1
Regulation_of_epithelial_cell_proliferation	4.24e-05	0.0036	1	1	1	1	1
Regulation_of_epithelial_to_mesenchymal_transition	0.0068	1	1	1	1	1	1
Regulation_of_gene_expression	7.49e-30	5.82e-05	1	1	1	1	1
Regulation_of_glial_cell_differentiation	0.00021	1	1	1	1	1	1
Regulation_of_gliogenesis	9.18e-05	1	1	1	1	1	1
Regulation_of_kidney_development	9.01e-05	1	1	1	1	1	1
Regulation_of_macromolecule_biosynthetic_process	1	0.00047	1	1	1	1	1
Regulation_of_macromolecule_metabolic_process	4.14e-26	0.0014	1	1	1	1	1
Regulation_of_metabolic_process	1	0.0062	1	1	1	1	1
Regulation_of_morphogenesis_of_a_branching_structure	0.0073	1	1	1	1	1	1
Regulation_of_morphogenesis_of_an_epithelium	0.0015	1	1	1	1	1	1
Regulation_of_multicellular_organismal_development	2.37e-09	1	1	1	1	1	1
Regulation_of_multicellular_organismal_process	5.64e-08	1	1	1	1	0.00096	1
Regulation_of_neural_precursor_cell_proliferation	2.09e-07	1	1	1	1	1	1
Regulation_of_neuroblast_proliferation	8.46e-06	1	1	1	1	1	1
Regulation_of_neurogenesis	1.59e-08	1	1	1	1	1	1
Regulation_of_neuron_apoptotic_process	0.0011	1	1	1	1	1	1
Regulation_of_neuron_differentiation	2.48e-17	2.38e-05	1	1	1	1	1
Regulation_of_nitrogen_compound_metabolic_process	7.13e-28	0.00049	1	1	1	1	1
Regulation_of_nucleobase-containing_compound_metabolic_process	1	0.00013	1	1	1	1	1
Regulation_of_odontogenesis	0.0065	1	1	1	1	1	1
Regulation_of_oligodendrocyte_differentiation	0.0003	1	1	1	1	1	1
Regulation_of_osteoblast_differentiation	1	2.24e-05	1	1	1	1	1
Regulation_of_primary_metabolic_process	5.73e-27	0.0019	1	1	1	1	1
Regulation_of_programmed_cell_death	1	0.0027	1	1	1	1	1
Regulation_of_signal_transduction	1	0.0014	1	1	1	1	1
Regulation_of_signaling	1	0.003	1	1	1	1	1
Regulation_of_stem_cell_proliferation	0.00033	0.0093	1	1	1	1	1
Regulation_of_timing_of_cell_differentiation	0.0021	1	1	1	1	1	1
Regulation_of_timing_of_neuron_differentiation	0.0097	1	1	1	1	1	1
Regulation_of_transcription,_DNA-templated	1.23e-39	7.36e-05	1	1	1	1	1
Regulation_of_transcription_by_RNA_polymerase_II	1.98e-47	3.13e-05	1	1	1	1	1
Regulation_of_transcription_regulatory_region_DNA_binding	4.34e-05	1	1	1	1	1	1
Renal_system_development	1.1e-07	1	1	1	1	1	1
Renal_vesicle_development	0.00011	1	1	1	1	1	1
Reproductive_structure_development	0.00022	1	1	1	1	0.0047	1
Respiratory_system_development	0.0049	0.00063	1	1	1	1	1
Response_to_chemical	0.00036	1	1	1	1	0.0007	1
Response_to_endogenous_stimulus	1	1	1	1	1	0.0082	1
Response_to_organic_substance	1	1	1	1	1	0.0013	1
Response_to_oxygen-containing_compound	1	0.0087	1	1	1	0.00026	1
Response_to_retinoic_acid	1	0.007	1	1	1	1	1
Response_to_stimulus	1	1	1	1	1	0.0012	1
Response_to_wounding	1	1	1	1	1	0.0052	1
Retina_development_in_camera-type_eye	1.48e-06	1	1	1	1	1	1
Roof_of_mouth_development	1.55e-12	1	1	1	1	0.0055	1
Segmentation	8.98e-06	0.0054	1	1	1	1	1
Sensory_organ_development	1.25e-24	0.0009	1	1	1	2.15e-06	1
Sensory_organ_morphogenesis	2.95e-18	1	1	1	1	0.003	1
Sensory_system_development	3.72e-15	1	1	1	1	1	1
Sex_differentiation	4.44e-08	1	1	1	1	1	1
Signaling	1	1	1	1	1	9.47e-05	1
Sinoatrial_node_cell_development	0.00039	1	1	1	1	1	1
Skeletal_muscle_cell_differentiation	0.0007	1	1	1	1	1	1
Skeletal_muscle_organ_development	8.29e-05	1	1	1	1	1	1
Skeletal_muscle_tissue_development	0.00045	1	1	1	1	1	1
Skeletal_system_development	7.23e-12	1	8.71e-06	1.94e-13	1	0.00015	1
Skeletal_system_morphogenesis	1.24e-13	1	1	3.61e-10	1	4.32e-05	1
Smooth_muscle_cell_differentiation	0.0026	1	1	1	1	1	1
Smooth_muscle_tissue_development	0.00048	0.0065	1	1	1	1	1
Smoothened_signaling_pathway	4.37e-05	1	1	1	1	1	1
Somatic_stem_cell_population_maintenance	0.0097	1	1	1	1	1	1
Somite_development	2.74e-05	1	1	1	1	1	1
Spinal_cord_development	1.47e-13	1	1	1	1	1	1
Spinal_cord_dorsal/ventral_patterning	1.44e-07	1	1	1	1	1	1
Spinal_cord_motor_neuron_cell_fate_specification	0.0014	1	1	1	1	1	1
Spinal_cord_motor_neuron_differentiation	7.2e-08	1	1	1	1	1	1
Spinal_cord_oligodendrocyte_cell_fate_specification	0.00015	1	1	1	1	1	1
Stem_cell_differentiation	1.71e-11	1	1	1	1	1	1
Stem_cell_population_maintenance	0.0018	1	1	1	1	1	1
Stem_cell_proliferation	2.03e-05	0.0015	1	1	1	1	1
Striated_muscle_tissue_development	5.02e-05	1	1	1	1	1	1
Sympathetic_nervous_system_development	0.00048	1	1	1	1	1	1
Synaptic_signaling	1	1	1	1	1	4.69e-05	1
