GENE,cluster1,cluster2,cluster3,cluster4,cluster5
NTNG2,0.9999999726837568,0.0,0.0,2.73162426773993e-08,0.0
WNT10B,0.006759846695518257,0.0,0.0,0.9932401533044806,0.0
SIX6,4.290298398717725e-11,0.0,0.0,0.9999999999570974,0.0
PAX1,1.2901271700575139e-05,0.0,0.0,0.9999870987283008,0.0
KCNQ2,0.9998645762555397,0.0,0.0,0.0001354237444611077,0.0
IRX4,6.980138001496223e-10,0.0,0.0,0.9999999993019877,0.0
DMRT3,5.243922633329182e-13,0.0,0.0,0.9999999999994742,0.0
NR2F2,2.466936675146474e-29,0.0,0.0,1.0,0.0
PDX1,1.1678876211417235e-12,0.0,0.0,0.9999999999988312,0.0
FOXC2,0.9010737473869699,0.0,0.0,0.09892625261303117,0.0
CHAT,1.4688151976456295e-05,0.0,0.0,0.9999853118480226,0.0
NTRK1,0.999832108115804,0.0,0.0,0.00016789188419624517,0.0
LHX3,0.032375396515747334,0.0,0.0,0.9676246034842519,0.0
SLC12A5,0.030317875902834027,0.0,0.0,0.9696821240971667,0.0
TBX20,2.888496411798969e-08,0.0,0.0,0.9999999711150349,0.0
GRIK3,0.017759183085562225,0.0,0.0,0.9822408169144372,0.0
SIX3,1.989161732620452e-30,0.0,0.0,8.840288656304791e-14,0.9999999999999116
EOMES,0.0002631048007174641,0.0,0.0,0.9997368951992813,0.0
NKX6-1,2.738446723952095e-17,0.0,0.0,1.0,0.0
FOXL1,0.8973270320967448,0.0,0.0,0.10267296790325647,0.0
TWIST1,1.5950583374362885e-08,0.0,0.0,0.999999984049417,0.0
BCL11B,1.2644369830857999e-11,0.0,0.0,0.9999999999873559,0.0
BARX2,3.0498460871493573e-07,0.0,0.0,0.9999996950153903,0.0
EPHA8,0.012112467796848,0.0,0.0,0.9878875322031536,0.0
SLC9A3,0.33315403330946863,0.0,0.0,0.6668459666905328,0.0
TBX3,1.848637027328243e-12,0.0,0.0,0.9999999999981526,0.0
NEUROG1,7.412346629208647e-11,0.0,0.0,0.9999999999258762,0.0
FOXA1,3.473720423563941e-08,0.0,0.0,0.9999999652627954,0.0
EBF2,2.1324908064291184e-09,0.0,0.0,0.9999999978675085,0.0
PRSS16,2.1491687738801056e-74,0.0,0.0,2.9935733039874263e-28,1.0
FOXC1,0.011328712442825095,0.0,0.0,0.9886712875571733,0.0
MPPED1,0.02250382263500112,0.0,0.0,0.9774961773649974,0.0
MYOD1,9.052996707369869e-07,0.0,0.0,0.9999990947003295,0.0
DNAJC22,0.018122636468280592,0.0,0.0,0.9818773635317192,0.0
PDE2A,0.9999954148337794,0.0,0.0,4.585166222236052e-06,0.0
FLI1,3.8384542895522805e-05,0.0,0.0,0.9999616154571034,0.0
DSCAML1,0.2463785434219808,0.0,0.0,0.7536214565780188,0.0
HOXC9,0.0,1.0,0.0,9.429461273625005e-308,0.0
POU3F3,3.374313015407013e-05,0.0,0.0,0.9999662568698474,0.0
SOX17,9.876618657610695e-09,0.0,0.0,0.9999999901233814,0.0
NEUROG3,5.3656167371836556e-08,0.0,0.0,0.9999999463438322,0.0
SLC18A3,3.3229851777895785e-05,0.0,0.0,0.9999667701482232,0.0
CDX2,1.3231670761336854e-13,0.0,0.0,0.9999999999998685,0.0
OSR1,4.177087665553461e-05,0.0,0.0,0.9999582291233454,0.0
OLIG1,0.974265200861178,0.0,0.0,0.02573479913882148,0.0
UNCX,2.481664583063804e-07,0.0,0.0,0.9999997518335407,0.0
NKX2-3,3.573286583115209e-08,0.0,0.0,0.9999999642671333,0.0
NR2F1,8.436997462624774e-32,0.0,0.0,1.0,0.0
TCF21,5.875373106455835e-16,0.0,0.0,1.0,0.0
COL2A1,0.9999786489597556,0.0,0.0,2.135104024498164e-05,0.0
DMRTA2,1.5426229764641181e-06,0.0,0.0,0.9999984573770245,0.0
DBX1,1.9442167454665597e-06,0.0,0.0,0.9999980557832551,0.0
FOXF2,0.0013407413627737038,0.0,0.0,0.9986592586372263,0.0
VSTM2B,0.08459535029777078,0.0,0.0,0.9154046497022278,0.0
VAX2,7.567322547826433e-06,0.0,0.0,0.9999924326774529,0.0
CUX2,0.003636953301003809,0.0,0.0,0.9963630466989948,0.0
IRX1,2.3837230698995154e-06,0.0,0.0,0.9999976162769311,0.0
NFIX,1.0,0.0,0.0,1.7653815691288083e-15,0.0
OSR2,1.6717765052703926e-21,0.0,0.0,1.0,0.0
SSTR4,0.005825246524372338,0.0,0.0,0.9941747534756268,0.0
CBLN1,0.0008230476286332224,0.0,0.0,0.9991769523713653,0.0
PPIE,0.9999999999871996,0.0,0.0,1.2799687937594504e-11,0.0
ZIC4,2.0402909209670731e-54,0.0,0.0,3.713739650886307e-18,1.0
BCL11A,0.9999996565394283,0.0,0.0,3.4346057228055234e-07,0.0
EGR4,0.02961710966170766,0.0,0.0,0.9703828903382917,0.0
SIX1,2.6068770662566974e-11,0.0,0.0,0.9999999999739302,0.0
CNTFR,7.552433146367521e-05,0.0,0.0,0.9999244756685373,0.0
FEZF1,0.00026468466902257356,0.0,0.0,0.9997353153309784,0.0
PRDM16,0.9999999999994387,0.0,0.0,5.607552600694739e-13,0.0
HOXC4,0.0,1.0,0.0,0.0,0.0
POU2F3,0.33899138366324355,0.0,0.0,0.6610086163367581,0.0
NPTX1,0.0019132480722220718,0.0,0.0,0.998086751927777,0.0
HOXC5,0.0,1.0,0.0,0.0,0.0
VSTM2L,0.13551259661391912,0.0,0.0,0.8644874033860802,0.0
SCRT2,0.35616628141546824,0.0,0.0,0.6438337185845309,0.0
DLK1,0.00032861717795209844,0.0,0.0,0.9996713828220477,0.0
LPO,0.21340983249186066,0.0,0.0,0.7865901675081396,0.0
CCM2L,0.9928916477354753,0.0,0.0,0.007108352264522942,0.0
NKX2-2,8.780706550744676e-10,0.0,0.0,0.999999999121929,0.0
GAD2,0.0030066986754893536,0.0,0.0,0.9969933013245121,0.0
WNT1,0.0028919261168079986,0.0,0.0,0.9971080738831916,0.0
SOX2,7.553471024034406e-20,0.0,0.0,1.0,0.0
NR5A2,1.5056580304099706e-09,0.0,0.0,0.9999999984943422,0.0
ADRA2C,0.9999999383632653,0.0,0.0,6.163673639099045e-08,0.0
ASCL1,0.0003085722980377658,0.0,0.0,0.9996914277019631,0.0
MEIS2,1.131074264795921e-08,0.0,0.0,0.9999999886892575,0.0
DDN,0.006292983959528184,0.0,0.0,0.9937070160404727,0.0
BARX1,0.001020008320584235,0.0,0.0,0.9989799916794172,0.0
MEIS3,0.9215766620577328,0.0,0.0,0.07842333794226683,0.0
SLC6A1,0.9799124948949247,0.0,0.0,0.02008750510507544,0.0
CDC20B,2.5466329417919413e-10,0.0,0.0,0.9999999997453379,0.0
IRX2,0.005157992107553423,0.0,0.0,0.9948420078924449,0.0
RHCG,0.999997194025639,0.0,0.0,2.8059743602516603e-06,0.0
BMP4,0.042202250902932184,0.0,0.0,0.9577977490970676,0.0
CYP24A1,0.020904841728129522,0.0,0.0,0.9790951582718708,0.0
RIPK4,0.0005069241578994023,0.0,0.0,0.9994930758420999,0.0
LINGO1,1.0,0.0,0.0,4.5844073734040114e-17,0.0
MSX1,4.690429667163267e-05,0.0,0.0,0.9999530957033294,0.0
IRX6,3.55430238830727e-06,0.0,0.0,0.9999964456976114,0.0
C1QA,0.9998894549057465,0.0,0.0,0.00011054509425259598,0.0
IGSF21,0.7975370190171931,0.0,0.0,0.2024629809828082,0.0
IGF2BP1,0.9783669392196482,0.0,0.0,0.021633060780350242,0.0
BCOR,0.999966963354883,0.0,0.0,3.303664511704986e-05,0.0
TBX18,4.0735003158527754e-06,0.0,0.0,0.9999959264996836,0.0
PEBP4,8.316870146904398e-05,0.0,0.0,0.9999168312985305,0.0
ESX1,0.9999708993269847,0.0,0.0,2.910067301592291e-05,0.0
DPYSL5,0.7498104788600238,0.0,0.0,0.2501895211399769,0.0
RFX4,0.7797450664171041,0.0,0.0,0.22025493358289502,0.0
ATOH1,1.252146612676135e-06,0.0,0.0,0.9999987478533884,0.0
SALL1,0.9531501359867424,0.0,0.0,0.04684986401325913,0.0
CABP7,0.12452855197658576,0.0,0.0,0.8754714480234137,0.0
PHOX2B,1.2684565669811411e-14,0.0,0.0,0.9999999999999858,0.0
NKX3-2,2.4733369578286357e-19,0.0,0.0,1.0,0.0
IRF4,0.0001732522426642458,0.0,0.0,0.9998267477573365,0.0
